	sample1	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ASV_15	624	249	231	373	363	522	383	452	683	523	537	143	256	394	390	295	637	559
ASV_1829	49	0	0	3	55	41	101	55	49	61	109	42	105	48	1	0	1	1
ASV_171	139	39	73	80	178	159	173	214	198	170	139	80	128	148	350	185	111	142
ASV_156	407	66	36	105	261	270	328	293	331	340	353	156	351	255	284	188	361	84
ASV_348	455	66	16	161	306	312	280	286	410	381	535	129	230	314	216	226	382	155
ASV_1833	125	13	0	45	27	4	4	16	1	1	142	0	9	7	104	37	44	130
ASV_2683	16	1	0	0	22	132	22	104	101	52	47	40	15	52	0	0	0	0
ASV_372	127	41	37	53	93	97	109	61	97	84	89	42	58	62	157	35	70	149
ASV_982	8	52	210	61	14	46	12	18	51	34	11	35	145	80	42	57	0	1
ASV_1590	11	52	4	13	30	67	35	93	71	43	13	29	99	41	17	47	6	0
ASV_27	313	278	106	137	101	120	188	124	121	80	281	67	110	181	168	93	324	476
ASV_341	117	67	33	43	51	85	68	70	107	57	189	62	84	95	71	67	165	132
ASV_366	38	33	42	55	68	82	77	77	103	123	97	32	45	61	90	41	90	54
ASV_388	87	100	141	94	49	44	56	32	63	41	134	29	45	79	127	91	59	97
ASV_615	50	69	102	91	30	29	42	35	38	16	201	4	50	51	60	57	57	23
ASV_204	140	133	18	207	93	40	49	67	53	82	108	52	86	35	130	304	554	599
ASV_350	190	4	5	141	172	80	163	99	89	151	331	87	199	233	201	106	47	36
ASV_186	67	41	69	34	121	118	183	116	176	199	28	114	159	109	106	44	57	36
ASV_393	98	36	16	30	86	70	49	65	61	98	41	32	52	61	158	0	65	75
ASV_922	22	10	8	14	53	57	36	73	89	77	17	13	96	60	0	36	25	9
ASV_308	72	22	22	14	75	142	63	109	140	139	128	74	68	56	103	70	66	67
ASV_252	214	13	43	140	92	89	119	74	183	115	182	81	124	108	146	197	192	52
ASV_1054	91	40	44	53	121	44	136	68	61	113	161	89	198	271	150	24	31	4
ASV_2789	28	10	3	11	47	22	54	39	34	39	4	21	98	61	1	1	11	122
ASV_1089	127	15	6	8	58	30	65	44	52	54	86	41	39	57	139	7	75	28
ASV_942	81	89	68	42	35	54	55	51	46	82	118	57	202	156	98	64	39	82
ASV_673	44	44	49	34	37	39	52	58	74	62	41	20	93	103	66	0	11	14
ASV_1557	20	34	0	27	75	33	34	42	56	84	82	15	18	43	16	0	22	26
ASV_617	50	29	75	45	163	45	185	62	34	86	163	159	410	193	106	52	32	0
ASV_1180	18	0	0	1	99	348	1	172	401	378	228	3	0	25	273	0	0	1
ASV_1669	16	7	0	28	81	0	72	51	0	14	34	122	167	265	97	54	30	0
ASV_974	24	15	70	13	38	48	33	20	53	117	84	48	48	50	72	44	60	78
ASV_650	60	33	81	111	28	29	43	49	41	78	68	16	99	113	190	44	103	72
ASV_660	15	14	76	60	33	26	61	17	36	35	45	33	87	69	52	46	46	19
ASV_164	212	50	109	109	219	62	236	139	125	144	105	68	253	239	379	89	158	113
ASV_790	32	178	5	63	26	34	33	44	12	13	54	0	33	31	102	258	319	224
ASV_1453	1	3	6	14	102	128	116	52	54	105	48	11	26	30	138	0	23	0
ASV_262	174	29	69	69	212	154	233	167	144	218	148	87	151	181	105	158	102	198
ASV_1262	30	20	39	28	36	31	43	26	32	44	105	26	46	70	17	15	78	28
ASV_938	47	10	98	37	63	35	45	49	30	41	18	7	67	43	105	13	41	8
ASV_670	107	79	113	86	124	47	112	59	81	86	95	33	67	82	100	18	116	10
ASV_1349	3	163	326	135	7	2	3	1	3	7	0	1	1	4	26	1	0	5
ASV_1246	50	27	24	9	76	33	72	48	26	50	69	49	66	68	216	50	52	5
ASV_382	9	11	34	28	57	23	37	18	18	30	31	50	78	88	108	8	33	28
ASV_1090	33	2	6	27	51	113	75	68	89	91	6	112	32	93	144	17	71	37
ASV_140	95	54	26	72	48	49	48	56	29	52	110	13	70	74	190	61	168	62
ASV_1715	86	11	15	136	37	30	22	55	43	27	28	4	24	22	75	140	285	0
ASV_1084	1	18	11	20	31	61	51	41	37	58	0	31	0	18	35	62	45	131
ASV_737	56	7	57	51	56	43	49	30	37	41	114	24	20	50	28	0	0	20
ASV_214	0	862	1980	481	13	1	14	19	0	7	30	62	1	15	24	11	115	23
ASV_1025	120	25	16	69	131	94	143	84	58	132	11	57	109	98	70	64	54	7
ASV_1403	78	24	1	41	29	17	21	22	8	9	100	8	26	7	107	7	23	92
ASV_703	78	35	53	34	63	99	58	87	71	84	140	30	58	87	22	39	32	5
ASV_634	103	26	18	29	144	65	67	60	63	112	27	33	35	71	176	12	41	78
ASV_1057	0	69	391	38	9	13	14	5	6	16	0	10	17	21	3	0	7	0
ASV_314	30	138	311	146	101	82	59	71	83	125	226	20	79	97	61	0	29	65
ASV_303	56	21	26	70	21	26	19	28	13	23	37	0	28	43	25	56	72	59
ASV_1451	53	26	43	23	52	67	56	22	64	26	76	14	0	93	38	1	11	7
ASV_959	66	88	169	38	39	25	59	33	31	20	52	61	82	77	91	10	21	0
ASV_471	134	76	50	99	83	40	188	84	64	87	183	62	108	137	151	20	30	29
ASV_924	18	53	134	58	33	26	29	8	37	12	25	4	10	17	61	0	14	92
ASV_1267	67	28	20	68	56	36	97	56	76	52	100	24	1	17	2	0	57	6
ASV_1303	32	0	0	12	65	46	56	21	86	46	9	10	118	174	134	0	22	30
ASV_1306	21	45	109	47	43	58	50	28	35	66	46	10	78	59	49	19	20	3
ASV_151	76	62	91	154	48	77	74	119	130	69	69	33	133	89	135	18	116	103
ASV_685	113	32	1	99	67	24	10	8	41	21	82	5	6	12	77	37	155	87
ASV_2801	80	0	0	1	55	58	115	86	39	141	27	0	35	82	14	0	0	0
ASV_593	127	42	41	73	88	61	74	67	61	95	64	26	53	92	129	17	30	47
ASV_179	138	169	221	151	181	369	350	268	426	345	213	140	347	366	269	81	135	4
ASV_431	12	10	5	17	123	41	80	92	50	46	0	0	19	36	46	7	62	53
ASV_26	217	135	1	86	91	36	35	47	29	45	43	7	14	43	177	47	210	275
ASV_134	293	365	343	676	189	117	181	144	98	157	153	25	34	99	518	655	1144	736
ASV_541	40	24	10	28	83	99	73	43	206	90	179	78	96	50	0	10	0	0
ASV_775	145	0	0	1	217	124	199	125	183	176	147	73	89	87	31	0	8	0
ASV_1050	12	19	52	19	26	11	78	23	70	34	46	21	63	86	0	44	0	15
ASV_721	275	39	56	84	116	7	101	51	22	99	173	17	22	120	99	106	169	137
ASV_1068	57	46	49	59	28	77	84	36	42	52	164	36	178	78	104	59	48	23
ASV_759	35	0	3	10	44	30	17	19	8	10	66	0	18	70	280	2	87	10
ASV_1101	46	0	0	20	93	44	73	75	78	83	35	43	191	125	126	22	49	2
ASV_1247	68	69	52	33	56	59	46	12	21	25	51	18	36	22	144	48	63	45
ASV_731	3	12	0	69	83	164	28	77	135	72	84	88	197	139	129	77	19	0
ASV_235	86	79	65	57	180	108	197	96	101	148	87	168	540	295	117	0	39	5
ASV_1308	42	29	99	72	26	27	14	41	23	23	37	51	31	25	80	23	30	0
ASV_629	58	60	200	56	63	25	71	52	36	51	201	34	55	75	59	14	22	28
ASV_2220	71	13	2	36	21	26	13	47	21	48	31	35	56	42	14	38	115	0
ASV_888	1	285	355	55	18	0	5	1	5	0	4	29	22	21	38	0	25	74
