"","Num.of.remove.nodes","Natural.connectivity","Group"
"60",60,1.49955055161291,"KO"
"61",61,1.56684504865799,"KO"
"62",62,1.66362550764262,"KO"
"63",63,1.7508717365486,"KO"
"64",64,1.84465234308953,"KO"
"65",65,1.67328152290076,"KO"
"66",66,1.96031174079437,"KO"
"67",67,1.90941930810422,"KO"
"68",68,1.75027004186322,"KO"
"69",69,1.53337537460572,"KO"
"70",70,1.7088891241275,"KO"
"71",71,1.81967986618675,"KO"
"72",72,1.56926270384138,"KO"
"73",73,1.66338896174767,"KO"
"74",74,1.46980425399129,"KO"
"75",75,1.95844619312181,"KO"
"76",76,1.34910632584027,"KO"
"77",77,1.81758197291448,"KO"
"78",78,1.66794460210637,"KO"
"79",79,1.72450857395616,"KO"
"80",80,1.82824328202531,"KO"
"81",81,1.63081137824396,"KO"
"82",82,1.38844979859353,"KO"
"83",83,1.94172994403255,"KO"
"84",84,1.35664738783134,"KO"
"85",85,1.30200343538413,"KO"
"86",86,1.4992346572365,"KO"
"87",87,1.45096986651847,"KO"
"88",88,1.81146081430949,"KO"
"89",89,1.38242657285977,"KO"
"90",90,1.36263131143905,"KO"
"91",91,1.71661284062984,"KO"
"92",92,1.83803747978271,"KO"
"93",93,1.37239980890612,"KO"
"94",94,1.43805992086619,"KO"
"95",95,1.89515804748564,"KO"
"96",96,1.72736192302726,"KO"
"97",97,1.4671884183574,"KO"
"98",98,1.50006321313816,"KO"
"99",99,1.43124348306992,"KO"
"100",100,1.44625889153367,"KO"
"101",101,1.47524828468474,"KO"
"102",102,1.38829159594808,"KO"
"103",103,1.47034501180724,"KO"
"104",104,1.10176148670459,"KO"
"105",105,1.62162556309104,"KO"
"106",106,1.67477188028954,"KO"
"107",107,1.27105514862405,"KO"
"108",108,1.52218781566863,"KO"
"109",109,1.35767561128538,"KO"
"110",110,1.24505166659553,"KO"
"111",111,1.87476010177539,"KO"
"112",112,1.26115865521441,"KO"
"113",113,1.38414863103495,"KO"
"114",114,1.23862682881775,"KO"
"115",115,1.78572951561426,"KO"
"116",116,1.44725732714028,"KO"
"117",117,1.35477807704961,"KO"
"118",118,1.418612923928,"KO"
"119",119,1.1446854979943,"KO"
"120",120,1.39265130256377,"KO"
"121",121,1.07897411666166,"KO"
"122",122,1.71095872068362,"KO"
"123",123,1.19850700332235,"KO"
"124",124,1.0975595828152,"KO"
"125",125,1.74310045207064,"KO"
"126",126,1.80611167871231,"KO"
"127",127,1.57976589774583,"KO"
"128",128,1.43560923799153,"KO"
"129",129,1.13956809406265,"KO"
"130",130,1.78635527681476,"KO"
"131",131,1.77812522486441,"KO"
"132",132,1.21631025704053,"KO"
"133",133,1.28946939529503,"KO"
"134",134,1.2826576520104,"KO"
"135",135,1.15154029361202,"KO"
"136",136,1.54560050120596,"KO"
"137",137,1.32529663734881,"KO"
"138",138,1.39855662122414,"KO"
"139",139,1.14987947913379,"KO"
"140",140,1.11118595709481,"KO"
"141",141,1.76712274801116,"KO"
"142",142,1.16504472869521,"KO"
"143",143,0.972062953264347,"KO"
"144",144,1.40285213978979,"KO"
"145",145,1.39255766460951,"KO"
"146",146,1.27733686265888,"KO"
"147",147,1.17963139716025,"KO"
"148",148,1.2434274903911,"KO"
"149",149,1.27760651481544,"KO"
"150",150,0.727159837063342,"KO"
"151",1,1.55277951354446,"OE"
"152",2,1.55264601942531,"OE"
"153",3,1.44166620035439,"OE"
"154",4,1.55661334889991,"OE"
"155",5,1.5574122965742,"OE"
"156",6,1.51399113465629,"OE"
"157",7,1.53084314078954,"OE"
"158",8,1.54369966843568,"OE"
"159",9,1.40126208521205,"OE"
"160",10,1.54899596707452,"OE"
"161",11,1.52094140348999,"OE"
"162",12,1.43266895759563,"OE"
"163",13,1.56022912161932,"OE"
"164",14,1.54809666160765,"OE"
"165",15,1.55214415774092,"OE"
"166",16,1.54864380476228,"OE"
"167",17,1.54055730780994,"OE"
"168",18,1.55495132129779,"OE"
"169",19,1.40984156941553,"OE"
"170",20,1.5205971433737,"OE"
"171",21,1.42386393182915,"OE"
"172",22,1.50301753118562,"OE"
"173",23,1.48503257515395,"OE"
"174",24,1.49762120784012,"OE"
"175",25,1.37162626520201,"OE"
"176",26,1.37734373441682,"OE"
"177",27,1.46254105813093,"OE"
"178",28,1.51283090682474,"OE"
"179",29,1.30638789277499,"OE"
"180",30,1.5013225199922,"OE"
"181",31,1.335911513193,"OE"
"182",32,1.57880394099114,"OE"
"183",33,1.39058961231196,"OE"
"184",34,1.39629611374037,"OE"
"185",35,1.37599443553175,"OE"
"186",36,1.43727604336495,"OE"
"187",37,1.5077431697832,"OE"
"188",38,1.20488620680774,"OE"
"189",39,1.49181935341747,"OE"
"190",40,1.35655421794361,"OE"
"191",41,1.41723417094091,"OE"
"192",42,1.24418524989616,"OE"
"193",43,1.40086135104168,"OE"
"194",44,1.4364548337962,"OE"
"195",45,1.36885549501522,"OE"
"196",46,1.39813136801004,"OE"
"197",47,1.22062788810059,"OE"
"198",48,1.55060761569058,"OE"
"199",49,1.43716412360721,"OE"
"200",50,1.13967573079455,"OE"
"201",51,1.29665745812824,"OE"
"202",52,1.40898828291635,"OE"
"203",53,1.18008397428545,"OE"
"204",54,1.08850943230428,"OE"
"205",55,1.39021066551714,"OE"
"206",56,1.14092689355945,"OE"
"207",57,1.434256746038,"OE"
"208",58,1.37552940749113,"OE"
"209",59,1.49904594800575,"OE"
"210",60,1.12524500080923,"OE"
"211",61,1.24715511195479,"OE"
"212",62,1.1569351298666,"OE"
"213",63,1.41657295763026,"OE"
"214",64,1.30921840457295,"OE"
"215",65,1.30040676835947,"OE"
"216",66,1.29901824182612,"OE"
"217",67,1.31810700640703,"OE"
"218",68,1.26499461159743,"OE"
"219",69,1.13902325584895,"OE"
"220",70,1.11024190318692,"OE"
"221",71,1.13361445632336,"OE"
"222",72,1.31900065090983,"OE"
"223",73,1.44369859047955,"OE"
"224",74,1.24281170610489,"OE"
"225",75,1.38540124446666,"OE"
"226",76,1.12468969472693,"OE"
"227",77,1.18960874023551,"OE"
"228",78,1.3412651294383,"OE"
"229",79,0.964341655302906,"OE"
"230",80,1.49231000713201,"OE"
"231",81,1.27452041762336,"OE"
"232",82,1.03590920246174,"OE"
"233",83,1.05018764388434,"OE"
"234",84,1.42045197605613,"OE"
"235",85,0.904728355578255,"OE"
"236",86,1.07569753437522,"OE"
"237",87,1.15712004507166,"OE"
"238",88,1.04396428592366,"OE"
"239",89,0.874213602559363,"OE"
"240",90,1.11949262897237,"OE"
"241",91,1.21432247976857,"OE"
"242",92,1.07498388165183,"OE"
"243",93,0.874741095097545,"OE"
"244",94,1.12535962340736,"OE"
"245",95,1.29783693170852,"OE"
"246",96,1.23401731117976,"OE"
"247",97,0.857234755643774,"OE"
"248",98,1.11449292136935,"OE"
"249",99,1.41764736509687,"OE"
"250",100,1.11293528541088,"OE"
"251",101,1.11437397325811,"OE"
"252",102,1.01957700915367,"OE"
"253",103,1.05737267686549,"OE"
"254",104,0.913055633995416,"OE"
"255",105,1.16964974029721,"OE"
"256",106,1.26090886918027,"OE"
"257",107,0.968423532960381,"OE"
"258",108,0.963732806803032,"OE"
"259",109,1.18077226966717,"OE"
"260",110,1.09140443686958,"OE"
"261",111,1.00648950795489,"OE"
"262",112,0.86816406859467,"OE"
"263",113,1.30824008955677,"OE"
"264",114,0.864675778817655,"OE"
"265",115,1.23926164901571,"OE"
"266",116,0.991715680521039,"OE"
"267",117,0.82047724457245,"OE"
"268",118,1.44829556927831,"OE"
"269",119,1.19633619314648,"OE"
"270",120,1.26845907189293,"OE"
"271",121,1.25674211653529,"OE"
"272",122,0.992804978085425,"OE"
"273",123,0.889954669172808,"OE"
"274",124,1.25285676008404,"OE"
"275",125,1.01169238863001,"OE"
"276",126,1.34578666964906,"OE"
"277",127,0.859421667783745,"OE"
"278",128,0.973325947759157,"OE"
"279",129,1.20223361587735,"OE"
"280",130,0.879555570836053,"OE"
"281",131,1.19989122658592,"OE"
"282",132,1.43193673063865,"OE"
"283",133,0.97456682118032,"OE"
"284",134,1.03827433423313,"OE"
"285",135,0.968589395659083,"OE"
"286",136,1.35565726469722,"OE"
"287",137,0.960130397029484,"OE"
"288",138,0.994017850738104,"OE"
"289",139,0.838592534202507,"OE"
"290",140,0.984505022599306,"OE"
"291",141,0.773962687264329,"OE"
"292",142,0.702829564122469,"OE"
"293",143,0.657714472403197,"OE"
"294",144,0.992986445835426,"OE"
"295",145,0.884279870312171,"OE"
"296",146,0.952238125829016,"OE"
"297",147,0.697468113736777,"OE"
"298",148,0.917500696024068,"OE"
"299",149,1.15685043849284,"OE"
"300",150,1.23519485318173,"OE"
"301",1,1.30989141953807,"WT"
"302",2,1.2988104340647,"WT"
"303",3,1.31164863017789,"WT"
"304",4,1.31269740599451,"WT"
"305",5,1.29380709197559,"WT"
"306",6,1.31489578680106,"WT"
"307",7,1.24828525068045,"WT"
"308",8,1.31803142404464,"WT"
"309",9,1.28071200898467,"WT"
"310",10,1.20619821711296,"WT"
"311",11,1.30744945151807,"WT"
"312",12,1.25129457987487,"WT"
"313",13,1.29933112184675,"WT"
"314",14,1.29335175877329,"WT"
"315",15,1.29387142742181,"WT"
"316",16,1.18937943052628,"WT"
"317",17,1.24076941742005,"WT"
"318",18,1.21500342997664,"WT"
"319",19,1.22489143810935,"WT"
"320",20,1.29487539690803,"WT"
"321",21,1.18132167183309,"WT"
"322",22,1.17583193234833,"WT"
"323",23,1.28170432859637,"WT"
"324",24,1.30786466451189,"WT"
"325",25,1.23586309625494,"WT"
"326",26,1.24131625356107,"WT"
"327",27,1.17188618317928,"WT"
"328",28,1.1971665348529,"WT"
"329",29,1.25015912012941,"WT"
"330",30,1.19136646104242,"WT"
"331",31,1.23759597713718,"WT"
"332",32,1.28873567145992,"WT"
"333",33,1.16129298440279,"WT"
"334",34,1.17882333055469,"WT"
"335",35,1.281940524223,"WT"
"336",36,1.26925405116459,"WT"
"337",37,1.1450608835257,"WT"
"338",38,1.18174257359548,"WT"
"339",39,1.23096271570384,"WT"
"340",40,1.17394668797359,"WT"
"341",41,1.20552259475645,"WT"
"342",42,1.21697368586451,"WT"
"343",43,1.22013287836058,"WT"
"344",44,1.21855781401124,"WT"
"345",45,1.23658600637727,"WT"
"346",46,1.24518171169611,"WT"
"347",47,1.11548203960123,"WT"
"348",48,1.11916772604038,"WT"
"349",49,1.10057475796195,"WT"
"350",50,1.14098793491697,"WT"
"351",51,1.11144481127896,"WT"
"352",52,1.17220128517391,"WT"
"353",53,1.18060677446255,"WT"
"354",54,1.23234070594965,"WT"
"355",55,1.1181034414842,"WT"
"356",56,1.05744478224784,"WT"
"357",57,1.14794889143007,"WT"
"358",58,1.16842824665816,"WT"
"359",59,1.01591861821641,"WT"
"360",60,1.1451637165754,"WT"
"361",61,1.10435026890569,"WT"
"362",62,1.12318458173039,"WT"
"363",63,1.0966324007515,"WT"
"364",64,1.04963881807097,"WT"
"365",65,1.1820658689679,"WT"
"366",66,1.17064956566788,"WT"
"367",67,1.15248869100479,"WT"
"368",68,1.070565175412,"WT"
"369",69,1.06468272152484,"WT"
"370",70,1.07708654109181,"WT"
"371",71,1.05404925776399,"WT"
"372",72,1.07886617241929,"WT"
"373",73,0.985083378164035,"WT"
"374",74,1.04358877106627,"WT"
"375",75,0.933617340613693,"WT"
"376",76,1.22834200108736,"WT"
"377",77,1.1874262105495,"WT"
"378",78,1.10598834735095,"WT"
"379",79,1.21907358639727,"WT"
"380",80,1.11517338448728,"WT"
"381",81,1.01539904396005,"WT"
"382",82,0.966947433713957,"WT"
"383",83,1.03899592208064,"WT"
"384",84,1.08284545058798,"WT"
"385",85,0.946989141603023,"WT"
"386",86,1.06718560186178,"WT"
"387",87,1.02914367266731,"WT"
"388",88,1.12369504235536,"WT"
"389",89,0.972286754689203,"WT"
"390",90,1.10951829134705,"WT"
"391",91,1.02902176953845,"WT"
"392",92,1.13437901081399,"WT"
"393",93,0.891786029592899,"WT"
"394",94,1.00174654077912,"WT"
"395",95,0.906122540779338,"WT"
"396",96,0.908934457126914,"WT"
"397",97,1.01435453068891,"WT"
"398",98,0.915267814533282,"WT"
"399",99,1.10698916096253,"WT"
"400",100,1.0475997137466,"WT"
"401",101,0.941202634315796,"WT"
"402",102,0.9841208654029,"WT"
"403",103,1.09490277851409,"WT"
"404",104,0.827773415935633,"WT"
"405",105,0.945349277200741,"WT"
"406",106,0.886857199156348,"WT"
"407",107,0.941186950665614,"WT"
"408",108,0.914114365011024,"WT"
"409",109,0.893032268583652,"WT"
"410",110,1.02623907311628,"WT"
"411",111,1.07937050269742,"WT"
"412",112,1.04089952993761,"WT"
"413",113,1.02447650687634,"WT"
"414",114,0.8964752759732,"WT"
"415",115,1.0838968834123,"WT"
"416",116,0.916256499062351,"WT"
"417",117,1.06026519687363,"WT"
"418",118,1.03210443309307,"WT"
"419",119,0.78982785561301,"WT"
"420",120,0.989349272681591,"WT"
"421",121,0.783274313464616,"WT"
"422",122,0.979106552142476,"WT"
"423",123,0.770380588391599,"WT"
"424",124,1.12778007281479,"WT"
"425",125,0.837995177928998,"WT"
"426",126,1.07191669352696,"WT"
"427",127,0.941013901239843,"WT"
"428",128,0.905416562764343,"WT"
"429",129,0.981657560034264,"WT"
"430",130,1.01556188489945,"WT"
"431",131,0.835262740577031,"WT"
"432",132,0.779618021182084,"WT"
"433",133,0.915254246974904,"WT"
"434",134,0.937762825958512,"WT"
"435",135,0.904419038359773,"WT"
"436",136,0.685526138478341,"WT"
"437",137,0.832414692227515,"WT"
"438",138,0.988397205318762,"WT"
"439",139,0.768185722328667,"WT"
"440",140,0.896719310099553,"WT"
"441",141,0.707248921923196,"WT"
"442",142,0.781039514300825,"WT"
"443",143,0.951430616467683,"WT"
"444",144,1.09237402416485,"WT"
"445",145,1.01826804939173,"WT"
"446",146,0.941850301484327,"WT"
"447",147,0.943731773117898,"WT"
"448",148,0.733641326677915,"WT"
"449",149,0.853643213825229,"WT"
"450",150,0.965399492239557,"WT"
