"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Unassigned|f__Unassigned",0.0147111269614836,0.022362664073894,0.0123003075076877,0.0160202360876897,0.00561060915185077,0.0125281079344684,0.0185527199462727,0.0200737754139144,0.0190098006083136,0.0191544434857636,0.0167052993365838,0.0176650634018365,0.0232558139534884,0.0187367784829254,0.0215397215397215,0.0188097684343634,0.0191140776699029,0.0191533880572992
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0.0166726105563481,0.0175822395073732,0.030900772519313,0.0273647094894987,0.031769163509181,0.0241728236427883,0.0141873740765615,0.0119241657373252,0.0104765123352484,0.0131147540983607,0.0152665654224283,0.0168780061215566,0.00959398265407936,0.0139770323360532,0.0105651105651106,0.0181775073105192,0.0164593446601942,0.0132786093674553
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Devosiaceae",0.0149786019971469,0.0115054286177281,0.0170254256356409,0.0142572435995707,0.0267414747886913,0.0190330870542885,0.00931833445265279,0.0141545852277601,0.00625211220006759,0.0106125970664366,0.0111102230037567,0.0090074333187582,0.00721467495586768,0.00853732245391357,0.00917280917280917,0.0081403619694934,0.0100121359223301,0.0122324159021407
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae 1",0.00962910128388017,0.00923675255226057,0.00525013125328133,0.00574888854821401,0.00349752258816672,0.00851268872470286,0.0271155137676293,0.0134683023076263,0.0163906725245015,0.0181190681622088,0.00967148908960115,0.0358548316571928,0.00475861539642336,0.00332426715019643,0.00655200655200655,0.00442582786690903,0.00295813106796117,0.00587477868984388
"k__Bacteria|p__Actinobacteria|c__Unassigned|o__Unassigned|f__Unassigned",0.00740014265335235,0.0124777183600713,0.00675016875421886,0.00904491798252338,0.00517341882832993,0.00795053003533569,0.0130960376091336,0.0144977266878271,0.00904021628928692,0.011993097497843,0.0116697306370394,0.0143419326628771,0.0124338015196869,0.00906618313689937,0.0107289107289107,0.00916778629574014,0.00986043689320388,0.00981812328987607
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae",0.0130171184022825,0.00988494571382272,0.0120003000075002,0.0110378660125709,0.014062955406587,0.0141342756183746,0.00915043653458697,0.00960796088187355,0.00515376816492058,0.00750647109577222,0.0114299416513468,0.00874508089199825,0.0081356972906593,0.010123904502871,0.00753480753480754,0.0090097210147791,0.00819174757281553,0.00973764686946725
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae",0.00891583452211127,0.0124777183600713,0.00862521563039076,0.00904491798252338,0.00590206936753133,0.00634436235142949,0.00915043653458697,0.010723170627091,0.00819533626225076,0.0091458153580673,0.0104707857085765,0.00953213817227809,0.00721467495586768,0.00649743124811121,0.0104013104013104,0.00964198213862325,0.00743325242718447,0.0106228874939643
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae",0.00927246790299572,0.00972289742343218,0.00705017625440636,0.0109612141652614,0.00961818711745847,0.0135721169290074,0.00789120214909335,0.00746332675645535,0.00726596823251098,0.00716134598792062,0.00903205179442091,0.00865763008307827,0.0083659528743572,0.00831066787549108,0.0085995085995086,0.00861455781237651,0.00955703883495146,0.0079671656204732
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae",0.0106098430813124,0.00956084913304165,0.0126003150078752,0.00751188103633298,0.00619352958321189,0.00899453902987472,0.0124244459368704,0.00814960967658917,0.00447786414329165,0.00750647109577222,0.0084725441611382,0.0106689986882379,0.00590989331491289,0.00498640072529465,0.00647010647010647,0.00505808899075318,0.00379247572815534,0.00885240624497022
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae",0.00338801711840228,0.00234970021066278,0.00217505437635941,0.00283611835045225,0.011439813465462,0.00313202698361709,0.00772330423102754,0.020502702238998,0.00363298411625549,0.0220880069025022,0.0111901526656542,0.0187144731088763,0.00130478164095479,0.00181323662737987,0.00425880425880426,0.00237097921441555,0.0089502427184466,0.00531144374698213
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Unassigned|f__Unassigned",0.00722182596291013,0.00607681088964511,0.00712517812945324,0.00728192549440441,0.00706791023025357,0.00570189527786701,0.0073875083948959,0.00540447799605387,0.00574518418384589,0.00629853321829163,0.00735352889457278,0.00559685177087888,0.0063704044823087,0.0080840132970686,0.00712530712530712,0.00632261123844148,0.00872269417475728,0.00563334942861742
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae",0.00374465049928673,0.00421325555015395,0.00217505437635941,0.00367928867085697,0.00546487904401049,0.00232894314166399,0.0031900604432505,0.0101226730719739,0.00160527205136871,0.00543572044866264,0.00823275517544561,0.00638390905115872,0.0236395732596515,0.00143547899667573,0.00491400491400491,0.00474195842883111,0.0107706310679612,0.00804764204088202
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Kribbellaceae",0.0041904422253923,0.00980392156862745,0.00562514062851571,0.00337268128161889,0.00276887204896532,0.00385480244137488,0.00646406984553392,0.00617654628120443,0.00532274417032781,0.00474547023295945,0.00655423227559747,0.00638390905115872,0.00583314145368025,0.00838621940163191,0.00556920556920557,0.00821939460997392,0.0106947815533981,0.0059552551102527
