"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"37",0.85,0.0286065573770492,0.0112850781483763,0.00112850781483764,"unweighted","KO"
"38",0.9,0.0139071038251366,0.00762079457610307,0.000762079457610307,"unweighted","KO"
"39",0.95,0.00289617486338798,0.00384087474313487,0.000384087474313487,"unweighted","KO"
"40",1,0,0,0,"unweighted","KO"
"41",0.05,0.628260869565217,0.0119232879442726,0.00119232879442726,"weighted","OE"
"42",0.1,0.578423913043478,0.0143584230772385,0.00143584230772385,"weighted","OE"
"43",0.15,0.532744565217391,0.0152323580251289,0.00152323580251289,"weighted","OE"
"44",0.2,0.485054347826087,0.0173783473087956,0.00173783473087956,"weighted","OE"
"45",0.25,0.440815217391304,0.0207977871697009,0.00207977871697009,"weighted","OE"
"46",0.3,0.39445652173913,0.0192564260060231,0.00192564260060231,"weighted","OE"
"47",0.35,0.351548913043478,0.0201125343521138,0.00201125343521138,"weighted","OE"
"48",0.4,0.310516304347826,0.0193766493359276,0.00193766493359276,"weighted","OE"
"49",0.45,0.267663043478261,0.0222629174859829,0.00222629174859829,"weighted","OE"
"50",0.5,0.233804347826087,0.0194652327383672,0.00194652327383672,"weighted","OE"
"51",0.55,0.194891304347826,0.0194926495434869,0.00194926495434869,"weighted","OE"
"52",0.6,0.157010869565217,0.0158335820628492,0.00158335820628492,"weighted","OE"
"53",0.65,0.126141304347826,0.0164236776504423,0.00164236776504423,"weighted","OE"
"54",0.7,0.0946739130434783,0.014992216956959,0.0014992216956959,"weighted","OE"
"55",0.75,0.0675271739130435,0.0116535902359459,0.00116535902359459,"weighted","OE"
"56",0.8,0.0484782608695652,0.0129530425100488,0.00129530425100488,"weighted","OE"
"57",0.85,0.0264402173913043,0.00990637289867293,0.000990637289867293,"weighted","OE"
"58",0.9,0.0117934782608696,0.00688990632929652,0.000688990632929652,"weighted","OE"
"59",0.95,0.00361413043478261,0.00405186037071468,0.000405186037071468,"weighted","OE"
"60",1,0,0,0,"weighted","OE"
"61",0.05,0.581304347826087,0.0118522623275649,0.0011852262327565,"unweighted","OE"
"62",0.1,0.536875,0.0171526456084778,0.00171526456084778,"unweighted","OE"
"63",0.15,0.495597826086957,0.018690573530663,0.0018690573530663,"unweighted","OE"
"64",0.2,0.448478260869565,0.0187349769237384,0.00187349769237384,"unweighted","OE"
"65",0.25,0.407989130434783,0.0232992425819796,0.00232992425819796,"unweighted","OE"
"66",0.3,0.369021739130435,0.0230933854782282,0.00230933854782282,"unweighted","OE"
"67",0.35,0.327717391304348,0.0224779748097893,0.00224779748097893,"unweighted","OE"
