"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"29",9,0.418975609756098,0.00957945531973688,0.000957945531973688,"unweighted","Group1"
"30",10,0.417048780487805,0.0102574729151677,0.00102574729151677,"unweighted","Group1"
"31",11,0.416195121951219,0.0091622674845341,0.00091622674845341,"unweighted","Group1"
"32",12,0.416780487804878,0.00981920951385389,0.000981920951385388,"unweighted","Group1"
"33",13,0.415317073170732,0.00941814261389683,0.000941814261389683,"unweighted","Group1"
"34",14,0.413073170731707,0.00869106693575073,0.000869106693575073,"unweighted","Group1"
"35",15,0.411390243902439,0.00741946102660165,0.000741946102660165,"unweighted","Group1"
"36",16,0.411390243902439,0.00765857424633312,0.000765857424633312,"unweighted","Group1"
"37",17,0.40980487804878,0.00587272087126073,0.000587272087126073,"unweighted","Group1"
"38",18,0.408658536585366,0.0053747490602079,0.00053747490602079,"unweighted","Group1"
"39",19,0.406609756097561,0.00442996186205699,0.000442996186205699,"unweighted","Group1"
"40",20,0.407317073170732,0,0,"unweighted","Group1"
"41",1,0.644379562043796,0.00332998509902251,0.000332998509902251,"weighted","Group2"
"42",2,0.641313868613139,0.00461620466938706,0.000461620466938706,"weighted","Group2"
"43",3,0.639270072992701,0.00449065944619233,0.000449065944619233,"weighted","Group2"
"44",4,0.636812652068127,0.00540034382519513,0.000540034382519513,"weighted","Group2"
"45",5,0.633917274939173,0.0053844308281041,0.00053844308281041,"weighted","Group2"
"46",6,0.631727493917275,0.00565631655285083,0.000565631655285083,"weighted","Group2"
"47",7,0.62992700729927,0.00560299496924377,0.000560299496924377,"weighted","Group2"
"48",8,0.627664233576642,0.0059140515265974,0.00059140515265974,"weighted","Group2"
"49",9,0.625206812652068,0.00557539225983212,0.000557539225983212,"weighted","Group2"
"50",10,0.622676399026764,0.00521816755347789,0.000521816755347789,"weighted","Group2"
"51",11,0.618710462287105,0.00642614799935611,0.000642614799935611,"weighted","Group2"
"52",12,0.61712895377129,0.00648381475569537,0.000648381475569537,"weighted","Group2"
"53",13,0.616228710462287,0.00602821554042626,0.000602821554042626,"weighted","Group2"
"54",14,0.612408759124088,0.00685133825105115,0.000685133825105116,"weighted","Group2"
"55",15,0.612238442822384,0.00423059249172586,0.000423059249172586,"weighted","Group2"
"56",16,0.608759124087591,0.00526743968133651,0.000526743968133651,"weighted","Group2"
"57",17,0.607372262773723,0.0044240519479018,0.000442405194790181,"weighted","Group2"
"58",18,0.605036496350365,0.00484222025421717,0.000484222025421717,"weighted","Group2"
"59",19,0.603868613138686,0.0022061046248034,0.00022061046248034,"weighted","Group2"
"60",20,0.602506082725061,0.00157169466255169,0.000157169466255169,"weighted","Group2"
"61",21,0.600973236009732,0,0,"weighted","Group2"
"62",1,0.625790754257908,0.000978138992953003,9.78138992953003e-05,"unweighted","Group2"
"63",2,0.624063260340633,0.00144648039597055,0.000144648039597055,"unweighted","Group2"
"64",3,0.622384428223844,0.00192546853309748,0.000192546853309748,"unweighted","Group2"
"65",4,0.621167883211679,0.00220081273414426,0.000220081273414426,"unweighted","Group2"
"66",5,0.618880778588808,0.00222835434046905,0.000222835434046905,"unweighted","Group2"
"67",6,0.617226277372263,0.00239294462929414,0.000239294462929414,"unweighted","Group2"
"68",7,0.615498783454988,0.00211646201957824,0.000211646201957824,"unweighted","Group2"
"69",8,0.614038929440389,0.00273736963750839,0.000273736963750839,"unweighted","Group2"
"70",9,0.611435523114355,0.00401066807312812,0.000401066807312812,"unweighted","Group2"
"71",10,0.610097323600973,0.00399385961143395,0.000399385961143395,"unweighted","Group2"
"72",11,0.607688564476886,0.00514244424245424,0.000514244424245424,"unweighted","Group2"
"73",12,0.605985401459854,0.00554204438305949,0.000554204438305949,"unweighted","Group2"
"74",13,0.604111922141119,0.00622767162747034,0.000622767162747034,"unweighted","Group2"
"75",14,0.602676399026764,0.00603461026458467,0.000603461026458467,"unweighted","Group2"
"76",15,0.600510948905109,0.00579392563825535,0.000579392563825535,"unweighted","Group2"
"77",16,0.6,0.00403297038448054,0.000403297038448054,"unweighted","Group2"
"78",17,0.597445255474453,0.00541714842415594,0.000541714842415594,"unweighted","Group2"
"79",18,0.596082725060827,0.00456822064572783,0.000456822064572783,"unweighted","Group2"
"80",19,0.59374695863747,0.00485947829206179,0.000485947829206179,"unweighted","Group2"
"81",20,0.593114355231144,0.00102908171455389,0.000102908171455389,"unweighted","Group2"
"82",21,0.591240875912409,0,0,"unweighted","Group2"
"83",1,0.53984693877551,0.0047660442296059,0.00047660442296059,"weighted","Group3"
"84",2,0.537040816326531,0.00634764167780559,0.000634764167780559,"weighted","Group3"
"85",3,0.534872448979592,0.00776015056353746,0.000776015056353746,"weighted","Group3"
"86",4,0.534260204081633,0.00774488818164091,0.000774488818164091,"weighted","Group3"
"87",5,0.532040816326531,0.00815875468043625,0.000815875468043625,"weighted","Group3"
"88",6,0.531173469387755,0.00723884179009701,0.000723884179009701,"weighted","Group3"
"89",7,0.530127551020408,0.00707456791234983,0.000707456791234983,"weighted","Group3"
