Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	66	57	67	60	57	47	79	61	55	52	77	83	59	63	71	59	69	73
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	349	254	279	278	174	369	361	241	322	338	312	329	292	277	354	292	268	336
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	94	106	41	46	55	99	106	93	71	91	97	90	53	61	108	53	63	102
Bacteria|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales	2	2	1	0	0	0	3	6	1	4	4	2	0	1	5	7	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	19	7	15	16	34	17	15	7	23	25	16	11	33	30	15	19	24	18
Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	13	3	7	6	5	3	12	30	69	42	5	4	34	10	8	5	4	10
Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	49	49	38	26	18	29	56	34	44	30	39	53	38	24	46	40	32	40
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	1	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis	222	206	197	179	188	193	328	203	223	220	284	299	202	228	343	283	237	325
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	147	145	125	150	63	136	210	145	179	135	175	182	126	166	178	175	166	220
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	41	33	32	39	174	40	93	244	46	248	145	221	25	28	58	34	120	74
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	39	66	83	32	49	37	82	65	41	59	66	48	44	84	53	72	54	77
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	243	200	319	388	403	384	212	203	249	231	392	271	237	321	302	334	298	336
Bacteria|Proteobacteria|Unassigned|Unassigned	158	181	91	102	94	113	197	148	162	133	167	158	204	136	181	168	146	208
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	6	3	9	9	13	4	9	9	11	16	14	9	5	20	12	17	6	22
Bacteria|Unassigned|Unassigned|Unassigned	41	58	23	32	32	36	58	50	50	43	54	58	70	34	38	35	45	35
Bacteria|Verrucomicrobia|Opitutae|Opitutales	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	10	4	11	1	5	8	19	9	21	8	21	19	10	10	12	15	6	8
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned	5	6	2	3	8	4	4	10	3	3	1	7	1	3	49	1	0	4
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	2	7	1	1	1	2	26	9	10	6	22	28	15	5	15	10	4	6
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	1	5	2	7	7	5	11	4	3	10	4	4	3	10	8	10	9	3
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	46	57	65	39	40	53	89	84	60	57	76	78	66	62	81	51	58	52
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	16	16	13	12	12	12	37	11	14	18	25	32	16	17	13	16	12	13
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	0	2	1	0	0	0	3	1	3	2	3	2	0	5	2	0	2	4
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	9	22	8	4	2	9	6	10	5	15	7	10	14	6	5	14	12	6
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae	3	8	4	4	2	3	7	9	4	5	7	6	5	3	6	8	3	2
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	8	29	12	9	4	13	19	28	13	10	12	38	8	5	15	21	22	9
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae	5	2	3	3	0	3	5	5	1	2	0	3	2	1	5	1	4	3
