Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|chajnantorensis	3	8	2	5	5	4	5	3	4	1	26	6	36	8	8	4	8	7
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|guizhouensis	18	50	6	8	3	30	8	10	12	15	20	20	37	11	13	6	13	14
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|isolaginshaensis	250	547	276	244	240	264	241	213	196	245	347	248	423	309	376	354	321	249
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|rhizosphaerae	5	12	20	1	4	5	1	3	3	1	3	1	6	1	43	4	2	9
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|terrae	36	84	96	38	69	42	30	46	32	39	54	33	40	78	58	73	17	61
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|Unassigned	5	2	4	1	0	1	1	2	4	1	0	2	6	3	7	3	3	4
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|mangrovi	1	0	0	1	6	1	0	2	0	0	1	7	2	0	0	3	0	1
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|nigra	7	7	12	2	4	8	9	7	10	3	4	8	15	4	4	11	19	4
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|profundimaris	2	11	32	15	0	3	9	9	4	10	8	7	11	14	2	6	4	7
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|isguenensis	4	3	1	5	2	3	3	0	2	2	1	5	7	5	2	3	0	4
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|stipae	6	1	8	0	1	0	0	11	0	0	0	4	0	0	6	1	0	1
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|Unassigned	2	4	2	3	3	1	1	3	1	0	2	5	2	1	3	1	1	2
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|yanglingensis	14	37	5	4	1	9	8	21	7	6	4	7	9	9	7	4	3	4
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Unassigned|Unassigned	72	132	42	119	34	91	115	111	100	87	93	96	92	113	116	126	62	112
