"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"2958","KO5",0.0436456996148909,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Other"
"3260","KO5",0.0436456996148909,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Other"
"399","WT4",0.0433392924860502,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Other"
"2758","WT4",0.0433392924860502,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_2","Other"
"3296","WT4",0.0433392924860502,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"1036","OE3",0.0433125433125433,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"1165","OE3",0.0433125433125433,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Other"
"3016","KO6",0.0433064472473339,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3033","OE1",0.0431605882171594,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Other"
"3632","OE1",0.0431605882171594,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Other"
"1043","WT6",0.0430153779976342,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"3153","WT6",0.0430153779976342,"WT","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Other"
"1034","WT1",0.0427818925639723,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"200","WT5",0.0426848788816562,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"215","OE4",0.0424989375265618,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"2035","OE4",0.0424989375265618,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Other"
"3240","OE4",0.0424989375265618,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
