"","id","Abundance","ID","Group","Kingdom","Phylum"
"125","sample15",1.5000767022419,"sample15","Group3","Bacteria","Other"
"635","sample2",1.48678603340436,"sample2","Group1","Archaea","Thaumarchaeota"
"633","sample6",1.45543417493918,"sample6","Group1","Archaea","Thaumarchaeota"
"122","sample16",1.44504637089101,"sample16","Group3","Bacteria","Other"
"486","sample9",1.42303995606206,"sample9","Group2","Bacteria","Other"
"647","sample16",1.39747021732787,"sample16","Group3","Archaea","Thaumarchaeota"
"349","sample17",1.37290491050895,"sample17","Group3","Bacteria","Firmicutes"
"354","sample18",1.36286687082723,"sample18","Group3","Bacteria","Firmicutes"
"644","sample18",1.3552584026021,"sample18","Group3","Archaea","Thaumarchaeota"
"642","sample17",1.35312241900306,"sample17","Group3","Archaea","Thaumarchaeota"
"355","sample2",1.34974912365111,"sample2","Group1","Bacteria","Firmicutes"
"353","sample4",1.34728609833589,"sample4","Group1","Bacteria","Firmicutes"
"348","sample16",1.34545362276551,"sample16","Group3","Bacteria","Firmicutes"
"121","sample13",1.26511118144756,"sample13","Group3","Bacteria","Other"
"357","sample5",1.24462166254457,"sample5","Group1","Bacteria","Firmicutes"
"124","sample18",1.23494949879216,"sample18","Group3","Bacteria","Other"
"360","sample6",1.23067857304746,"sample6","Group1","Bacteria","Firmicutes"
"509","sample5",1.22686038302199,"sample5","Group1","Bacteria","Other"
"109","sample5",1.20954313548748,"sample5","Group1","Bacteria","Other"
"631","sample13",1.2041704262546,"sample13","Group3","Archaea","Thaumarchaeota"
"645","sample15",1.19491135412329,"sample15","Group3","Archaea","Thaumarchaeota"
"64","sample10",1.19490970910003,"sample10","Group2","Bacteria","Other"
"640","sample12",1.19258686048448,"sample12","Group2","Archaea","Thaumarchaeota"
"350","sample14",1.16750598841925,"sample14","Group3","Bacteria","Firmicutes"
"212","sample15",1.15053362845434,"sample15","Group3","Bacteria","Other"
"638","sample7",1.14301437079753,"sample7","Group2","Archaea","Thaumarchaeota"
"123","sample8",1.12169540617607,"sample8","Group2","Bacteria","Other"
"384","sample16",1.12025982923333,"sample16","Group3","Bacteria","Gemmatimonadetes"
"63","sample6",1.11773416134053,"sample6","Group1","Bacteria","Other"
"207","sample6",1.11395675626671,"sample6","Group1","Bacteria","Other"
"643","sample1",1.11204827745479,"sample1","Group1","Archaea","Thaumarchaeota"
"147","sample8",1.09605922407822,"sample8","Group2","Bacteria","Other"
"515","sample16",1.09298283452379,"sample16","Group3","Bacteria","Other"
"114","sample6",1.07656044603599,"sample6","Group1","Bacteria","Other"
"110","sample1",1.06636141820044,"sample1","Group1","Bacteria","Other"
"120","sample12",1.0319427166492,"sample12","Group2","Bacteria","Other"
"201","sample14",1.02541856064178,"sample14","Group3","Bacteria","Other"
"116","sample4",1.01979604079184,"sample4","Group1","Bacteria","Other"
"56","sample2",1.01467454807891,"sample2","Group1","Bacteria","Other"
"637","sample3",0.992331388870682,"sample3","Group1","Archaea","Thaumarchaeota"
"113","sample9",0.990800494301799,"sample9","Group2","Bacteria","Other"
"511","sample3",0.986432457232746,"sample3","Group1","Bacteria","Other"
"112","sample2",0.978160010997319,"sample2","Group1","Bacteria","Other"
"58","sample3",0.972668283410893,"sample3","Group1","Bacteria","Other"
"60","sample9",0.970479198132638,"sample9","Group2","Bacteria","Other"
"484","sample8",0.952586555846399,"sample8","Group2","Bacteria","Other"
"508","sample17",0.945108531694024,"sample17","Group3","Bacteria","Other"
"480","sample6",0.929619388664763,"sample6","Group1","Bacteria","Other"
"204","sample2",0.928328407450684,"sample2","Group1","Bacteria","Other"
"209","sample4",0.926037014819258,"sample4","Group1","Bacteria","Other"
"506","sample18",0.925855477146064,"sample18","Group3","Bacteria","Other"
"118","sample10",0.915445155845824,"sample10","Group2","Bacteria","Other"
"203","sample8",0.908060555360661,"sample8","Group2","Bacteria","Other"
"211","sample13",0.90371833088468,"sample13","Group3","Bacteria","Other"
"481","sample7",0.893087457222945,"sample7","Group2","Bacteria","Other"
"71","sample13",0.874901384630647,"sample13","Group3","Bacteria","Other"
"146","sample7",0.871304836315068,"sample7","Group2","Bacteria","Other"
"215","sample16",0.869692087134139,"sample16","Group3","Bacteria","Other"
"514","sample13",0.858367071206202,"sample13","Group3","Bacteria","Other"
"200","sample1",0.848972296693476,"sample1","Group1","Bacteria","Other"
"512","sample4",0.847386078339888,"sample4","Group1","Bacteria","Other"
"205","sample11",0.843706393871346,"sample11","Group2","Bacteria","Other"
"152","sample12",0.843381755135225,"sample12","Group2","Bacteria","Other"
"442","sample4",0.830944922126686,"sample4","Group1","Bacteria","Other"
"66","sample15",0.817974622515395,"sample15","Group3","Bacteria","Other"
"160","sample9",0.817245640532748,"sample9","Group2","Bacteria","Other"
"119","sample11",0.811362775267297,"sample11","Group2","Bacteria","Other"
"213","sample5",0.80769418628918,"sample5","Group1","Bacteria","Other"
"477","sample3",0.806187323851347,"sample3","Group1","Bacteria","Other"
"519","sample8",0.801018251162623,"sample8","Group2","Bacteria","Other"
"448","sample6",0.795143768037109,"sample6","Group1","Bacteria","Other"
"68","sample16",0.790398497862245,"sample16","Group3","Bacteria","Other"
"521","sample12",0.789996963433866,"sample12","Group2","Bacteria","Other"
"199","sample10",0.784579916466394,"sample10","Group2","Bacteria","Other"
"70","sample12",0.778242513884944,"sample12","Group2","Bacteria","Other"
"513","sample15",0.76537879950034,"sample15","Group3","Bacteria","Other"
"111","sample7",0.761245278043691,"sample7","Group2","Bacteria","Other"
"485","sample10",0.756450005197918,"sample10","Group2","Bacteria","Other"
"482","sample4",0.754515763513964,"sample4","Group1","Bacteria","Other"
"72","sample5",0.75441034772145,"sample5","Group1","Bacteria","Other"
"516","sample14",0.746902053980648,"sample14","Group3","Bacteria","Other"
"437","sample11",0.740206814338388,"sample11","Group2","Bacteria","Other"
"164","sample8",0.722760432127084,"sample8","Group2","Bacteria","Other"
"145","sample1",0.719944573304817,"sample1","Group1","Bacteria","Other"
"216","sample17",0.717609879376258,"sample17","Group3","Bacteria","Other"
"208","sample18",0.715671542426721,"sample18","Group3","Bacteria","Other"
"471","sample18",0.711391779050083,"sample18","Group3","Bacteria","Other"
"61","sample18",0.703307781560877,"sample18","Group3","Bacteria","Other"
"59","sample17",0.699805637020955,"sample17","Group3","Bacteria","Other"
"55","sample4",0.696749538981093,"sample4","Group1","Bacteria","Other"
"172","sample2",0.681318303663482,"sample2","Group1","Bacteria","Other"
"443","sample5",0.662939758180179,"sample5","Group1","Bacteria","Other"
"57","sample1",0.660200218895282,"sample1","Group1","Bacteria","Other"
"115","sample3",0.650848790719014,"sample3","Group1","Bacteria","Other"
"478","sample17",0.649360283680928,"sample17","Group3","Bacteria","Other"
"444","sample10",0.64882251860549,"sample10","Group2","Bacteria","Other"
"473","sample12",0.641597037878714,"sample12","Group2","Bacteria","Other"
"505","sample2",0.638789607533164,"sample2","Group1","Bacteria","Other"
"476","sample1",0.637607815967306,"sample1","Group1","Bacteria","Other"
"210","sample12",0.632781200717021,"sample12","Group2","Bacteria","Other"
"67","sample14",0.629962843508931,"sample14","Group3","Bacteria","Other"
"483","sample5",0.625641071182768,"sample5","Group1","Bacteria","Other"
"69","sample8",0.617966915832366,"sample8","Group2","Bacteria","Other"
"510","sample11",0.614990805171283,"sample11","Group2","Bacteria","Other"
"62","sample7",0.609913385420548,"sample7","Group2","Bacteria","Other"
"163","sample6",0.60816221688349,"sample6","Group1","Bacteria","Other"
"154","sample6",0.603251590287536,"sample6","Group1","Bacteria","Other"
"479","sample11",0.602515409424006,"sample11","Group2","Bacteria","Other"
"202","sample9",0.590416037347247,"sample9","Group2","Bacteria","Other"
"436","sample15",0.578554053165611,"sample15","Group3","Bacteria","Other"
"433","sample16",0.576622981185217,"sample16","Group3","Bacteria","Other"
"469","sample14",0.572750649138359,"sample14","Group3","Bacteria","Other"
"434","sample17",0.563306445630295,"sample17","Group3","Bacteria","Other"
"170","sample4",0.56210980026217,"sample4","Group1","Bacteria","Other"
"435","sample14",0.558290424187555,"sample14","Group3","Bacteria","Other"
"470","sample16",0.537293360906357,"sample16","Group3","Bacteria","Other"
"517","sample9",0.529452148839764,"sample9","Group2","Bacteria","Other"
"518","sample7",0.529088397315005,"sample7","Group2","Bacteria","Other"
"150","sample10",0.528353115999193,"sample10","Group2","Bacteria","Other"
"165","sample9",0.526156803515035,"sample9","Group2","Bacteria","Other"
"439","sample18",0.523557719742073,"sample18","Group3","Bacteria","Other"
"475","sample13",0.52012225943755,"sample13","Group3","Bacteria","Other"
"522","sample10",0.519791838656613,"sample10","Group2","Bacteria","Other"
"507","sample6",0.509949684964417,"sample6","Group1","Bacteria","Other"
"180","sample15",0.507330542832723,"sample15","Group3","Bacteria","Other"
"520","sample1",0.505065718789851,"sample1","Group1","Bacteria","Other"
