"","id","Abundance","Group","Kingdom","Phylum","Class"
"488","KO1",0.0120365912373616,"KO","Bacteria","Verrucomicrobia","Other"
"20","OE5",0.0120066036319976,"OE","Bacteria","Acidobacteria","Other"
"118","OE5",0.0120066036319976,"OE","Bacteria","Acidobacteria","Other"
"65","OE3",0.0115500115500115,"OE","Bacteria","Acidobacteria","Other"
"393","OE3",0.0115500115500115,"OE","Bacteria","Firmicutes","Other"
"389","KO2",0.011069600110696,"KO","Bacteria","Firmicutes","Other"
"85","WT4",0.0108348231215125,"WT","Bacteria","Acidobacteria","Other"
"278","WT4",0.0108348231215125,"WT","Bacteria","Chloroflexi","Other"
"116","KO6",0.0108266118118335,"KO","Bacteria","Acidobacteria","Other"
"283","KO6",0.0108266118118335,"KO","Bacteria","Chloroflexi","Other"
"119","WT6",0.0107538444994085,"WT","Bacteria","Acidobacteria","Other"
"83","WT1",0.0106954731409931,"WT","Bacteria","Acidobacteria","Other"
"390","WT1",0.0106954731409931,"WT","Bacteria","Firmicutes","Other"
"436","KO4",0.010497034587729,"KO","Bacteria","Ignavibacteriae","Other"
"540","KO4",0.010497034587729,"KO","Bacteria","Verrucomicrobia","Other"
"124","WT2",0.0104201943366244,"WT","Bacteria","Acidobacteria","Other"
"134","KO5",0.0102695763799743,"KO","Bacteria","Acidobacteria","Other"
"292","KO5",0.0102695763799743,"KO","Bacteria","Chlamydiae","Other"
"379","KO3",0.0102693127262458,"KO","Bacteria","Firmicutes","Other"
"537","KO3",0.0102693127262458,"KO","Bacteria","Verrucomicrobia","Other"
"145","OE4",0.00910691518426325,"OE","Bacteria","Acidobacteria","Other"
"215","OE4",0.00910691518426325,"OE","Bacteria","Armatimonadetes","Other"
"61","OE2",0.00903941183560323,"OE","Bacteria","Acidobacteria","Other"
"147","OE2",0.00903941183560323,"OE","Bacteria","Acidobacteria","Other"
"214","OE2",0.00903941183560323,"OE","Bacteria","Armatimonadetes","Other"
"395","OE2",0.00903941183560323,"OE","Bacteria","Firmicutes","Other"
"435","OE2",0.00903941183560323,"OE","Bacteria","Ignavibacteriae","Other"
"527","KO1",0.00902744342802118,"KO","Bacteria","Verrucomicrobia","Other"
"108","OE5",0.0090049527239982,"OE","Bacteria","Acidobacteria","Other"
"211","OE3",0.00866250866250866,"OE","Bacteria","Armatimonadetes","Other"
"113","KO2",0.008302200083022,"KO","Bacteria","Acidobacteria","Other"
"63","WT3",0.00820277253711755,"WT","Bacteria","Acidobacteria","Other"
"159","WT4",0.00812611734113441,"WT","Bacteria","Acidobacteria","Other"
"450","WT4",0.00812611734113441,"WT","Bacteria","Ignavibacteriae","Other"
"482","WT4",0.00812611734113441,"WT","Bacteria","Proteobacteria","Other"
"97","KO6",0.00811995885887512,"KO","Bacteria","Acidobacteria","Other"
"162","KO6",0.00811995885887512,"KO","Bacteria","Acidobacteria","Other"
"205","WT6",0.0080653833745564,"WT","Bacteria","Armatimonadetes","Other"
"95","WT5",0.00800341479031053,"WT","Bacteria","Acidobacteria","Other"
"295","WT5",0.00800341479031053,"WT","Bacteria","Chlamydiae","Other"
"478","WT5",0.00800341479031053,"WT","Bacteria","Proteobacteria","Other"
"37","KO4",0.00787277594079673,"KO","Bacteria","Acidobacteria","Other"
"57","KO4",0.00787277594079673,"KO","Bacteria","Acidobacteria","Other"
"154","KO4",0.00787277594079673,"KO","Bacteria","Acidobacteria","Other"
"60","WT2",0.00781514575246828,"WT","Bacteria","Acidobacteria","Other"
"384","WT2",0.00781514575246828,"WT","Bacteria","Firmicutes","Other"
"479","WT2",0.00781514575246828,"WT","Bacteria","Proteobacteria","Other"
"382","KO5",0.00770218228498074,"KO","Bacteria","Firmicutes","Other"
"539","KO5",0.00770218228498074,"KO","Bacteria","Verrucomicrobia","Other"
"207","OE6",0.00624044431963556,"OE","Bacteria","Armatimonadetes","Other"
"156","OE1",0.00616579831673706,"OE","Bacteria","Acidobacteria","Other"
"448","OE1",0.00616579831673706,"OE","Bacteria","Ignavibacteriae","Other"
"396","OE4",0.00607127678950883,"OE","Bacteria","Firmicutes","Other"
"157","KO1",0.00601829561868079,"KO","Bacteria","Acidobacteria","Other"
"473","KO1",0.00601829561868079,"KO","Bacteria","Proteobacteria","Other"
"443","OE5",0.0060033018159988,"OE","Bacteria","Ignavibacteriae","Other"
"146","OE3",0.00577500577500577,"OE","Bacteria","Acidobacteria","Other"
"434","OE3",0.00577500577500577,"OE","Bacteria","Ignavibacteriae","Other"
"486","OE3",0.00577500577500577,"OE","Bacteria","Proteobacteria","Other"
"67","KO2",0.005534800055348,"KO","Bacteria","Acidobacteria","Other"
"101","KO2",0.005534800055348,"KO","Bacteria","Acidobacteria","Other"
"200","KO2",0.005534800055348,"KO","Bacteria","Armatimonadetes","Other"
"470","KO2",0.005534800055348,"KO","Bacteria","Proteobacteria","Other"
"160","WT3",0.00546851502474503,"WT","Bacteria","Acidobacteria","Other"
"59","KO6",0.00541330590591674,"KO","Bacteria","Acidobacteria","Other"
"287","WT6",0.00537692224970427,"WT","Bacteria","Chloroflexi","Other"
"388","WT6",0.00537692224970427,"WT","Bacteria","Firmicutes","Other"
