"","id","Abundance","Group","Kingdom","Phylum"
"39","WT2",0.028655534425717,"WT","Bacteria","Other"
"86","OE1",0.0277460924253168,"OE","Bacteria","Other"
"105","WT1",0.0267386828524827,"WT","Bacteria","Chlamydiae"
"73","OE3",0.025987525987526,"OE","Bacteria","Other"
"99","OE5",0.0240132072639952,"OE","Bacteria","Chlamydiae"
"87","OE6",0.0218415551187245,"OE","Bacteria","Other"
"160","WT6",0.0215076889988171,"WT","Bacteria","Other"
"44","OE5",0.0210115563559958,"OE","Bacteria","Other"
"93","KO4",0.0209940691754579,"KO","Bacteria","Chlamydiae"
"100","KO2",0.019371800193718,"KO","Bacteria","Chlamydiae"
"149","KO2",0.019371800193718,"KO","Bacteria","Other"
"157","WT3",0.0191398025866076,"WT","Bacteria","Other"
"76","KO6",0.0189465706707086,"KO","Bacteria","Other"
"243","OE6",0.0187213329589067,"OE","Archaea","Other"
"37","KO2",0.01383700013837,"KO","Bacteria","Other"
"85","WT4",0.0135435289018907,"WT","Bacteria","Other"
"43","KO6",0.0135332647647919,"KO","Bacteria","Other"
"48","KO3",0.0128366409078072,"KO","Bacteria","Other"
"147","OE6",0.0124808886392711,"OE","Bacteria","Other"
"41","KO1",0.0120365912373616,"KO","Bacteria","Other"
"155","KO1",0.0120365912373616,"KO","Bacteria","Other"
"90","WT5",0.010671219720414,"WT","Bacteria","Other"
"50","KO4",0.010497034587729,"KO","Bacteria","Other"
"78","KO4",0.010497034587729,"KO","Bacteria","Other"
"151","KO4",0.010497034587729,"KO","Bacteria","Other"
"40","KO5",0.0102695763799743,"KO","Bacteria","Other"
"95","KO5",0.0102695763799743,"KO","Bacteria","Chlamydiae"
"242","OE1",0.00924869747510559,"OE","Archaea","Other"
"146","OE2",0.00903941183560323,"OE","Bacteria","Other"
"245","OE2",0.00903941183560323,"OE","Archaea","Other"
"237","KO2",0.008302200083022,"KO","Archaea","Other"
"158","WT4",0.00812611734113441,"WT","Bacteria","Other"
"241","WT4",0.00812611734113441,"WT","Archaea","Other"
"248","WT6",0.0080653833745564,"WT","Archaea","Other"
"246","WT1",0.00802160485574481,"WT","Archaea","Other"
"107","WT5",0.00800341479031053,"WT","Bacteria","Chlamydiae"
"150","OE1",0.00616579831673706,"OE","Bacteria","Other"
"153","OE5",0.0060033018159988,"OE","Bacteria","Other"
"152","OE3",0.00577500577500577,"OE","Bacteria","Other"
"239","WT3",0.00546851502474503,"WT","Archaea","Other"
"148","WT5",0.00533560986020702,"WT","Bacteria","Other"
"252","WT5",0.00533560986020702,"WT","Archaea","Other"
"238","KO1",0.00300914780934039,"KO","Archaea","Other"
"236","OE5",0.0030016509079994,"OE","Archaea","Other"
"244","OE3",0.00288750288750289,"OE","Archaea","Other"
"154","WT1",0.00267386828524827,"WT","Bacteria","Other"
"74","WT2",0.00260504858415609,"WT","Bacteria","Other"
"161","WT2",0.00260504858415609,"WT","Bacteria","Other"
"145","KO3",0.00256732818156145,"KO","Bacteria","Other"
"159","KO5",0,"KO","Bacteria","Other"
"235","KO6",0,"KO","Archaea","Other"
"240","KO3",0,"KO","Archaea","Other"
"247","KO4",0,"KO","Archaea","Other"
"249","WT2",0,"WT","Archaea","Other"
"250","KO5",0,"KO","Archaea","Other"
"251","OE4",0,"OE","Archaea","Other"
