"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family"
"1646","OE4",0.118389897395422,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"1489","OE3",0.118387618387618,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1641","WT6",0.118292289493494,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"824","KO5",0.118100128369705,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"768","WT1",0.117650204550924,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"405","KO1",0.117356764564275,"KO","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"475","OE5",0.117064385411977,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1076","OE5",0.117064385411977,"OE","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Other"
"1088","WT4",0.11647434855626,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1479","WT4",0.11647434855626,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1093","KO2",0.116230801162308,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"757","WT6",0.115603828368642,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"1023","WT6",0.115603828368642,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"408","KO5",0.115532734274711,"KO","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"1609","KO5",0.115532734274711,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Other"
"430","OE3",0.115500115500116,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Other"
"887","OE3",0.115500115500116,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1545","OE6",0.115448219913258,"OE","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Other"
