"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"325","WT6",4.4144531670072,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"576","OE1",4.37155100656658,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"802","KO5",4.28241335044929,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"329","WT2",4.22017870633287,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"566","KO3",4.17190829503735,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"567","KO6",4.16283224164998,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"336","WT1",3.73004625792134,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"730","KO3",3.42738312238453,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"333","WT5",3.39344787109167,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"722","KO5",3.25032092426187,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"87","OE4",3.19349159128165,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"79","KO4",3.16748018684722,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"726","KO4",2.95753949509264,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"723","KO6",2.8284523358415,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"565","KO2",2.69821502698215,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"340","WT3",2.6659010745632,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"77","OE2",2.65758707966735,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"367","WT1",2.52145779298912,"WT","Bacteria","Chloroflexi","Chloroflexia","Other"
"330","KO4",2.35396000629822,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"259","OE4",2.34047720235566,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"83","OE3",2.23492723492723,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"733","WT4",2.18863427054553,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"338","OE5",2.05613087197959,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"735","KO1",2.02816562349543,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
