Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Unassigned	0.176760628895711	0.156236437809218	0.131701270529904	0.240038406144983	0.189264895147248	0.360617242536062	0.0928332714444857	0.085657180927001	0.219118049849356	0.227334727652996	0.256978289765175	0.239808153477218	0.154825391364184	0.210632740753223	0.250761239476984	0.164516408347043	0.142045454545455	0.154559505409583
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Pseudoxanthomonas|arseniciresistens	0.269792538840822	0.130197031507682	0.147195537651069	0.216034565530485	0.340676811265047	0.0922509225092251	0.111399925733383	0.323593794613115	0.127818862412125	0.245521505865236	0.708905626938414	0.278177458033573	0.154825391364184	0.0589771674109024	0.376141859215476	0.173175166681098	0.150401069518717	0.154559505409583
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Pseudoxanthomonas|sangjuensis	0.269792538840822	0.130197031507682	0.131701270529904	0.248039686349816	0.227117874176698	1.05669238510567	0.185666542888971	0.0666222518321119	0.246507806080526	0.181867782122397	0.212671688081524	0.306954436450839	0.163426801995527	0.160080882972449	0.277628515135232	0.164516408347043	0.142045454545455	0.249012536493217
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Unassigned|Unassigned	0.148851055912178	0.147556635708706	0.325379609544469	0.480076812289966	0.499659323188735	0.159342502515934	0.297066468622354	0.190349290948891	0.237377887336803	0.245521505865236	0.221533008418254	0.201438848920863	0.369860657147772	0.53921981632825	0.223893963818735	0.346350333362196	0.259024064171123	0.145972866220161
Bacteria|Proteobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	1.46990417713276	1.57104418019269	0.704989154013015	0.816130580892943	0.711636005753653	0.947668567594767	1.82881544745637	1.40858475302179	1.47904683648316	1.20942075111394	1.47984049623394	1.51558752997602	1.75468776879408	1.14584210969753	1.62099229804764	1.45467140012122	1.21991978609626	1.78602095139962
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Sphaerochaetaceae|Pleomorphochaeta|naphthae	0.0372127639780445	0.00867980210051211	0.0464828013634955	0.0160025604096655	0.0529941706412295	0.0167728950016773	0.0556999628666914	0.0190349290948891	0.0547795124623391	0.0272801673183596	0.053167922020381	0.0383693045563549	0.00860141063134354	0.0842530963012891	0.0716460684219953	0.0779288250064941	0.0417780748663102	0.111626309462476
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Unassigned|Unassigned	0.0186063819890222	0.0173596042010242	0.0232414006817478	0.0560089614338294	0.0454235748353395	0.0167728950016773	0.0278499814333457	0.0666222518321119	0.0456495937186159	0.118214058379558	0.0708905626938414	0.0479616306954436	0.0344056425253742	0.0842530963012891	0.0358230342109977	0.0692700666724392	0.00835561497326203	0.0772797527047913
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.381430830774956	0.503428521829702	0.178184071893399	0.256040966554649	0.242259065788478	0.301912110030191	0.538432974378017	0.475873227372228	0.456495937186159	0.391015731563154	0.478511298183429	0.556354916067146	0.602098744194048	0.286460527424383	0.340318825004478	0.303056541691921	0.376002673796791	0.300532371629744
Bacteria|Verrucomicrobia|Opitutae|Opitutales|Opitutaceae|Geminisphaera|colitermitum	0	0	0.00774713356058258	0.0160025604096655	0.00757059580588992	0.0251593425025159	0.0185666542888971	0	0.0639094312060623	0.0272801673183596	0.0886132033673017	0.0767386091127098	0.0774126956820919	0.0505518577807734	0.0626903098692459	0.0259762750021647	0.0417780748663102	0.0257599175682638
Bacteria|Verrucomicrobia|Opitutae|Opitutales|Opitutaceae|Lacunisphaera|parvula	0.00930319099451112	0	0	0	0	0	0	0.0190349290948891	0.0182598374874464	0.00909338910611985	0.00886132033673017	0.0863309352517986	0.0172028212626871	0.00842530963012891	0.0358230342109977	0.0259762750021647	0	0.0171732783788425
Bacteria|Verrucomicrobia|Opitutae|Opitutales|Opitutaceae|Oleiharenicola|lentus	0	0.00867980210051211	0.00774713356058258	0	0.0151411916117798	0	0.00928332714444857	0.00951746454744456	0.0182598374874464	0.0454669455305993	0.053167922020381	0.0671462829736211	0.0344056425253742	0.0252759288903867	0.0447787927637471	0.0259762750021647	0.0167112299465241	0.00858663918942126
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|glycaniphila	0.0186063819890222	0	0.0154942671211652	0	0.0151411916117798	0.0419322375041932	0.0185666542888971	0.0190349290948891	0.0547795124623391	0.0363735564244794	0.0265839610101905	0.0287769784172662	0.0172028212626871	0.00842530963012891	0.0268672756582483	0.0173175166681098	0.00835561497326203	0.00858663918942126
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Luteolibacter|flavescens	0	0	0.0232414006817478	0	0.00757059580588992	0.00838644750083864	0.0185666542888971	0.0190349290948891	0.0639094312060623	0.00909338910611985	0.0708905626938414	0.0671462829736211	0.0258042318940306	0.0505518577807734	0.00895575855274942	0.0259762750021647	0.0250668449197861	0.00858663918942126
