"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Bacteroidetes|c__Cytophagia",0.010253209700428,0.00623885918003565,0.00285007125178129,0.00298942204507129,0.00378898280384727,0.00168647606810151,0.0143552719946273,0.00857853650167281,0.0131801284217641,0.0218291630716135,0.0103908560466789,0.00804547442063839,0.0107452605725689,0.0102750075551526,0.014004914004914,0.0142258752864933,0.00644720873786408,0.00941574118783197
"k__Bacteria|p__Chloroflexi|c__Chloroflexia",0.00784593437945792,0.00931777669745584,0.00367509187729693,0.00597884409014257,0.00845234625473623,0.00425634436235143,0.00587642713230356,0.0140687998627434,0.0052382561676242,0.0089732528041415,0.0111102230037567,0.00935723655443813,0.029012203545936,0.00415533393774554,0.00810810810810811,0.00869359045285703,0.0130461165048544,0.0119909866409142
"k__Bacteria|p__Actinobacteria|c__Thermoleophilia",0.0090941512125535,0.0107762113109707,0.00510012750318758,0.00728192549440441,0.00517341882832993,0.0102794731769997,0.015530557421088,0.0129535901175259,0.00794187225413991,0.00819672131147541,0.0102309967228839,0.015041539134237,0.00790544170696139,0.00498640072529465,0.00835380835380835,0.00592744803603888,0.00986043689320388,0.007162401416385
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia",0.00508202567760342,0.00559066601847351,0.00570014250356259,0.00360263682354745,0.0032789274264063,0.00433665274654674,0.00957018132975151,0.00746332675645535,0.00566069618114228,0.00664365832614323,0.00679402126129007,0.00839527765631832,0.00537263028628444,0.00589301903898459,0.00794430794430794,0.00553228483363629,0.00477851941747573,0.00563334942861742
"k__Bacteria|p__Bacteroidetes|c__Chitinophagia",0.00160485021398003,0.000729217306757414,0.000750018750468762,0.000689866625785681,0.00029146021568056,0.00096370061034372,0.00545668233713902,0.00308827314060221,0.00540723217303143,0.00448662640207075,0.00303732715210615,0.00253607345867949,0.00337708189423594,0.00498640072529465,0.0036036036036036,0.00355646882162333,0.00257888349514563,0.0016095284081764
"k__Bacteria|p__Planctomycetes|c__Planctomycetacia",0.000445791726105563,0.0017825311942959,0.00150003750093752,0.000689866625785681,0.00014573010784028,0.00056215868936717,0.00428139691067831,0.00660547310628807,0.00321054410273741,0.00129421915444349,0.00279753816641356,0.004984696108439,0.0017652928083506,0.00143547899667573,0.00204750204750205,0.00142258752864933,0.00144114077669903,0.000804764204088202
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes",0.00178316690442225,0.00162048290390536,0.000900022500562514,0.0011497777096428,0.000510055377440979,0.00112431737873434,0.00167897918065816,0.00162992193531783,0.00152078404866509,0.00138050043140638,0.00119894492846295,0.00139921294271972,0.000690766751093714,0.00120882441825325,0.000819000819000819,0.0012645222476883,0.0011377427184466,0.00169000482858522
"k__Bacteria|p__Bacteroidetes|c__Unassigned",0.00169400855920114,0.000648193161562146,0.000375009375234381,0.000996474015023762,0.000801515593121539,0.00056215868936717,0.000923438549361988,0.00128678047525092,0.00202771206488679,0.00112165660051769,0.000879226280872832,0.00104940970703979,0.000997774196024254,0.00120882441825325,0.00139230139230139,0.00197581601201296,0.0010618932038835,0.0016095284081764
"k__Bacteria|p__Chloroflexi|c__Unassigned",0.000178316690442225,0.00121536217792902,0.000150003750093752,0.00022995554192856,0.000582920431361119,0.00024092515258593,0.00151108126259234,0.00317405850561894,0.00126732004055424,0.000862812769628991,0.000959155942770362,0.00113686051595977,0.00145828536342006,0.000831066787549108,0.000982800982800983,0.000869359045285703,0.000910194174757282,0.000643811363270562
"k__Bacteria|p__Nitrospirae|c__Nitrospira",0.000445791726105563,0.000486144871171609,0.000225005625140629,0.000536562931166641,0.00021859516176042,0.00048185030517186,0.00083948959032908,0.000514712190100369,0.000760392024332545,0.000603968938740293,0.000879226280872832,0.00131176213379974,0.000690766751093714,0.000679963735267452,0.000737100737100737,0.0030032403382597,0.000986043689320388,0.00152905198776758
"k__Bacteria|p__Verrucomicrobia|c__Opitutae",8.91583452211127e-05,0.000162048290390536,0.000150003750093752,0.00022995554192856,0.000437190323520839,0.00040154192097655,0.000587642713230356,0.000514712190100369,0.00109834403514701,0.00103537532355479,0.00143873391415554,0.00227372103191955,0.00145828536342006,0.000831066787549108,0.00147420147420147,0.000869359045285703,0.000758495145631068,0.000724287783679382
