observed	predict
A50Sz34r6	34	50.7601548269581
A50Sz41r1	41	42.3228024369017
A50Sz41r2	41	41.3305865921788
A50Sz41r3	41	36.7605286738351
A50Sz41r4	41	47.6863550519358
A50Sz41r5	41	54.0687553282182
A50Sz41r6	41	51.2192959001783
A50Sz48r1	48	51.811524822695
A50Sz48r2	48	49.0114870509608
A50Sz48r3	48	52.2172855879752
A50Sz48r4	48	50.5784050179212
A50Sz48r5	48	57.6753881278538
A50Sz48r6	48	51.4458556149733
A50Sz56r1	56	67.3343315972222
A50Sz56r2	56	43.6884778911565
A50Sz56r3	56	65.0567481884058
A50Sz56r4	56	57.8079324894514
A50Sz56r5	56	59.3967111111111
A50Sz56r6	56	66.674438687392
A50Sz62r1	62	78.6493589743592
A50Sz62r2	62	78.732345360825
A50Sz62r3	62	75.2974014336919
A50Sz62r4	62	74.388655462185
A50Sz62r5	62	64.7458130081301
A50Sz62r6	62	75.7818783068785
A50Sz69r1	69	61.6691479400749
A50Sz69r2	69	77.1332456140352
A50Sz69r3	69	73.7839708561021
A50Sz69r4	69	76.2075386012717
A50Sz69r5	69	65.7891571969696
A50Sz69r6	69	84.7638888888891
A50Sz76r1	76	72.5764921946741
A50Sz76r2	76	83.5550438596493
A50Sz76r3	76	80.2208333333336
A50Sz76r4	76	73.5674715909092
A50Sz76r5	76	86.5600655430714
A50Sz76r6	76	83.5684336198665
A50Sz83r1	83	78.6569964349378
A50Sz83r2	83	84.5565139263255
A50Sz83r3	83	68.7844246031746
A50Sz83r4	83	79.1755036630039
A50Sz83r5	83	78.6813942751618
A50Sz83r6	83	73.9338846480069
A50Sz90r1	90	79.3055096418735
A50Sz90r2	90	80.3330476190478
A50Sz90r3	90	86.7403916211296
A50Sz90r4	90	91.8347731239095
A50Sz90r5	90	103.404822097379
A50Sz90r6	90	84.6224375538333
A50Sz97r1	97	72.7486721611722
A50Sz97r2	97	82.1544959128067
A50Sz97r3	97	82.1171635049686
A50Sz97r4	97	67.5482695810564
A50Sz97r5	97	69.1746685606061
A50Sz97r6	97	95.2710034013609
A50Sz118r1	118	106.331244323343
A50Sz118r2	118	101.489452054795
A50Sz118r3	118	99.9479500891269
A50Sz118r4	118	101.647935103245
A50Sz118r5	118	90.8676044330779
A50Sz118r6	118	83.8847442680778
