"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"70",16,0.590407608695652,0.00318156286738514,0.000318156286738514,"unweighted","OE"
"71",17,0.589538043478261,0.00165562988001343,0.000165562988001343,"unweighted","OE"
"72",18,0.589673913043478,0,0,"unweighted","OE"
"73",1,0.544866310160428,0.00514918482982217,0.000514918482982217,"weighted","WT"
"74",2,0.544117647058823,0.00684594095175454,0.000684594095175454,"weighted","WT"
"75",3,0.544652406417112,0.00766224568593643,0.000766224568593643,"weighted","WT"
"76",4,0.544572192513369,0.00816907033725649,0.000816907033725649,"weighted","WT"
"77",5,0.544010695187166,0.00861117052441954,0.000861117052441954,"weighted","WT"
"78",6,0.543689839572193,0.0086429789108026,0.00086429789108026,"weighted","WT"
"79",7,0.542326203208556,0.00794499896271237,0.000794499896271237,"weighted","WT"
"80",8,0.540748663101604,0.00770566457990259,0.000770566457990259,"weighted","WT"
"81",9,0.541176470588235,0.00806180065715944,0.000806180065715944,"weighted","WT"
"82",10,0.539090909090909,0.00738661186793145,0.000738661186793145,"weighted","WT"
"83",11,0.539224598930481,0.00650579487611253,0.000650579487611253,"weighted","WT"
"84",12,0.537299465240642,0.00671682344646645,0.000671682344646645,"weighted","WT"
"85",13,0.535775401069519,0.00589706620313266,0.000589706620313266,"weighted","WT"
"86",14,0.533930481283422,0.00444326394929611,0.000444326394929611,"weighted","WT"
"87",15,0.532780748663102,0.00406870310535236,0.000406870310535236,"weighted","WT"
"88",16,0.530401069518717,0.00388781677536471,0.000388781677536471,"weighted","WT"
"89",17,0.528529411764706,0.00304160151679294,0.000304160151679294,"weighted","WT"
"90",18,0.527139037433155,0.0017570287183764,0.00017570287183764,"weighted","WT"
"91",19,0.526737967914438,0,0,"weighted","WT"
"92",1,0.557566844919786,0.00375169790913858,0.000375169790913858,"unweighted","WT"
"93",2,0.554679144385027,0.00447048472478114,0.000447048472478114,"unweighted","WT"
"94",3,0.551951871657754,0.00504541066970875,0.000504541066970875,"unweighted","WT"
"95",4,0.550454545454545,0.00505113255147116,0.000505113255147116,"unweighted","WT"
"96",5,0.547860962566845,0.00502022883638298,0.000502022883638298,"unweighted","WT"
"97",6,0.544812834224599,0.00492760048163871,0.000492760048163871,"unweighted","WT"
"98",7,0.542032085561497,0.00624556900104145,0.000624556900104145,"unweighted","WT"
"99",8,0.541069518716577,0.00609861587854328,0.000609861587854328,"unweighted","WT"
"100",9,0.538743315508021,0.00664244323384442,0.000664244323384442,"unweighted","WT"
"101",10,0.536951871657754,0.0060014557545919,0.00060014557545919,"unweighted","WT"
"102",11,0.534385026737968,0.0054943929981743,0.00054943929981743,"unweighted","WT"
"103",12,0.532754010695187,0.00567993127688603,0.000567993127688603,"unweighted","WT"
"104",13,0.530935828877005,0.00433733533129864,0.000433733533129864,"unweighted","WT"
"105",14,0.529304812834225,0.00410932226918234,0.000410932226918234,"unweighted","WT"
"106",15,0.527700534759358,0.00375294884400846,0.000375294884400846,"unweighted","WT"
"107",16,0.526390374331551,0.00286051955006854,0.000286051955006854,"unweighted","WT"
"108",17,0.524919786096257,0.0019703366266175,0.00019703366266175,"unweighted","WT"
"109",18,0.524064171122995,0,0,"unweighted","WT"
"110",19,0.524064171122995,0,0,"unweighted","WT"
