Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Lacipirellula	0.00930319099451112	0.112837427306657	0.0619770684846607	0.0160025604096655	0	0.0167728950016773	0.315633122911251	0.504425621014562	0.191728293618187	0.063653723742839	0.106335844040762	0.258992805755396	0.111818338207466	0.109529025191676	0.134336378291241	0.0952463416746039	0.0334224598930481	0.0429331959471063
Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales|Isosphaeraceae|Paludisphaera	0.0186063819890222	0.0173596042010242	0.0232414006817478	0.0240038406144983	0.00757059580588992	0.0251593425025159	0.102116598588934	0.0571047872846674	0.0273897562311695	0.0727471128489588	0.053167922020381	0.0479616306954436	0.0344056425253742	0.0252759288903867	0.0537345513164965	0.0086587583340549	0.0250668449197861	0.034346556757685
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Aquidulcibacter	0.148851055912178	0.138876833608194	0.0697242020452433	0.072011521843495	0.113558937088349	0.0670915800067092	0.213516524322317	0.10469211002189	0.0730393499497854	0.118214058379558	0.212671688081524	0.143884892086331	0.129021159470153	0.109529025191676	0.134336378291241	0.155857650012988	0.116978609625668	0.223252618924953
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	0.213973392873756	0.138876833608194	0.224666873256895	0.336053768602976	0.408812173518056	0.150956055015096	0.12996658002228	0.20938422004378	0.0821692686935086	0.0727471128489588	0.124058484714222	0.105515587529976	0.0774126956820919	0.202207431123094	0.125380619738492	0.155857650012988	0.142045454545455	0.0601064743259488
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	0.5023723137036	0.468709313427654	0.495816547877285	0.536085773723796	0.416382769323946	0.637370010063737	0.371333085777943	0.475873227372228	0.365196749748927	0.345548786032554	0.549401860877271	0.364508393285372	0.464476174092551	0.513943887437863	0.31345154934623	0.42427915836869	0.593248663101604	0.369225485145114
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	1.04195739138525	1.13705407516709	0.999380229315153	0.632101136181789	0.99931864637747	2.06306608520631	0.984032677311548	0.523460550109451	0.419976262211266	1.00027280167318	0.912715994683208	0.776978417266187	1.27300877343884	0.783553795601988	0.725416442772703	0.839899558403325	0.735294117647059	0.807144083805598
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Unassigned	0.120941482928645	0.112837427306657	0.139448404090487	0.0800128020483277	0.0529941706412295	0.100637370010064	0.204233197177869	0.133244503664224	0.146078699899571	0.172774393016277	0.115197164377492	0.201438848920863	0.0774126956820919	0.160080882972449	0.188070929607738	0.155857650012988	0.0417780748663102	0.180319422977846
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae|Asprobacter	0.0651223369615778	0.0433990105025605	0.00774713356058258	0.0160025604096655	0	0.0251593425025159	0.06498329001114	0.085657180927001	0.0273897562311695	0.0545603346367191	0	0.0863309352517986	0.0430070531567177	0.00842530963012891	0.0447787927637471	0.0346350333362196	0.0835561497326203	0.0429331959471063
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Aurantimonadaceae|Aureimonas	0.0744255279560889	0.0867980210051211	0.0154942671211652	0.0640102416386622	0.0605647664471194	0.0838644750083864	0.0185666542888971	0.0380698581897782	0.0639094312060623	0.0454669455305993	0.0620292423571112	0.115107913669065	0.0688112850507483	0.0589771674109024	0.0716460684219953	0.0259762750021647	0.0501336898395722	0.0257599175682638
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella	0.0558191459670667	0.0867980210051211	0.0387356678029129	0.0320051208193311	0.0681353622530093	0.0754780275075478	0.0928332714444857	0.0475873227372228	0.0365196749748927	0.0363735564244794	0.0797518830305716	0.0287769784172662	0.0258042318940306	0.0168506192602578	0.0806018269747448	0.0692700666724392	0.0167112299465241	0.0257599175682638
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Boseaceae|Bosea	0.390734021769467	0.390591094523045	0.914161760148745	1.24019843174908	0.734347793171323	0.469641060046964	0.408466394355737	0.532978014656895	0.219118049849356	0.254614894971356	0.469649977846699	0.306954436450839	0.438671942198521	0.303311146684641	0.30449579079348	0.536843016711404	0.735294117647059	0.498025072986433
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	1.99088287282538	2.62130023435466	2.14595599628138	1.76028164506321	1.96078431372549	2.37336464273734	2.85926476049016	1.94156276767869	1.62512553638273	1.68227698463217	2.3482498892335	2.35971223021583	1.77189059005677	1.60923413935462	2.14938205265986	2.19066585851589	1.86330213903743	2.24111282843895
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Pseudorhodoplanes	0.679132942599312	0.633625553337384	0.790207623179424	0.86413826212194	0.257400257400257	0.712848037571285	0.77979948013368	0.409250975540116	0.465625855929882	0.527416568154951	0.51395657953035	0.575539568345324	0.240839497677619	0.278035217794254	0.680637650008956	0.658065633388172	0.309157754010695	0.686931135153701
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodoplanes	0.809377616522467	1.03289644996094	0.991633095754571	0.872139542326772	0.757059580588992	0.972827910097283	1.24396583735611	0.866089273817455	0.739523418241578	0.772938074020187	0.788657509968985	1.05515587529976	0.653707207982109	0.733001937821215	0.92244313093319	0.718676941726556	0.643382352941176	0.738450970290228
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodopseudomonas	0.0558191459670667	0.0173596042010242	0.108459869848156	0	0	0	0	0	0	0	0.00886132033673017	0.00959232613908873	0.0172028212626871	0.0168506192602578	0	0	0.0167112299465241	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia	1.60014885105591	1.24989150247374	1.75859931825225	1.50424067850856	2.75569687334393	1.9959745051996	1.06758262161159	1.61796897306558	0.712133662010408	1.17304719468946	1.26716880815241	0.988009592326139	0.82573542060898	0.960485297834695	1.02095647501343	0.909169625075764	1.11965240641711	1.29658251760261
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Unassigned	0.0651223369615778	0.0694384168040969	0.108459869848156	0.104016642662826	0.121129532894239	0.0922509225092251	0.12996658002228	0.0380698581897782	0.0547795124623391	0.0363735564244794	0.0797518830305716	0.0671462829736211	0.0430070531567177	0.0758277866711602	0.0626903098692459	0.0519525500043294	0.0668449197860962	0.13738622703074
