"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Unassigned|g__Unassigned|s__Unassigned",0.00338801711840228,0.00283584508183439,0.00615015375384385,0.00137973325157136,0.000801515593121539,0.00232894314166399,0.00360980523841504,0.00265934631551857,0.00295708009462656,0.00345125107851596,0.00367676444728639,0.0040227372103192,0.00191879653081587,0.00219099425808401,0.00376740376740377,0.00229194657393504,0.0021996359223301,0.00402382102044101
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea|s__Unassigned",0.00276390870185449,0.00129638632312429,0.000450011250281257,0.00137973325157136,0.00029146021568056,0.00064246707356248,0.00478509066487576,0.00343141460066913,0.00439337614058804,0.00517687661777394,0.00455599072815922,0.00227372103191955,0.0030700744493054,0.00453309156844968,0.0045045045045045,0.00505808899075318,0.00197208737864078,0.00265572187349107
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Unassigned",0.00481455064194009,0.00502349700210663,0.00427510687767194,0.00222290357197608,0.0010929758088021,0.00184709283649213,0.00360980523841504,0.00291670241056876,0.00253464008110848,0.00293356341673857,0.00207817120933578,0.00288587669435942,0.00283981886560749,0.00151103052281656,0.00475020475020475,0.00268710977633763,0.00257888349514563,0.00177048124899404
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Unassigned|s__Unassigned",0.00312054208273894,0.00251174850105331,0.00270006750168754,0.00298942204507129,0.003643252696007,0.00409572759396081,0.00251846877098724,0.00360298533070258,0.00143629604596147,0.00207075064710958,0.00239788985692591,0.00209881941407958,0.00107452605725689,0.00203989120580236,0.00327600327600328,0.00229194657393504,0.00197208737864078,0.00241429261226461
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Unassigned|g__Unassigned|s__Unassigned",0.00240727532097004,0.003321989953006,0.00195004875121878,0.001916296182738,0.000655785485281259,0.00224863475746868,0.00344190732034923,0.00240199022046839,0.00346400811084826,0.00241587575496117,0.00295739749020862,0.00384783559247923,0.00199554839204851,0.00226654578422484,0.00368550368550369,0.00252904449537659,0.00166868932038835,0.00297762755512635
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Unassigned|g__Unassigned|s__Unassigned",0.0021398002853067,0.00145843461351483,0.000900022500562514,0.000613214778476161,0.00021859516176042,0.00048185030517186,0.00570852921423774,0.0033456292356524,0.00337952010814464,0.00276100086281277,0.00311725681400368,0.00244862264975951,0.00391434492286438,0.00196433967966153,0.00335790335790336,0.00355646882162333,0.00212378640776699,0.00329953323676163
"k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Niastella|s__Unassigned",0.00133737517831669,0.000648193161562146,0.000675016875421886,0.000536562931166641,0.00021859516176042,0.00072277545775779,0.00436534586971122,0.00257356095050184,0.00464684014869888,0.00405522001725626,0.00271760850451603,0.0020113686051596,0.00314682631053803,0.00460864309459051,0.00319410319410319,0.00339840354066229,0.00235133495145631,0.00144857556735876
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Unassigned",0.0056169757489301,0.000972289742343218,0.00562514062851571,0.00321937758699985,0.00196735645584378,0.00208801798907806,0.00151108126259234,0.00180149266535129,0.000929368029739777,0.00198446937014668,0.00175845256174566,0.00445999125491911,0.000997774196024254,0.00113327289211242,0.00245700245700246,0.00284517505729866,0.0010618932038835,0.000965717044905843
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Unassigned",0.00258559201141227,0.00121536217792902,0.00127503187579689,0.00237620726659512,0.0021859516176042,0.0101188564086091,0.00167897918065816,0.000600497555117097,0.00228117607299763,0.00172562553925798,0.00191831188554072,0.00279842588543944,0.00145828536342006,0.00143547899667573,0.00253890253890254,0.00150162016912985,0.00128944174757282,0.00233381619185579
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Catellatospora|s__Unassigned",0.00276390870185449,0.00307891751742019,0.00180004500112503,0.00222290357197608,0.000728650539201399,0.00096370061034372,0.00335795836131632,0.00386034142575277,0.00245015207840487,0.00138050043140638,0.00319718647590121,0.00183646698731963,0.00253281142067695,0.00158658204895739,0.00253890253890254,0.00118548960720778,0.00136529126213592,0.00321905681635281
