	RDA1	RDA2	RDA3	RDA4
OTU_2871	0.0272024340331722	0.190815850050815	0.0812743124441627	0.065770227213669
OTU_26590	0.135073617109574	0.0067301356282065	0.0116020223394268	0.0586495391040215
OTU_28029	0.0447014869700912	-0.0821342588901738	0.133286906635945	0.373852789018513
OTU_36931	0.0612236126312386	0.16064362193667	0.0896010314530555	0.0402706147280428
OTU_28700	0.0154880236248188	-0.297994236654526	0.12700105023703	0.358563951677674
OTU_28074	-0.0720543567336025	0.143985120584417	0.220926973658655	-0.00601410767291631
OTU_12543	0.0352385942893604	0.182944604149065	0.0797204543371426	0.0856605808838276
OTU_24869	-0.0249525577728015	0.0573402912870937	0.0806100373835782	-0.0322101222244869
OTU_18778	-0.0775456110598156	0.213810863628944	0.0600781482913237	-0.251604887690817
OTU_26409	0.14176600510361	0.000726099800786913	-0.0142275340948083	0.0466111046233575
OTU_27267	-0.103439707928955	0.0369448267319741	-0.0267655956012954	-0.0236570901538611
OTU_28789	-0.0790531858056809	0.0573359467684741	-0.0784860141108899	0.0197146537719109
OTU_12976	0.00016001200073923	-0.00412027920592946	-0.003278174182282	-0.00899659999565769
OTU_27811	-0.0138019525628329	0.0677569044515575	-0.123832731843878	0.0528662151562168
OTU_17445	-0.00589855525704403	0.173553409966863	0.0896948874061428	0.0196413057135518
OTU_18579	0.0525004614870892	0.0424805490574394	-0.113809989586778	0.0718040698973238
OTU_4483	0.0871224315290139	0.0555098874210642	-0.0886226590682458	-0.111767279521667
OTU_26572	0.117508893051365	0.00271543905994703	0.0280584038021304	0.0510933090583921
OTU_19367	-0.121004067070156	0.183519828129387	0.213997155375269	0.0739493522767155
OTU_3494	0.026828556340257	0.12304366899574	0.103789341977886	0.162287353402657
OTU_9217	-0.0148131004072823	0.167839849932257	0.0437835757477046	0.169815965505745
OTU_10319	0.136482879694532	-0.167497161529243	-0.0314646779907742	0.00260560956369288
OTU_26543	-0.00938460470106974	0.0504836316203441	-0.108978357471721	0.0902760261486317
OTU_14331	-0.0496979150033529	0.0345763859345194	0.00340479973616241	-0.0120859735774991
OTU_25680	-0.0341224035810521	0.0342816231157297	-0.0243354105721141	0.0738161018219576
OTU_29672	-0.00531928607574456	0.0626939006531599	-0.142784537783542	0.0456656321124671
OTU_28394	-0.0451871572883504	0.127772009004251	0.154759489853098	-0.102798711285783
OTU_18479	0.154675474848296	-0.00842839891452929	-0.0935560353447162	-0.0577724855344438
OTU_15091	-0.00559121476937855	-0.0500945615318347	-0.0217460482723328	0.108082945670785
OTU_26255	-0.0231544220377309	0.0872938759416261	0.0785269590469887	-0.00482087340469446
OTU_34808	0.011608555635452	-0.225204180202241	0.0926462566336198	0.270251139496202
OTU_22028	-0.0841738803842873	0.0321562283136439	-0.142515183788326	0.0232968321229959
OTU_26694	0.103677763767616	-0.00651280012861057	-0.0315484406187946	0.144763258740541
OTU_6573	0.0904114995605858	0.00352329946718727	-0.0563870558902941	-0.143542020512655
OTU_26660	0.117403658044838	0.00823753708466641	-0.0202101905773861	0.123009227012304
OTU_28028	-0.112364259468729	0.0524916342964049	-0.0266841561542209	0.0147341535450037
OTU_5533	-0.0965530772258036	0.00687174143705817	-0.0262937779170413	0.0481091833099441
