"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_155",-26.6974890958915,-29.9373575233528,"bac_ASV_155","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",3,0.0477254264825345,26.2383763596653,3
"bac_ASV_156",-17.1169680376248,-21.8611681455968,"bac_ASV_156","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",11,0.0487855511729292,240.589632231548,11
"bac_ASV_157",33.5455230522713,0.686115094936218,"bac_ASV_157","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_159",26.1717163712654,-8.29042042283515,"bac_ASV_159","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",4,0.0471414242728185,934.568561271177,4
"bac_ASV_16",-9.53365248026835,-8.04934601952376,"bac_ASV_16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",11,0.0487248600456148,887.375830202912,11
"bac_ASV_161",-24.249643854074,19.0129294175215,"bac_ASV_161","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","Rhodanobacter_umsongensis","bac",14,0.0493697478991597,189.590080538251,14
"bac_ASV_162",32.1278900522374,-10.3068325397823,"bac_ASV_162","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",0,0,0,0
"bac_ASV_164",-1.73359603684506,28.6624446169764,"bac_ASV_164","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","Gemmata_obscuriglobus","bac",0,0,0,0
"bac_ASV_165",6.61029414086592,-26.7901164510075,"bac_ASV_165","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Unassigned","bac",4,0.0466177345764729,637.095032297675,4
"bac_ASV_169",-3.26452846336333,-18.5316561287721,"bac_ASV_169","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",17,0.0495258166491043,915.855034308167,17
"bac_ASV_17",-17.9044689135635,24.9889158276237,"bac_ASV_17","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac",14,0.0495885207849757,190.22631268353,14
"bac_ASV_170",26.2929919902908,-3.10063401840995,"bac_ASV_170","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",1,0.0438187581577475,0,1
"bac_ASV_171",-24.136511046263,-32.1165808613941,"bac_ASV_171","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",2,0.0457465446758809,452,2
"bac_ASV_173",25.2356804269799,0.236543616457111,"bac_ASV_173","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",7,0.0491528968834972,292.24994146976,7
"bac_ASV_178",9.53099268278595,2.94922337690951,"bac_ASV_178","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",14,0.0494320572149769,241.0430700579,14
"bac_ASV_179",-2.58150926340422,15.6975097042661,"bac_ASV_179","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned","bac",7,0.0488768718801997,1920.32054043924,7
