DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (764)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_68	50	40	66	48	71	53	27	28	21	29	45	41	42	46	28	33	27	48
ASV_45	53	35	64	66	108	45	18	10	35	26	32	17	42	61	21	18	44	24
ASV_44	32	64	47	40	55	23	28	31	31	15	42	40	53	36	40	90	19	30
ASV_54	36	22	34	103	60	83	12	6	38	15	23	19	51	65	23	39	31	33
ASV_52	29	40	57	19	16	31	38	43	61	27	48	31	34	73	45	37	37	57
ASV_46	41	18	43	35	52	31	57	51	39	36	57	72	16	17	35	42	47	31
ASV_43	0	10	1	11	36	2	16	85	3	40	48	33	260	12	6	14	75	37
ASV_48	33	36	19	36	14	34	54	33	58	47	53	36	32	44	37	44	38	51
ASV_51	36	67	56	12	14	25	39	34	24	18	25	38	46	21	45	76	42	52
ASV_50	34	63	42	40	15	33	36	47	35	33	43	24	32	19	41	45	27	51
ASV_53	15	16	24	10	93	17	73	49	21	36	28	11	58	26	39	37	21	75
ASV_49	54	32	189	3	12	25	9	11	121	102	8	4	14	15	22	7	18	8
ASV_55	45	93	33	26	35	46	49	47	16	37	29	38	32	7	24	9	34	26
ASV_58	42	32	25	55	52	38	29	29	12	39	36	21	29	29	27	17	28	28
ASV_62	27	39	26	41	28	32	26	45	30	21	45	18	31	36	32	25	33	26
ASV_67	25	22	51	42	55	47	19	22	20	19	22	30	16	38	13	27	32	35
ASV_56	5	17	26	23	22	18	38	13	28	31	32	25	29	69	55	36	37	28
ASV_63	12	11	7	10	20	13	49	34	22	146	33	120	12	4	1	10	34	17
ASV_61	25	36	8	16	10	11	63	44	39	31	35	50	34	24	34	27	15	25
ASV_59	24	32	36	42	56	39	17	18	27	22	17	16	27	24	18	27	25	28
ASV_60	21	26	20	15	48	21	44	30	18	37	20	12	35	37	32	33	16	39
ASV_76	39	23	22	17	15	15	33	24	27	29	29	36	21	28	56	42	21	34
ASV_66	24	30	37	39	32	39	21	15	19	20	27	16	27	38	23	24	37	17
ASV_73	35	19	12	25	9	26	16	22	19	20	26	26	11	38	30	89	29	24
ASV_456	21	30	25	21	8	18	17	21	34	21	23	15	44	29	30	21	46	50
ASV_69	26	25	29	27	28	26	32	31	15	20	43	16	17	18	27	16	31	22
ASV_82	28	41	26	24	45	43	19	4	26	25	25	27	18	20	12	27	25	17
ASV_72	39	20	34	70	33	65	11	7	15	13	15	16	16	20	14	25	24	18
ASV_93	12	5	9	8	44	10	20	122	4	21	58	14	2	6	33	6	42	24
ASV_71	28	14	11	27	24	106	19	6	25	19	23	31	16	13	30	18	15	24
ASV_74	23	28	30	19	24	20	35	21	24	16	34	22	13	26	46	11	17	26
ASV_77	18	11	28	17	22	18	13	11	18	12	17	35	14	47	13	89	16	15
ASV_75	13	25	38	25	42	31	9	20	23	9	50	13	24	16	22	20	15	21
ASV_83	19	39	13	0	3	104	28	5	11	54	10	13	61	0	12	20	10	11
ASV_84	22	7	25	26	21	18	10	11	42	26	18	21	21	31	26	26	26	31
ASV_81	27	10	17	22	32	8	12	31	13	23	73	28	14	5	35	18	14	18
ASV_79	32	15	11	29	35	48	4	7	27	12	7	20	25	49	16	18	17	20
ASV_78	21	19	7	13	35	16	23	13	18	13	16	22	21	12	28	51	33	21
ASV_80	31	15	23	22	16	18	12	15	3	14	37	20	2	0	40	34	39	40
ASV_88	32	44	5	3	1	123	14	16	12	28	9	26	22	4	34	15	1	2
ASV_86	23	30	4	11	4	15	19	47	9	7	11	20	31	30	39	16	52	21
