#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3285	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Methylobrevis	Methylobrevis_pamukkalensis
OTU_3265	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides_ultimimeridianus
OTU_3289	Bacteria	Acidobacteria	Acidobacteria_Gp13	Rhizobiales	Deinococcaceae	Gp13	Granulicella_paludicola
OTU_3292	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Geobacter	Haliangium_tepidum
OTU_3302	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula_rubra
OTU_3298	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Thermogutta	Thermogutta_hypogea
OTU_3293	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Geobacter	Puniceicoccus_vermicola
OTU_3300	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Sinobacteraceae	Thiohalorhabdus	Thiohalorhabdus_denitrificans
OTU_3291	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga_flocculans
OTU_3282	Bacteria	Chloroflexi	Actinobacteria	Caldilineales	Caldilineaceae	Caldilinea	Caldilinea_aerophila
OTU_3287	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca	Desulfobacca_acetoxidans
OTU_3311	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	Halomonas_jeotgali
OTU_3296	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Nitrolancea	Nitrolancea_hollandica
OTU_3286	Bacteria	Proteobacteria	Actinobacteria	Myxococcales	Gaiellaceae	Gaiella	Gaiella_occulta
OTU_3306	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	Geoalkalibacter_ferrihydriticus
OTU_3310	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XVII	Thermaerobacter	Thermaerobacter_composti
OTU_3305	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatitalea	Desulfatitalea_tepidiphila
OTU_3301	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_III	Clostridium_papyrosolvens
OTU_3312	Bacteria	Chloroflexi	Actinobacteria	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium_carboxidum
OTU_3316	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia_acanthamoebae
OTU_3314	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Pseudochelatococcus_lubricantis
OTU_3326	Bacteria	Parcubacteria	Subdivision5	Enterobacteriales	Enterobacteriaceae	Parcubacteria_genera_incertae_sedis	Salmonella_enterica_subsp._arizonae
OTU_3321	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhabdus	Rhizorhabdus_argentea
