"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
1,0.159466911764706,0,1
1,0.149119037387194,0,1
12,0.181106471816284,361.470135445088,12
12,0.186058981233244,550.377218685507,12
3,0.15672990063234,384.586281782482,3
7,0.18205666316894,389.54713422813,7
3,0.12890044576523,687,3
7,0.170515970515971,111.641417839072,7
1,0.11574382921948,0,1
6,0.173847695390782,195.916051362189,6
2,0.13991935483871,34.0739839957585,2
4,0.166666666666667,464.417038539004,4
3,0.146971622193986,687,3
6,0.159540229885057,591.532868720647,6
7,0.164299242424242,346.796728225494,7
5,0.165949306551889,296.104361471713,5
13,0.171020206998521,3492.25407298457,13
1,0.140770791075051,0,1
4,0.17195242814668,90.8042233361074,4
8,0.161922538497434,335.636618951456,8
6,0.172465208747515,257.52710145794,6
5,0.172293942403178,153.380244018154,5
9,0.175874303091738,580.770571641448,9
2,0.14678510998308,42.0009896828374,2
1,0.155605381165919,0,1
2,0.157013574660633,2.09322810081942,2
1,0.14020202020202,0,1
1,0.14020202020202,0,1
4,0.161545623836127,289.675213521427,4
8,0.167632850241546,106.026168607849,8
2,0.151859956236324,0,2
6,0.165474487362899,168.112819990006,6
4,0.162301216089804,8.28057197354715,4
4,0.177493606138107,26.8253106824048,4
14,0.188689505165851,2993.41820173164,14
2,0.151330135194069,0.285637796138446,2
5,0.173847695390782,1081.96511856291,5
4,0.148037542662116,437.027367787007,4
4,0.163679245283019,575.314619468853,4
2,0.154428126390743,0.520376168166382,2
9,0.171020206998521,642.606678065818,9
1,0.129140305173055,0,1
4,0.16943359375,36.6177363256341,4
7,0.167471042471042,917.98892454854,7
12,0.165711556829035,419.885029075988,12
3,0.148163962425278,152.25057179434,3
1,0.00288184438040346,0,1
1,0.134184068058778,0,1
4,0.162529274004684,33.0969510195494,4
1,0.118470467736429,0,1
5,0.154703522068658,1184.83832281668,5
3,0.157798999545248,5.10220656720835,3
3,0.159028414298808,44.5312071627866,3
4,0.159613615455382,78.4240421090736,4
2,0.147096227214922,0,2
3,0.161620866325105,251.882758441804,3
6,0.163911195087388,837.484287814452,6
1,0.105954198473282,0,1
1,0.14262227702425,0,1
1,0.125815808556925,0,1
1,0.15665914221219,0,1
6,0.16943359375,310.596815506668,6
1,0.128280961182994,0,1
1,0.128280961182994,0,1
5,0.165711556829035,103.291971052148,5
1,0.0936572199730095,0,1
2,0.102662721893491,344,2
2,0.118389628113272,344,2
2,0.154153709462461,12.9447983594994,2
2,0.132695984703633,344,2
2,0.15658844765343,55.6977376101946,2
10,0.174899193548387,1005.50244023116,10
12,0.17472306143001,1037.37054476365,12
6,0.147974413646055,1184.56745563811,6
8,0.179420889348501,643.265654293116,8
4,0.151926444833625,384.657251255079,4
6,0.169765166340509,124.484768194879,6
1,0.140088817117481,0,1
7,0.175963488843813,166.422421143239,7
5,0.163602074493164,174.638063551957,5
7,0.171867261020307,517.190836649674,7
3,0.164767331433998,11.5902387479946,3
13,0.188382193268187,594.649756396132,13
4,0.173326673326673,114.262358090662,4
12,0.187061994609164,204.739642324671,12
1,0.134914463452566,0,1
7,0.169682151589242,235.3674997714,7
4,0.149054982817869,1034.28300083167,4
16,0.185165421558164,1436.09983633447,16
7,0.168692270296548,581.028510149176,7
9,0.186659494351802,1482.23783789642,9
7,0.167067886374579,189.47095256835,7
1,0.113102998696219,0,1
12,0.179513709260217,276.943267097188,12
3,0.128613787991105,1367,3
3,0.141229141229141,690.09924588189,3
10,0.190450054884742,763.228654484452,10
13,0.18205666316894,3333.88196483178,13
1,0.130894002263297,0,1
15,0.18576017130621,527.127210247555,15
3,0.161020881670534,3.10053990092666,3
11,0.189410480349345,1287.77546139285,11
8,0.174987392839133,539.848060496512,8
13,0.190764156129742,432.120398031555,13
4,0.169931439764936,249.169141360583,4
7,0.176680244399185,46.5194092920614,7
5,0.167228915662651,527.495911915018,5
16,0.190974133186571,748.247817039161,16
1,0.11429512516469,0,1
8,0.176231589639411,393.649769868729,8
8,0.165238095238095,350.610586449541,8
2,0.130746043707611,344,2
1,0.11429512516469,0,1
9,0.166987487969201,1450.62062341448,9
3,0.152527472527473,261.410898280751,3
2,0.147033898305085,71.7610974474558,2
5,0.171697179614052,1180.52186438214,5
3,0.15119825708061,44.1619553963014,3
17,0.187365010799136,823.03931713407,17
6,0.163602074493164,497.424926454791,6
15,0.193530395984384,1168.31793013287,15
14,0.181865828092243,319.281388443394,14
5,0.170181461500736,295.69098309447,5
6,0.173413293353323,170.662607201895,6
2,0.122097114707952,32.5256189580025,2
7,0.178589809572826,536.398656087237,7
6,0.162757973733583,388.857640434084,6
10,0.181865828092243,382.345360824503,10
11,0.187872225230103,296.373214023124,11
11,0.189721159103335,257.054774948301,11
4,0.170935960591133,376.192341673921,4
11,0.183987274655355,1363.74211246784,11
9,0.185561497326203,177.891766347535,9
2,0.136937647987372,478.305456103887,2
2,0.147911338448423,1591.29362198648,2
11,0.182727751448131,195.104637264831,11
2,0.170851797144264,31.4333354302763,2
5,0.162834350070389,690.984687152778,5
3,0.141459437423563,22.2239889412378,3
17,0.176410777834265,2656.86981411242,17
8,0.178222907036466,407.460752740258,8
14,0.183016877637131,1106.69008968087,14
14,0.186759956942949,1081.92503345194,14
1,0.153133274492498,0,1
9,0.173847695390782,303.785168462422,9
8,0.177675371223758,419.329288665343,8
4,0.166267369429804,25.3712239141924,4
9,0.178589809572826,795.9192106105,9
3,0.144703919933278,79.1981211184151,3
10,0.186659494351802,894.057797791062,10
4,0.171273445212241,76.0760764337615,4
8,0.185859667916443,584.115819794572,8
2,0.163524976437323,508.492848882622,2
12,0.183889772125066,339.919415135692,12
7,0.148100725565514,1528.56745563811,7
3,0.160055350553506,129.013009098249,3
1,0.143210895583987,0,1
16,0.190869086908691,835.584117007288,16
2,0.148100725565514,0,2
2,0.151066608619939,9.926253697781,2
3,0.147534013605442,1026.37662337662,3
11,0.187061994609164,292.494349974145,11
1,0.130894002263297,0,1
5,0.159247361174851,79.3142875898257,5
2,0.152059596844873,6.77052926130289,2
6,0.176052765093861,1118.89958195855,6
1,0.138966760112135,0,1
2,0.170181461500736,1.94720648070228,2
2,0.144282744282744,11.1112592487413,2
3,0.16468913146654,90.0142940195867,3
3,0.145553691275168,1285.77430177045,3
12,0.190450054884742,590.119634594724,12
11,0.184182590233546,350.895340165668,11
10,0.171020206998521,858.456735443751,10
1,0.00288184438040346,0,1
4,0.154772524531668,383.260971923316,4
13,0.187669010275825,216.62392173092,13
12,0.189928845101259,1019.04370954723,12
1,0.121925509486999,0,1
9,0.186860527732903,161.9661306362,9
9,0.190241228070175,836.452661702757,9
10,0.181106471816284,532.169866774597,10
2,0.134235976789168,344,2
10,0.182152230971129,109.146017463615,10
7,0.174459527400704,783.023734377904,7
12,0.186759956942949,330.833881948143,12
11,0.189824945295405,377.663266155097,11
12,0.180635085892764,1006.92851366637,12
6,0.158810068649886,167.830735826014,6
7,0.181201044386423,56.8902534090586,7
1,0.136667979519496,0,1
2,0.14715860899067,0.376623376623377,2
12,0.188075880758808,823.165338979098,12
2,0.141056910569106,5.30940972738488,2
3,0.153268551236749,620.188831621318,3
2,0.114938721430937,686,2
2,0.14524905818334,23.2948130176574,2
2,0.141690485912617,114.987138571352,2
18,0.189824945295405,773.269789644326,18
12,0.188177874186551,271.644955344811,12
15,0.186158798283262,1876.3933615439,15
4,0.151396160558464,20.3759197843624,4
9,0.179235537190083,34.444270509296,9
2,0.118389628113272,344,2
