"","Group1-Group2logFC","Group1-Group2level","Group1-Group2p","Group1-Group3logFC","Group1-Group3level","Group1-Group3p","Group2-Group3logFC","Group2-Group3level","Group2-Group3p","Group1","Group2","Group3"
"Crenarchaeota",5.72291210747023,"enriched",1.47133810151416e-07,0.705714368226525,"nosig",0.293789888789888,-5.01719773924371,"depleted",9.32645900845644e-06,3.39851952909806e-05,0,1.99584166404485e-05
"Cyanobacteria",-0.00432061969632436,"nosig",0.992087963829163,0.155447856501441,"nosig",0.721375703611289,0.159768476197765,"nosig",0.714148450734556,0.00150986668817591,0.00139323006942857,0.00133354213961505
"Deferribacteres",2.16606056763032,"nosig",0.063548642676033,0.888937104741406,"nosig",0.427999112179963,-1.27712346288891,"nosig",0.24149590212735,2.14791394597567e-06,0,9.13121927344715e-07
"Deinococcus-Thermus",1.77492006751388,"nosig",0.0301399538872607,0.714966629694798,"nosig",0.364831215156012,-1.05995343781908,"nosig",0.194473412133617,7.50524354448434e-05,2.17203540701458e-05,4.34905710448304e-05
"Elusimicrobia",-2.94906149713473,"depleted",0.00528388106315161,-1.62958708720836,"nosig",0.154610493503211,1.31947440992637,"nosig",0.159371345353858,7.400533134407e-07,9.90866909678103e-06,3.94073956860662e-06
"Euryarchaeota",-1.41930484152697,"nosig",0.107493722033878,-0.54457772661654,"nosig",0.533258764574585,0.874727114910429,"nosig",0.313335616204965,4.1305268048181e-05,0.000104375649756825,5.86535055615406e-05
"Fibrobacteres",1.1573046838433,"nosig",0.368401210801932,1.41095598673053,"nosig",0.274352649317259,0.253651302887235,"nosig",0.844639143413805,4.52090097845951e-05,1.68213390684442e-05,1.44463257426953e-05
"Firmicutes",-0.869138116672251,"depleted",0.00159514387496352,0.124002952691164,"nosig",0.650197201231605,0.993141069363415,"enriched",0.000319695899137726,0.0163267780953482,0.0274063536156286,0.0146426438480258
"Fusobacteria",-0.162174776653247,"nosig",0.769877199988511,0.0456756115480198,"nosig",0.934451721669655,0.207850388201267,"nosig",0.711094363368724,4.79824772660973e-05,4.93689103629237e-05,4.65811304867428e-05
"Gemmatimonadetes",0.156030649343403,"nosig",0.58815914694838,0.322256969440901,"nosig",0.263787114641773,0.166226320097497,"nosig",0.564080262868417,0.0300189439565164,0.0247141129324131,0.0229106743897787
"Hydrogenedentes",1.76453706976293,"nosig",0.0667617022980813,-0.067509416336499,"nosig",0.93560179131719,-1.83204648609943,"nosig",0.060365752092697,1.07249267679356e-05,2.35645353315375e-06,1.02645451273902e-05
"Ignavibacteriae",-1.0367260364386,"nosig",0.429562921839568,-1.51939365333433,"nosig",0.251295800894265,-0.482667616895722,"nosig",0.709030910956194,2.71370760276539e-05,5.72571469081501e-05,8.49290782883889e-05
"Latescibacteria",0.305530210268101,"nosig",0.392642730589388,0.0478534978618062,"nosig",0.893364472036167,-0.257676712406295,"nosig",0.47094539919178,0.00563605054769046,0.00424211883256554,0.00524592034304017
"Microgenomates",-0.238721495241648,"nosig",0.52922574660271,-0.525710589357788,"nosig",0.166282206119606,-0.28698909411614,"nosig",0.449074456163594,0.000889733393050405,0.000976602987883649,0.00126357128526797
"Nitrospirae",-0.449374918408425,"nosig",0.128322279531741,0.259062194433151,"nosig",0.380319610573394,0.708437112841576,"nosig",0.0168792682201937,0.00705712417381584,0.00878212736938674,0.00562678860194546
"Pacearchaeota",-1.26243889480019,"nosig",0.214478444469569,0,"nosig",1,1.26243889480019,"nosig",0.246462834261614,0,7.70086157239272e-07,0
"Parcubacteria",0.220783218260911,"nosig",0.432796537769997,-0.218010203171105,"nosig",0.438359447423594,-0.438793421432016,"nosig",0.119500466135017,0.0078574732164701,0.00630723067429859,0.00889099128008512
"Planctomycetes",-0.234461923898408,"nosig",0.282346517558127,-0.115107706460041,"nosig",0.597501126015618,0.119354217438367,"nosig",0.584064275299095,0.030128189331761,0.0326555279664001,0.0313975804093049
"Poribacteria",4.33781821513933,"enriched",0.00108100760865217,5.05628727494795,"enriched",0.000276660528588677,0.71846905980862,"nosig",0.604012398904273,5.07207603550203e-05,2.03839936728084e-06,1.04784238773941e-06
"Proteobacteria",-0.181073842959373,"nosig",0.374649179210799,-0.0851053072497161,"nosig",0.676404484620989,0.0959685357096565,"nosig",0.637898163967332,0.39237396712247,0.407222779734511,0.402286991199328
"Spirochaetes",1.13064990356829,"enriched",0.00915042225500053,-0.167149100622403,"nosig",0.691868752138948,-1.29779900419069,"depleted",0.00287365489007375,0.000404826605996457,0.000162894757177174,0.000431464681635554
"SR1",0,"nosig",1,-1.94793537814617,"nosig",0.0798307203768591,-1.94793537814617,"nosig",0.100167794488253,0,0,1.58509754690304e-06
"Tenericutes",-1.79444103466608,"nosig",0.0254315143968303,-1.61917342538846,"nosig",0.0427392353941277,0.175267609277625,"nosig",0.820437082593484,5.56850997672755e-05,0.000176950000617634,0.000171537229477185
"Thaumarchaeota",0.040789402690169,"nosig",0.906663788073812,-0.116505467940469,"nosig",0.737716119242341,-0.157294870630638,"nosig",0.651263962009575,0.0144423406302186,0.0127692992650728,0.0149752929184835
"Unassigned",0.217637107145822,"nosig",0.215891579860232,0.18208329369946,"nosig",0.300423202037758,-0.0355538134463614,"nosig",0.839722302964332,0.167267323640612,0.131553901934465,0.141725270309502
"Verrucomicrobia",-0.144462631087238,"nosig",0.4569010419598,-0.238630941021114,"nosig",0.219238875973323,-0.0941683099338765,"nosig",0.627673021664388,0.0366109497101549,0.0368242071423523,0.0412177658656889
"Woesearchaeota",-0.102755683728987,"nosig",0.924956359514921,1.86568543504064,"nosig",0.162198923868143,1.96844111876963,"nosig",0.138296042009409,5.18414835551408e-06,5.99676774218696e-06,1.04784238773941e-06
