ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_75	0.5925	11.89115	0.0772154972876759	0.255245263934717	NotSig	0.286	0.199	0.13	0.234	0.38	0.256	0.424	0.294	0.232	0.185	0.215	0.208	0.159	0.197
ASV_99	0.52054	11.43236	0.0781078403297494	0.255245263934717	NotSig	0.203	0.147	0.158	0.174	0.194	0.248	0.182	0.26	0.103	0.11	0.206	0.165	0.125	0.172
ASV_21	-0.61446	13.23738	0.0822192014351572	0.260730472503479	NotSig	0.511	0.794	0.428	1.033	0.566	0.352	0.288	0.403	0.645	0.927	0.573	0.814	1.178	0.627
ASV_152	-0.49842	11.29586	0.0827531740263086	0.260730472503479	NotSig	0.128	0.188	0.158	0.087	0.124	0.112	0.121	0.168	0.146	0.177	0.251	0.199	0.175	0.18
ASV_71	0.8546	11.99209	0.0840606441404659	0.260730472503479	NotSig	0.344	0.193	0.27	0.13	0.132	0.248	0.227	1.057	0.163	0.16	0.278	0.165	0.142	0.249
ASV_130	-0.55929	11.03672	0.0945158406923862	0.288273314111778	NotSig	0.103	0.157	0.13	0.148	0.108	0.104	0.053	0.075	0.12	0.152	0.251	0.113	0.134	0.172
ASV_73	-0.78861	12.05	0.0964108477346553	0.289232543203966	NotSig	0.203	0.362	0.344	0.182	0.116	0.216	0.083	0.277	0.103	0.345	0.313	0.901	0.267	0.24
ASV_70	0.73964	12.80411	0.0995663100790615	0.29388120555594	NotSig	0.573	0.36	0.27	0.295	0.875	0.448	1.022	0.528	0.301	0.194	0.242	0.355	0.719	0.352
ASV_88	1.49438	11.77539	0.103310747946203	0.300093124986589	NotSig	0.344	0.124	0.307	0.425	0.054	0.048	0.015	1.216	0.189	0.034	0.331	0.156	0.008	0.026
ASV_61	-0.5971	11.76105	0.111770915458272	0.319594961388496	NotSig	0.178	0.275	0.251	0.339	0.101	0.168	0.106	0.101	0.387	0.227	0.34	0.294	0.167	0.232
ASV_158	-0.86993	10.72121	0.117523461044541	0.330873744171554	NotSig	0.069	0.13	0.102	0.035	0.015	0.048	0.129	0.084	0.241	0.152	0.116	0.043	0.042	0.189
ASV_90	0.68287	11.74269	0.127643010166848	0.353802216125545	NotSig	0.272	0.172	0.14	0.304	0.147	0.288	0.182	0.57	0.12	0.101	0.215	0.156	0.351	0.086
ASV_266	0.68862	10.54764	0.132467374656807	0.353802216125545	NotSig	0.107	0.067	0.177	0.139	0.07	0.024	0.098	0.134	0.043	0.025	0.081	0.061	0.092	0.103
ASV_108	0.52096	11.49909	0.132806492687713	0.353802216125545	NotSig	0.213	0.151	0.205	0.182	0.147	0.232	0.235	0.277	0.155	0.169	0.09	0.104	0.259	0.129
ASV_172	0.63663	10.79847	0.139293256545289	0.353802216125545	NotSig	0.129	0.085	0.13	0.148	0.217	0.104	0.023	0.151	0.103	0.076	0.134	0.061	0.058	0.077
ASV_76	-0.50728	12.01247	0.140348053754893	0.353802216125545	NotSig	0.221	0.326	0.4	0.243	0.209	0.168	0.136	0.168	0.206	0.278	0.528	0.416	0.201	0.326
ASV_112	-0.71702	10.9927	0.140931836352891	0.353802216125545	NotSig	0.093	0.159	0.186	0.13	0.093	0.064	0.045	0.042	0.292	0.084	0.179	0.242	0.058	0.094
ASV_89	-0.53933	11.56259	0.14250265853038	0.353802216125545	NotSig	0.157	0.232	0.195	0.226	0.101	0.144	0.068	0.21	0.095	0.295	0.233	0.251	0.217	0.301
ASV_105	-0.65838	11.41458	0.143044350389067	0.353802216125545	NotSig	0.132	0.211	0.121	0.078	0.093	0.24	0.083	0.176	0.396	0.329	0.116	0.165	0.142	0.12
ASV_3	-0.44445	15.39737	0.143067562804865	0.353802216125545	NotSig	2.444	3.461	1.982	1.502	2.859	2.368	3.369	2.583	2.813	5.35	3.197	3.602	3.451	2.353
ASV_103	1.12933	11.53774	0.152057859029048	0.3573425678693	NotSig	0.243	0.12	0.074	0.026	0.139	0.168	0.833	0.218	0.009	0.034	0.125	0.104	0.142	0.309
ASV_98	1.03292	11.47515	0.152083804798974	0.3573425678693	NotSig	0.227	0.121	0.177	0.043	0.077	0.16	0.81	0.092	0.12	0.008	0.107	0.173	0.117	0.197
ASV_124	0.3923	11.35806	0.15312030242293	0.3573425678693	NotSig	0.184	0.145	0.177	0.174	0.217	0.184	0.167	0.185	0.163	0.118	0.179	0.121	0.134	0.155
ASV_52	-0.50937	12.51882	0.155247298873684	0.3573425678693	NotSig	0.315	0.462	0.27	0.373	0.573	0.208	0.182	0.285	0.335	0.699	0.421	0.346	0.368	0.601
ASV_113	1.19228	13.33891	0.155666702262791	0.3573425678693	NotSig	0.942	0.431	0.242	0.286	0.054	3.553	1.431	0.084	0.946	0.126	0.358	0.372	0.217	0.567
ASV_167	-0.60367	10.72799	0.15622478380096	0.3573425678693	NotSig	0.08	0.126	0.065	0.174	0.077	0.032	0.038	0.092	0.086	0.084	0.215	0.173	0.092	0.103
ASV_188	0.54909	11.01563	0.15949893473839	0.3573425678693	NotSig	0.148	0.103	0.214	0.104	0.139	0.168	0.121	0.143	0.198	0.093	0.081	0.043	0.134	0.069
ASV_20	-0.95193	13.76572	0.16012071347149	0.3573425678693	NotSig	0.643	1.227	0.558	1.259	0.209	0.816	0.507	0.512	0.714	0.843	0.278	0.338	4.804	0.386
ASV_109	0.43544	11.60856	0.163577074794722	0.360657887800412	NotSig	0.224	0.172	0.214	0.156	0.263	0.192	0.273	0.243	0.189	0.185	0.179	0.19	0.201	0.086
ASV_128	0.43677	11.23227	0.166867716915849	0.363533240423815	NotSig	0.171	0.129	0.233	0.156	0.101	0.224	0.114	0.201	0.129	0.135	0.152	0.113	0.15	0.094
ASV_668	-0.59357	10.66962	0.185463476428199	0.399291955133652	NotSig	0.076	0.118	0.14	0.061	0.015	0.04	0.091	0.109	0.095	0.169	0.152	0.121	0.117	0.052
ASV_47	0.30426	12.74861	0.203148728374198	0.432281596424166	NotSig	0.499	0.419	0.465	0.425	0.488	0.48	0.515	0.621	0.335	0.379	0.43	0.494	0.384	0.489
ASV_84	-0.40892	11.81605	0.213419396619658	0.448916661855143	NotSig	0.195	0.269	0.205	0.069	0.217	0.256	0.227	0.193	0.215	0.32	0.26	0.242	0.259	0.318
ASV_54	0.49879	12.84442	0.225677144072596	0.469305879150968	NotSig	0.566	0.41	0.381	0.2	0.356	1.008	0.613	0.839	0.482	0.64	0.251	0.39	0.326	0.369
ASV_77	-0.61602	11.96055	0.229102331345918	0.471075580183179	NotSig	0.199	0.32	0.205	0.122	0.294	0.184	0.212	0.176	0.138	0.539	0.134	0.814	0.134	0.163
ASV_15	0.26397	13.89182	0.237009295703413	0.481918901263607	NotSig	1.113	0.96	0.949	1.302	1.147	1.048	1.022	1.208	0.8	0.725	1.021	1.195	0.969	1.048
ASV_42	-0.62833	12.89024	0.251011185425841	0.50152830621866	NotSig	0.395	0.611	0.428	0.174	0.17	0.656	0.379	0.562	0.637	1.736	0.188	0.39	0.451	0.266
ASV_78	-0.47632	11.82395	0.25572219210283	0.50152830621866	NotSig	0.191	0.28	0.223	0.191	0.093	0.112	0.341	0.185	0.206	0.11	0.287	0.528	0.309	0.24
ASV_183	0.54182	10.85449	0.257157603262966	0.50152830621866	NotSig	0.13	0.091	0.13	0.035	0.124	0.104	0.121	0.268	0.026	0.152	0.063	0.104	0.125	0.077
ASV_14	-0.37467	13.97325	0.257615632702481	0.50152830621866	NotSig	0.923	1.255	0.642	0.529	0.937	0.992	1.522	0.914	1.204	0.885	1.379	0.866	1.554	1.64
ASV_288	0.61278	11.33313	0.269297046183385	0.517522405282351	NotSig	0.195	0.133	0.074	0.226	0.256	0.088	0.091	0.436	0.06	0.042	0.152	0.338	0.075	0.129
ASV_119	-0.40151	11.28673	0.272608247586273	0.517522405282351	NotSig	0.131	0.181	0.121	0.148	0.186	0.112	0.129	0.092	0.181	0.093	0.242	0.095	0.201	0.275
ASV_101	0.40251	11.29871	0.277048069119878	0.517522405282351	NotSig	0.173	0.137	0.167	0.095	0.186	0.168	0.303	0.117	0.112	0.194	0.143	0.139	0.134	0.103
ASV_129	-0.36157	11.22483	0.277143145998199	0.517522405282351	NotSig	0.131	0.171	0.149	0.226	0.077	0.128	0.061	0.143	0.181	0.143	0.224	0.173	0.125	0.18
ASV_28	-0.44745	13.69358	0.281831749293822	0.520961718391611	NotSig	0.762	1.044	0.995	0.998	0.209	1.392	0.348	0.629	1.204	1.255	0.699	0.996	1.379	0.73
ASV_160	-0.34102	10.7138	0.318938803198377	0.579146215899778	NotSig	0.087	0.113	0.047	0.139	0.077	0.112	0.053	0.092	0.12	0.076	0.107	0.13	0.117	0.129
ASV_107	0.50224	11.45246	0.319638075441954	0.579146215899778	NotSig	0.207	0.147	0.167	0.156	0.023	0.248	0.204	0.444	0.267	0.152	0.134	0.087	0.134	0.112
ASV_96	0.69829	11.58187	0.324523614498955	0.58223354365989	NotSig	0.224	0.153	0.167	0.069	0.054	0.056	0.931	0.067	0.163	0.084	0.251	0.13	0.15	0.137
ASV_149	-0.40994	11.03507	0.32929739450748	0.585062361115231	NotSig	0.11	0.152	0.084	0.191	0.062	0.064	0.098	0.159	0.138	0.059	0.313	0.139	0.159	0.103
ASV_69	0.2432	11.93498	0.338972393073671	0.591610242079032	NotSig	0.271	0.236	0.27	0.304	0.287	0.256	0.257	0.252	0.198	0.202	0.278	0.199	0.301	0.24
ASV_132	0.29679	11.1305	0.339448499553543	0.591610242079032	NotSig	0.151	0.126	0.158	0.208	0.093	0.192	0.144	0.109	0.129	0.11	0.17	0.104	0.134	0.112
ASV_143	-0.41896	10.90202	0.357884391668383	0.617857015804849	NotSig	0.096	0.137	0.149	0.043	0.046	0.088	0.174	0.075	0.077	0.084	0.197	0.26	0.117	0.086
ASV_140	0.35818	11.1268	0.369238593296175	0.631501519375702	NotSig	0.151	0.123	0.13	0.113	0.093	0.16	0.25	0.159	0.052	0.143	0.179	0.13	0.175	0.06
ASV_51	-0.38092	12.57882	0.375602458473459	0.634058874637904	NotSig	0.35	0.471	0.344	0.642	0.55	0.144	0.129	0.294	0.49	0.194	0.439	0.771	0.443	0.489
ASV_13	-0.48117	13.64007	0.380543163466226	0.634058874637904	NotSig	0.7	1.012	0.093	0.382	1.728	0.864	0.447	0.688	0.843	0.885	0.672	0.476	1.487	1.709
ASV_66	0.27724	12.22785	0.381128285301473	0.634058874637904	NotSig	0.339	0.286	0.27	0.304	0.372	0.384	0.326	0.377	0.258	0.371	0.224	0.234	0.468	0.163
ASV_965	-0.38703	10.64122	0.395443780534506	0.641737364658743	NotSig	0.081	0.11	0.084	0.139	0.07	0.056	0.038	0.101	0.103	0.042	0.224	0.087	0.042	0.163
ASV_102	0.4502	11.67627	0.397967866411101	0.641737364658743	NotSig	0.232	0.176	0.251	0.095	0.256	0.112	0.507	0.168	0.112	0.362	0.063	0.095	0.209	0.215
ASV_46	0.31603	12.32763	0.40082944494905	0.641737364658743	NotSig	0.364	0.308	0.419	0.165	0.457	0.344	0.5	0.302	0.155	0.177	0.331	0.398	0.493	0.292
ASV_34	-0.25013	12.85182	0.404230586443134	0.641737364658743	NotSig	0.45	0.547	0.707	0.443	0.442	0.384	0.227	0.495	0.559	0.598	0.734	0.398	0.384	0.61
ASV_62	0.20486	12.20719	0.405139662480758	0.641737364658743	NotSig	0.327	0.292	0.298	0.356	0.287	0.368	0.333	0.319	0.292	0.337	0.304	0.234	0.334	0.249
ASV_415	-0.33355	11.19765	0.406895908296846	0.641737364658743	NotSig	0.129	0.165	0.149	0.217	0.101	0.168	0.045	0.092	0.232	0.126	0.206	0.095	0.1	0.232
ASV_60	-0.29975	12.13358	0.410291101994934	0.641737364658743	NotSig	0.255	0.33	0.214	0.243	0.178	0.192	0.5	0.201	0.31	0.43	0.331	0.346	0.167	0.395
ASV_18	-0.27108	14.53511	0.42805236339283	0.66384391949905	NotSig	1.478	1.803	1.498	2.995	0.852	1.176	0.78	1.568	2.236	1.87	2.302	1.169	1.955	1.288
ASV_26	-0.58395	13.09619	0.446821513848223	0.678514187331832	NotSig	0.468	0.713	0.577	0.582	0.387	1.08	0.114	0.067	1.333	0.227	0.466	0.294	0.033	1.923
ASV_173	-0.20106	12.91384	0.446976918506815	0.678514187331832	NotSig	0.469	0.564	0.363	0.382	0.519	0.392	0.628	0.528	0.473	0.564	0.618	0.632	0.468	0.627
ASV_157	0.3443	10.97228	0.448635063754927	0.678514187331832	NotSig	0.137	0.108	0.14	0.191	0.155	0.04	0.061	0.235	0.069	0.118	0.063	0.113	0.201	0.086
ASV_148	-0.39088	11.13015	0.470999208263097	0.706498812394646	NotSig	0.114	0.158	0.028	0.113	0.07	0.2	0.242	0.034	0.138	0.076	0.134	0.113	0.267	0.223
ASV_12	-0.1749	14.05785	0.475330361748401	0.707198830893963	NotSig	1.072	1.256	0.995	1.128	0.953	1.08	1.226	1.048	1.127	1.651	1.325	1.55	0.902	0.979
ASV_136	-0.26989	10.95951	0.481575295473005	0.71071192799645	NotSig	0.107	0.133	0.13	0.061	0.085	0.104	0.167	0.092	0.181	0.177	0.081	0.078	0.15	0.129
ASV_100	-0.33524	11.28863	0.485637597753506	0.710973443111133	NotSig	0.14	0.178	0.205	0.295	0.031	0.048	0.076	0.185	0.163	0.101	0.251	0.139	0.184	0.232
ASV_53	-0.39575	12.45036	0.489563566033491	0.711032798286737	NotSig	0.3	0.428	0.14	0.139	0.263	0.112	0.977	0.168	0.568	0.244	0.43	0.364	0.217	0.747
ASV_141	0.43095	11.02668	0.505133978046593	0.720496707897095	NotSig	0.14	0.109	0.093	0.035	0.356	0.072	0.189	0.092	0.017	0.051	0.054	0.156	0.267	0.112
ASV_24	0.30888	13.35747	0.505930786028465	0.720496707897095	NotSig	0.775	0.649	0.391	1.328	1.278	0.296	0.492	0.864	0.516	0.64	0.385	1.533	0.426	0.395
ASV_166	0.37132	10.78157	0.507891121960247	0.720496707897095	NotSig	0.12	0.094	0.279	0.226	0.015	0.08	0.053	0.067	0.12	0.076	0.143	0.078	0.033	0.112
ASV_843	0.22013	11.25215	0.527728905251352	0.740463868812485	NotSig	0.162	0.141	0.186	0.174	0.201	0.144	0.068	0.201	0.181	0.101	0.09	0.121	0.184	0.172
ASV_1396	-0.24396	10.89229	0.533577657594557	0.740463868812485	NotSig	0.105	0.126	0.102	0.226	0.093	0.096	0.03	0.084	0.146	0.11	0.116	0.104	0.159	0.12
ASV_74	0.2331	11.81249	0.534105085700809	0.740463868812485	NotSig	0.246	0.219	0.251	0.286	0.302	0.168	0.257	0.21	0.129	0.236	0.448	0.095	0.159	0.249
ASV_81	0.26196	11.53642	0.556139770538574	0.761462326312711	NotSig	0.199	0.178	0.27	0.13	0.147	0.216	0.341	0.092	0.155	0.059	0.376	0.173	0.15	0.155
ASV_11	-0.14882	14.05542	0.557573506698925	0.761462326312711	NotSig	1.08	1.245	0.958	1.224	0.767	1.024	1.416	1.09	1.187	1.458	1.567	1.212	0.852	1.194
ASV_79	0.23704	11.96863	0.587703007286824	0.79234668906235	NotSig	0.279	0.239	0.326	0.139	0.101	0.272	0.326	0.512	0.258	0.472	0.152	0.182	0.184	0.189
ASV_9	-0.17203	14.34487	0.590461279345826	0.79234668906235	NotSig	1.338	1.524	1.088	2.378	1.007	1.296	0.704	1.551	1.626	0.952	1.29	1.342	2.189	1.743
ASV_83	0.53969	11.85599	0.598330092304313	0.79234668906235	NotSig	0.292	0.197	0.177	0.382	0.147	0	0.023	1.023	0.628	0	0.116	0.208	0.084	0.146
ASV_855	-0.20908	11.13864	0.60167501448637	0.79234668906235	NotSig	0.128	0.152	0.177	0.087	0.124	0.072	0.114	0.193	0.189	0.194	0.143	0.225	0.042	0.12
ASV_165	-0.22941	10.68914	0.601837102621129	0.79234668906235	NotSig	0.089	0.108	0.112	0.087	0.132	0.064	0.038	0.101	0.052	0.135	0.152	0.13	0.025	0.155
ASV_186	-0.22028	11.36195	0.610856982058983	0.798477340834242	NotSig	0.153	0.182	0.177	0.286	0.085	0.176	0.061	0.134	0.095	0.177	0.161	0.329	0.084	0.249
ASV_91	-0.33105	11.61566	0.622831479342805	0.801690454800351	NotSig	0.179	0.226	0.074	0.312	0.008	0.424	0.03	0.226	0.181	0.447	0.161	0.32	0.125	0.12
ASV_736	0.17553	11.50769	0.628727207001038	0.801690454800351	NotSig	0.192	0.175	0.149	0.139	0.201	0.272	0.167	0.226	0.155	0.135	0.09	0.277	0.267	0.129
ASV_577	0.17672	11.16396	0.629187199939637	0.801690454800351	NotSig	0.151	0.137	0.167	0.191	0.132	0.184	0.053	0.176	0.086	0.118	0.26	0.095	0.125	0.137
ASV_126	0.29781	11.19645	0.630838390662571	0.801690454800351	NotSig	0.16	0.132	0.047	0.382	0.209	0.232	0.023	0.067	0.095	0.253	0.143	0.069	0.042	0.189
ASV_33	0.13846	12.89555	0.645633419365582	0.810519797169923	NotSig	0.527	0.493	0.595	0.304	0.341	0.536	0.591	0.797	0.507	0.632	0.564	0.416	0.384	0.455
ASV_153	0.23478	11.15328	0.646644209763982	0.810519797169923	NotSig	0.151	0.133	0.112	0.339	0.116	0.168	0.098	0.075	0.224	0.126	0.143	0.225	0.025	0.052
ASV_106	-0.25434	11.6945	0.656272570104301	0.815526822737677	NotSig	0.184	0.233	0.028	0.078	0.178	0.352	0.386	0.084	0.258	0.438	0.17	0.234	0.175	0.12
