OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
ASV_1229	-1.251	8.134	0.104909139751944	0.378005947995099	NotSig	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	stalactiti	0.006	0.017	0	0.017	0	0.008	0	0.008	0.037	0.01	0.018	0.009	0.018	0.01
ASV_1034	1.155	8.411	0.105254634569819	0.378250164337977	NotSig	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	glacieisoli	0.023	0.011	0.037	0.043	0	0.032	0.008	0.017	0	0.01	0.009	0.009	0.009	0.029
ASV_518	-1.011	9.133	0.105745745957746	0.379015015774868	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.024	0.056	0.037	0.026	0.023	0.032	0.008	0.017	0.074	0.019	0.073	0.018	0.133	0.019
ASV_960	-1.246	8.469	0.106414249008276	0.380181415443761	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.01	0.028	0	0.035	0	0	0.023	0	0.019	0.048	0.027	0.018	0.044	0.01
ASV_1187	-1.329	8.028	0.106629442510658	0.380181415443761	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.014	0	0.009	0	0.016	0	0	0.009	0.019	0.009	0.018	0.009	0.019
ASV_1045	1.181	8.429	0.109802764275079	0.389047214927518	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	hunanensis	0.022	0.011	0.028	0.009	0.031	0.024	0.038	0	0	0.019	0	0.018	0.009	0.019
ASV_1061	1.579	8.081	0.110700108148918	0.389047214927518	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudolysobacter	antarcticus	0.013	0.005	0	0.009	0.015	0.008	0.045	0	0	0	0.009	0.009	0	0.01
ASV_735	-1.85	7.559	0.111101857608519	0.389047214927518	NotSig	Bacteria	Chloroflexi	Chloroflexia	Unassigned	Unassigned	Unassigned	Unassigned	0	0.003	0	0	0	0	0	0	0	0.01	0	0	0	0.01
ASV_183	0.761	10.349	0.11115685498149	0.389047214927518	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	panaciterrae	0.13	0.091	0.13	0.035	0.124	0.104	0.121	0.268	0.084	0.029	0.1	0.082	0.124	0.125
ASV_719	2.054	8.652	0.111211505683967	0.389047214927518	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	facile	0.031	0.009	0	0	0.178	0	0.008	0	0	0.019	0	0	0.018	0.019
ASV_755	-1.195	8.245	0.11124548534714	0.389047214927518	NotSig	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Kribbellaceae	Kribbella	deserti	0.007	0.02	0.009	0.017	0.015	0	0	0	0.019	0.01	0.018	0.009	0.044	0.019
ASV_1244	-0.977	8.802	0.111451493679222	0.389047214927518	NotSig	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	ginkgobilobae	0.016	0.038	0.009	0.017	0.023	0.008	0.015	0.025	0.019	0.029	0.082	0.045	0.035	0.019
ASV_442	-0.985	8.882	0.111465906526629	0.389047214927518	NotSig	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	trabzonensis	0.018	0.043	0.037	0	0.031	0.024	0	0.017	0.056	0.038	0.064	0.018	0.053	0.029
ASV_262	-1.184	9.773	0.111908056310104	0.389047214927518	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	gossypii	0.041	0.1	0.037	0.104	0.054	0.024	0.015	0.008	0.019	0.019	0.402	0.045	0.08	0.038
ASV_902	1.08	8.548	0.112253628344254	0.389047214927518	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Racemicystis	crocea	0.026	0.014	0.009	0.069	0.023	0.016	0.015	0.025	0.028	0	0	0.009	0.018	0.029
ASV_759	1.369	8.389	0.11225811708261	0.389047214927518	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	nantongensis	0.022	0.009	0.009	0	0	0.064	0.008	0.05	0.009	0.01	0.009	0.009	0.009	0.01
ASV_341	-0.83	9.347	0.112788175081726	0.389892117922108	NotSig	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	0.033	0.067	0.056	0.052	0.023	0.048	0.008	0.008	0.074	0.105	0.082	0.036	0.044	0.058
ASV_1162	0.926	8.924	0.114178268277646	0.392842453715585	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned	0.039	0.023	0.047	0.061	0.031	0	0.038	0.059	0.037	0.019	0.009	0.027	0.018	0.029
ASV_642	0.969	8.827	0.114218510771932	0.392842453715585	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Coralloluteibacterium	stylophorae	0.034	0.02	0.028	0.026	0.062	0.008	0.023	0.059	0.019	0.01	0.027	0.027	0.009	0.029
ASV_351	1.247	9.4	0.115269719561742	0.394584240385242	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unassigned	Unassigned	0.062	0.033	0.065	0.026	0.248	0.016	0.008	0.008	0.037	0.048	0.027	0.009	0.009	0.067
ASV_493	-0.913	8.838	0.115304352183059	0.394584240385242	NotSig	Bacteria	Actinobacteria	Thermoleophilia	Unassigned	Unassigned	Unassigned	Unassigned	0.018	0.04	0.028	0.035	0.023	0.008	0.008	0.008	0.028	0.057	0.018	0.055	0.053	0.029
ASV_276	0.787	9.531	0.116257857220434	0.396850129158475	NotSig	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	giganteus	0.068	0.044	0.084	0.113	0.023	0.064	0.068	0.059	0.065	0.029	0.091	0.018	0.044	0.019
ASV_558	-1.946	8.035	0.116972364814674	0.398193831449009	NotSig	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	cinnabarigriseus	0.003	0.015	0.019	0	0	0	0	0	0.019	0.01	0.064	0	0	0
ASV_829	-0.978	8.71	0.117236216160832	0.398193831449009	NotSig	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	sarraceniae	0.016	0.036	0.009	0.052	0.015	0.008	0	0.008	0.028	0.038	0.037	0.036	0.018	0.058
ASV_1261	-1.673	7.958	0.117803654619568	0.399125814905105	NotSig	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Fulvivirgaceae	Chryseolinea	flava	0.003	0.012	0	0	0	0.008	0	0.008	0	0.029	0.018	0.027	0	0
ASV_162	-0.756	10.387	0.11843046543709	0.400253831080192	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Unassigned	Unassigned	0.084	0.162	0.13	0.174	0.077	0.032	0.015	0.075	0.26	0.086	0.173	0.073	0.133	0.249
ASV_1190	-1.183	8.343	0.119558168079349	0.402117649359592	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Unassigned	Unassigned	0.008	0.023	0	0.026	0	0	0.008	0.017	0.009	0.019	0.027	0.018	0.009	0.058
ASV_208	0.656	10.054	0.11962679089517	0.402117649359592	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	facile	0.101	0.074	0.121	0.087	0.101	0.128	0.076	0.092	0.084	0.133	0.046	0.082	0.071	0.029
ASV_1424	-1.981	7.826	0.120052377326978	0.402117649359592	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Unassigned	Unassigned	0.002	0.009	0.009	0	0	0	0	0	0	0	0.018	0.036	0	0
ASV_1168	-0.974	8.473	0.120162909904078	0.402117649359592	NotSig	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Parviterribacteraceae	Parviterribacter	kavangonensis	0.011	0.026	0.009	0.026	0	0.008	0.015	0.008	0.028	0.019	0.018	0.045	0.027	0.019
ASV_75	0.759	11.409	0.12229800683184	0.408259522806289	NotSig	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	currus	0.286	0.202	0.13	0.234	0.38	0.256	0.424	0.294	0.084	0.2	0.237	0.082	0.487	0.125
ASV_1148	-1.71	7.974	0.122926879199251	0.40935552437501	NotSig	Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	pratensis	0.003	0.014	0.009	0	0	0	0.008	0	0.056	0	0.009	0	0	0.019
ASV_1479	1.047	8.485	0.124285780303073	0.412125477036408	NotSig	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	albidus	0.024	0.012	0.037	0.035	0.008	0.032	0.015	0.017	0	0.019	0.009	0.036	0.009	0
ASV_120	-0.634	10.624	0.12436385540526	0.412125477036408	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geomonas	Unassigned	0.104	0.189	0.14	0.13	0.124	0.072	0.03	0.126	0.232	0.19	0.128	0.1	0.168	0.317
