Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Phytohabitans	1	10	0	1	0	0	1	4	3	2	2	0	4	2	5	1	2	2
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Unassigned	26	47	9	10	20	14	34	30	20	25	29	28	22	21	24	22	22	21
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Verrucosispora	5	14	10	2	2	5	4	9	7	9	7	5	3	4	5	4	3	10
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Virgisporangium	46	47	57	38	8	15	39	44	35	29	14	27	48	17	30	18	15	45
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Wangella	24	33	4	13	4	17	22	49	11	7	14	21	36	38	42	21	56	22
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium	54	62	57	29	15	23	43	34	30	34	26	33	37	20	58	34	34	22
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae|Nocardia	10	13	25	1	10	5	6	12	6	13	12	7	20	4	23	13	4	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae|Kribbella	47	121	75	44	38	48	77	72	63	55	82	73	76	111	68	104	141	74
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium	35	64	103	59	58	54	14	34	28	38	35	37	28	25	38	45	31	40
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Marmoricola	7	10	12	13	8	5	7	15	4	6	10	3	5	1	5	13	6	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides	182	284	318	231	233	271	175	305	201	161	274	183	195	159	251	213	218	218
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Friedmanniella	6	3	0	3	0	4	6	2	2	2	0	1	1	2	3	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Unassigned|Unassigned	0	0	0	0	0	1	4	4	4	8	2	2	6	1	3	5	1	0
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinocrispum	107	113	447	159	23	27	172	158	131	106	134	96	209	38	151	120	79	356
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinophytocola	12	5	0	0	0	31	10	5	9	5	5	29	3	1	3	27	3	57
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis	104	350	192	145	144	168	70	100	44	121	110	66	167	181	102	222	633	98
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Kibdelosporangium	26	33	7	444	189	10	39	59	26	64	30	32	110	15	40	43	26	66
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea	317	703	404	297	321	346	286	277	251	302	450	310	548	410	505	444	364	344
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia	10	18	44	18	10	12	18	18	14	13	13	22	28	18	6	20	23	12
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix	26	45	16	12	7	13	12	35	10	8	7	21	18	15	18	9	4	11
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Unassigned	72	132	42	119	34	91	115	111	100	87	93	96	92	113	116	126	62	112
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae|Longivirga	3	2	1	2	0	1	3	2	0	2	1	2	2	1	3	1	4	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptacidiphilus	2	2	1	0	1	2	1	1	1	0	0	2	4	1	3	2	2	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces	360	364	437	300	163	237	290	414	983	574	375	357	531	463	406	794	575	423
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea	10	49	27	31	5	16	30	31	18	17	36	7	14	33	25	8	44	39
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Sphaerisporangium	0	0	0	14	0	0	0	4	0	0	0	0	1	1	1	0	1	0
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|Actinocorallia	107	115	27	174	46	75	63	110	44	89	96	70	140	149	78	115	165	85
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Unassigned|Unassigned	3	3	1	4	2	3	7	12	7	7	8	4	6	3	4	5	4	9
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	56	111	118	66	44	66	48	63	67	76	64	73	116	79	74	75	69	73
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Fannyhessea	4	3	3	0	0	1	15	7	9	0	5	16	3	3	12	7	2	3
Bacteria|Actinobacteria|Coriobacteriia|Unassigned|Unassigned|Unassigned	3	3	3	1	0	3	3	7	4	0	2	3	2	1	2	2	0	1
Bacteria|Actinobacteria|Nitriliruptoria|Egibacterales|Egibacteraceae|Egibacter	7	5	5	1	1	7	6	16	5	6	8	12	2	9	7	10	3	5
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae|Baekduia	49	72	49	66	37	57	86	96	52	63	65	91	74	38	59	37	70	50
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae|Conexibacter	33	38	14	19	26	48	54	37	34	28	37	56	21	17	26	19	31	33
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Parviterribacteraceae|Parviterribacter	4	10	3	5	7	8	8	11	8	11	9	9	16	9	7	16	9	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Unassigned|Unassigned	26	25	9	18	15	28	46	26	17	18	32	40	18	19	19	15	19	15
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilales|Thermoleophilaceae|Thermoleophilum	8	14	14	22	13	18	21	23	14	12	17	19	16	13	13	12	12	15
Bacteria|Actinobacteria|Thermoleophilia|Unassigned|Unassigned|Unassigned	9	18	13	11	6	10	14	22	9	30	16	12	17	16	16	11	16	13
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	14	28	7	16	2	33	15	34	23	10	16	19	23	10	28	14	11	17
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Compostibacter	2	2	0	3	3	0	1	4	0	1	0	1	1	3	0	2	0	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Flavitalea	1	0	0	0	0	0	8	3	3	3	2	4	2	3	4	0	1	2
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Niastella	15	7	8	7	3	9	52	29	54	44	33	23	41	58	37	43	30	18
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Algoriphagus	8	4	8	6	2	5	11	8	34	15	10	8	16	15	14	12	12	11
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Chryseotalea	65	49	16	11	43	4	64	25	42	154	28	33	59	46	76	75	26	44
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae|Chryseolinea	40	24	9	21	6	10	90	62	73	80	80	45	63	71	74	83	41	52
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Unassigned	1	1	0	0	2	0	0	3	4	1	3	2	2	6	4	0	0	3
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Crocinitomix	4	4	5	4	2	1	8	5	13	13	7	12	8	19	14	14	15	5
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	172	207	917	308	576	224	159	742	719	521	224	208	443	509	303	189	435	516
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium	0	3	1	2	1	1	2	12	7	7	6	2	2	0	6	26	3	2
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter	9	7	7	13	20	3	4	6	12	10	7	10	12	30	7	8	15	16
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacterium	5	0	1	1	2	0	2	1	1	1	4	2	1	1	3	0	2	2
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned|Unassigned	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloroflexus	42	56	22	41	38	18	39	72	52	43	37	46	68	38	48	49	25	53
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|Herpetosiphon	98	133	41	100	147	75	83	190	61	103	161	109	376	57	106	111	168	152
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned|Unassigned	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	28	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus	0	0	0	1	1	4	4	4	0	3	19	1	1	3	0	10	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Unassigned	104	108	64	69	45	107	336	149	198	207	116	386	56	42	71	51	40	76
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Unassigned	40	40	83	330	18	71	191	106	42	92	29	69	22	16	29	27	19	19
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Lysinibacillus	3	2	1	1	1	2	10	5	3	0	4	24	0	0	2	1	3	1
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Psychrobacillus	3	3	3	6	1	3	4	0	4	1	12	5	2	3	3	2	2	3
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae|Unassigned	6	12	5	13	3	4	4	18	13	4	9	14	1	1	5	9	3	13
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned|Unassigned	6	5	5	5	9	2	12	11	5	9	10	12	8	5	11	4	1	2
Bacteria|Firmicutes|Bacilli|Lactobacillales|Unassigned|Unassigned	4	2	11	2	2	10	6	2	1	7	0	6	1	0	6	0	2	2
Bacteria|Firmicutes|Bacilli|Unassigned|Unassigned|Unassigned	49	108	46	37	69	55	52	53	21	47	38	44	46	17	33	18	48	36
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Unassigned	0	37	3	1	6	4	6	3	10	1	12	2	1	5	5	0	18	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Caecibacterium	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0	0	2	1	1	1	2	1	1	1	1	7	0	2	0	1	1	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Firmicutes|Clostridia|Unassigned|Unassigned|Unassigned	2	3	1	2	0	0	5	2	0	2	0	4	1	0	0	13	0	2
Bacteria|Firmicutes|Unassigned|Unassigned|Unassigned|Unassigned	1	1	4	2	1	7	0	0	1	2	3	3	0	1	0	2	0	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Gemmatimonas	2	3	2	2	0	1	3	1	2	1	0	3	0	4	2	2	1	4
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Gemmatirosa	14	18	11	12	7	12	19	20	15	13	17	13	9	11	11	15	11	16
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae|Nitrospira	5	7	5	8	3	9	16	11	13	8	13	18	12	10	14	41	15	20
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|Algisphaera	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Bythopirellula	1	7	3	1	0	3	9	10	7	4	10	10	5	3	5	4	7	1
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Lacipirellula	1	13	8	2	0	2	34	53	21	7	12	27	13	13	15	11	4	5
Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales|Isosphaeraceae|Paludisphaera	2	2	3	3	1	3	11	6	3	8	6	5	4	3	6	1	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Aquidulcibacter	16	16	9	9	15	8	23	11	8	13	24	15	15	13	15	18	14	26
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	23	16	29	42	54	18	14	22	9	8	14	11	9	24	14	18	17	7
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	54	54	64	67	55	76	40	50	40	38	62	38	54	61	35	49	71	43
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	112	131	129	79	132	246	106	55	46	110	103	81	148	93	81	97	88	94
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Unassigned	13	13	18	10	7	12	22	14	16	19	13	21	9	19	21	18	5	21
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae|Asprobacter	7	5	1	2	0	3	7	9	3	6	0	9	5	1	5	4	10	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Aurantimonadaceae|Aureimonas	8	10	2	8	8	10	2	4	7	5	7	12	8	7	8	3	6	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella	6	10	5	4	9	9	10	5	4	4	9	3	3	2	9	8	2	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Boseaceae|Bosea	42	45	118	155	97	56	44	56	24	28	53	32	51	36	34	62	88	58
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	214	302	277	220	259	283	308	204	178	185	265	246	206	191	240	253	223	261
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Pseudorhodoplanes	73	73	102	108	34	85	84	43	51	58	58	60	28	33	76	76	37	80
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodoplanes	87	119	128	109	100	116	134	91	81	85	89	110	76	87	103	83	77	86
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodopseudomonas	6	2	14	0	0	0	0	0	0	0	1	1	2	2	0	0	2	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia	172	144	227	188	364	238	115	170	78	129	143	103	96	114	114	105	134	151
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Unassigned	7	8	14	13	16	11	14	4	6	4	9	7	5	9	7	6	8	16
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium	114	113	165	94	81	97	139	91	51	84	101	120	73	64	75	62	49	110
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga	19	34	3	12	15	19	35	16	16	20	18	32	11	12	8	18	12	13
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium	84	98	96	113	100	120	103	77	75	91	106	92	83	71	94	122	103	92
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor	27	25	8	41	35	75	28	15	27	17	20	26	36	21	27	15	22	19
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Roseitalea	9	14	4	3	20	3	0	1	5	2	4	4	0	23	2	1	4	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Unassigned	11	4	9	12	6	12	15	13	5	7	12	13	12	10	9	7	10	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Pleomorphomonadaceae|Chthonobacter	7	4	8	8	21	8	6	5	7	5	6	4	8	11	22	4	11	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium	10	1	10	3	9	1	0	10	8	29	24	10	1	12	8	19	4	9
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer	32	28	74	60	83	61	24	25	24	29	28	31	23	50	19	39	41	42
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Pararhizobium	115	129	232	264	376	244	76	71	82	108	144	104	138	201	85	97	193	95
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium	76	26	97	64	69	41	31	40	34	59	55	83	24	37	47	46	27	26
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Shinella	54	61	176	97	165	94	69	117	38	84	112	41	73	99	52	83	156	115
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Unassigned	67	42	79	69	80	57	88	80	56	54	87	108	30	37	70	59	79	52
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned|Unassigned	84	100	148	67	90	99	101	66	69	68	67	69	53	61	100	54	41	66
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Azospirillum	9	10	5	4	2	8	13	12	15	5	10	7	8	6	11	13	6	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Skermanella	2	5	1	1	1	4	2	0	3	1	0	4	0	0	21	3	0	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Unassigned	2	2	6	4	1	1	4	3	4	2	3	3	3	3	0	3	2	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Geminicoccaceae|Arboricoccus	9	10	7	10	3	8	12	5	10	7	12	19	8	10	4	5	7	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Reyranellaceae|Reyranella	18	23	29	15	5	26	26	14	18	17	14	23	17	11	17	25	9	12
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Dongia	44	58	33	35	20	24	113	66	60	60	63	66	59	54	54	74	30	46
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Thalassobaculaceae|Oceanibaculum	3	6	1	2	0	3	3	6	5	3	5	6	4	3	1	3	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned|Unassigned	19	18	23	6	22	19	32	13	14	17	15	21	11	24	29	17	17	20
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Anaplasma	0	2	0	0	4	3	1	3	0	0	1	3	0	3	4	2	0	2
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Ferrovibrio	8	8	11	5	10	10	10	11	5	7	13	15	17	12	10	31	16	18
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Marinibaculum	6	1	0	3	3	3	8	2	7	2	2	2	5	2	3	9	1	1
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	24	18	24	26	48	34	29	38	19	25	26	16	11	28	33	24	39	21
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Novosphingobium	9	11	17	10	15	28	15	15	4	6	12	10	6	8	11	10	4	15
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	153	180	295	300	295	238	130	90	107	101	115	157	87	160	98	178	125	120
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis	29	34	115	56	138	63	32	48	15	49	72	32	35	23	29	41	90	44
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Unassigned	8	4	6	0	2	0	4	8	2	1	3	4	2	1	5	5	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Unassigned|Unassigned	4	1	2	0	2	0	7	0	2	2	4	3	1	2	1	8	1	1
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned|Unassigned|Unassigned	59	65	30	124	68	57	63	50	46	62	71	66	56	77	96	48	52	54
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Azohydromonas	4	2	2	3	24	3	9	3	24	18	41	3	26	7	29	9	1	3
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella	4	0	5	1	2	0	4	17	0	34	3	14	1	1	1	2	0	1
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Unassigned	41	19	63	17	6	20	31	17	20	31	50	36	19	24	30	21	13	29
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Chitinimonas	14	18	32	9	2	13	19	17	13	9	14	24	10	9	15	8	19	19
