,x
1044,nosig
1045,nosig
1046,nosig
1047,nosig
1048,nosig
1049,nosig
1050,nosig
1051,nosig
1052,nosig
1053,nosig
1054,nosig
1055,nosig
1056,nosig
1057,nosig
1058,nosig
1059,nosig
1060,nosig
1061,nosig
1062,nosig
1063,nosig
1064,nosig
1065,nosig
1066,nosig
1067,nosig
1068,nosig
1069,nosig
1070,nosig
1071,nosig
1072,nosig
1073,nosig
1074,nosig
1075,nosig
1076,nosig
1077,nosig
1078,nosig
1079,nosig
1080,nosig
1081,nosig
1082,nosig
1083,nosig
1084,nosig
1085,nosig
1086,nosig
1087,nosig
1088,nosig
1089,nosig
1090,nosig
1091,nosig
1092,nosig
1093,nosig
1094,nosig
1095,nosig
1096,nosig
1097,nosig
1098,nosig
1099,nosig
1100,nosig
1101,nosig
1102,nosig
1103,nosig
1104,nosig
1105,nosig
1106,nosig
1107,nosig
1108,nosig
1109,nosig
1110,nosig
1111,nosig
1112,nosig
1113,nosig
1114,nosig
1115,nosig
1116,nosig
1117,nosig
1118,nosig
1119,nosig
1120,nosig
1121,nosig
1122,nosig
1123,nosig
1124,nosig
1125,nosig
1126,nosig
1127,nosig
1128,nosig
1129,nosig
1130,nosig
1131,nosig
1132,nosig
1133,nosig
1134,nosig
1135,nosig
1136,nosig
1137,nosig
1138,nosig
1139,nosig
1140,nosig
1141,nosig
1142,nosig
1143,nosig
1144,nosig
1145,nosig
1146,nosig
1147,nosig
1148,nosig
1149,depleted
1150,nosig
1151,nosig
1152,nosig
1153,nosig
1154,nosig
1155,nosig
1156,nosig
1157,nosig
1158,nosig
1159,nosig
1160,nosig
1161,nosig
1162,nosig
1163,nosig
1164,nosig
1165,nosig
1166,nosig
1167,nosig
1168,nosig
1169,nosig
1170,nosig
1171,nosig
1172,nosig
1173,nosig
1174,nosig
1175,nosig
1176,nosig
1177,nosig
1178,nosig
1179,nosig
1180,nosig
1181,nosig
1182,nosig
1183,nosig
1184,nosig
1185,nosig
1186,nosig
1187,nosig
1188,nosig
1189,nosig
1190,nosig
1191,nosig
1192,nosig
1193,nosig
1194,nosig
1195,nosig
1196,nosig
1197,nosig
1198,nosig
1199,nosig
1200,nosig
1201,nosig
1202,nosig
1203,nosig
1204,nosig
1205,nosig
1206,nosig
1207,nosig
1208,nosig
1209,nosig
1210,nosig
1211,nosig
1212,nosig
1213,nosig
1214,nosig
1215,nosig
1216,nosig
1217,nosig
1218,nosig
1219,nosig
1220,nosig
1221,nosig
1222,nosig
1223,nosig
1224,nosig
1225,nosig
1226,nosig
1227,nosig
1228,nosig
1229,depleted
1230,nosig
1231,depleted
1232,depleted
1233,nosig
1234,nosig
1235,nosig
1236,nosig
1237,nosig
1238,depleted
1239,nosig
1240,nosig
1241,nosig
1242,nosig
1243,nosig
1244,depleted
1245,nosig
1246,nosig
1247,nosig
1248,nosig
1249,nosig
1250,nosig
1251,depleted
1252,depleted
1253,nosig
1254,nosig
1255,nosig
1256,nosig
1257,nosig
1258,nosig
1259,nosig
1260,nosig
1261,nosig
1262,nosig
1263,nosig
1264,nosig
1265,nosig
1266,nosig
1267,nosig
1268,nosig
1269,nosig
1270,nosig
1271,depleted
1272,depleted
1273,nosig
1274,nosig
1275,nosig
1276,nosig
1277,nosig
1278,nosig
1279,nosig
1280,nosig
1281,nosig
1282,nosig
1283,depleted
1284,depleted
1285,nosig
1286,nosig
1287,nosig
1288,nosig
1289,nosig
1290,enriched
1291,nosig
1292,enriched
1293,enriched
1294,nosig
1295,nosig
1296,nosig
1297,nosig
1298,nosig
1299,nosig
1300,nosig
1301,nosig
1302,nosig
1303,nosig
1304,nosig
1305,nosig
1306,nosig
1307,nosig
1308,nosig
1309,nosig
1310,nosig
1311,nosig
1312,nosig
1313,nosig
1314,nosig
1315,nosig
1316,nosig
1317,nosig
1318,nosig
1319,nosig
1320,depleted
1321,nosig
1322,nosig
1323,enriched
1324,nosig
1325,nosig
1326,nosig
1327,nosig
1328,nosig
1329,nosig
1330,nosig
1331,nosig
1332,nosig
1333,nosig
1334,nosig
1335,nosig
1336,nosig
1337,nosig
1338,nosig
1339,nosig
1340,nosig
1341,nosig
1342,nosig
1343,nosig
1344,nosig
1345,nosig
1346,nosig
1347,nosig
1348,nosig
1349,nosig
1350,nosig
1351,nosig
1352,nosig
1353,nosig
1354,nosig
1355,enriched
1356,nosig
1357,enriched
1358,nosig
1359,nosig
1360,nosig
1361,nosig
1362,nosig
1363,nosig
1364,nosig
1365,nosig
1366,nosig
1367,nosig
1368,nosig
1369,nosig
1370,nosig
1371,nosig
1372,nosig
1373,nosig
1374,nosig
1375,nosig
1376,nosig
1377,nosig
1378,nosig
1379,nosig
1380,nosig
1381,nosig
1382,nosig
1383,nosig
1384,nosig
1385,nosig
1386,nosig
1387,depleted
1388,nosig
1389,nosig
1390,nosig
1391,nosig
1392,nosig
1393,nosig
1394,nosig
1395,nosig
1396,nosig
1397,nosig
1398,nosig
1399,nosig
1400,nosig
1401,nosig
1402,nosig
1403,nosig
1404,nosig
1405,nosig
1406,nosig
1407,nosig
1408,nosig
1409,nosig
1410,nosig
1411,nosig
1412,nosig
1413,nosig
1414,nosig
1415,nosig
1416,nosig
1417,nosig
1418,nosig
1419,nosig
1420,nosig
1421,nosig
1422,nosig
1423,nosig
1424,nosig
1425,nosig
1426,nosig
1427,nosig
1428,nosig
1429,nosig
1430,nosig
1431,nosig
1432,nosig
1433,nosig
1434,nosig
1435,nosig
1436,depleted
1437,nosig
1438,nosig
1439,nosig
1440,depleted
1441,nosig
1442,nosig
1443,nosig
1444,depleted
1445,nosig
1446,nosig
1447,nosig
1448,nosig
1449,nosig
1450,nosig
1451,nosig
1452,nosig
1453,nosig
1454,nosig
1455,nosig
1456,nosig
1457,nosig
1458,nosig
1459,nosig
1460,nosig
1461,nosig
1462,nosig
1463,nosig
1464,nosig
1465,nosig
1466,nosig
1467,nosig
1468,nosig
1469,nosig
1470,nosig
1471,nosig
1472,nosig
1473,nosig
1474,nosig
1475,nosig
1476,nosig
1477,nosig
1478,nosig
1479,nosig
1480,nosig
1481,nosig
1482,nosig
1483,enriched
1484,nosig
1485,nosig
1486,nosig
1487,nosig
1488,nosig
1489,enriched
1490,nosig
1491,nosig
1492,nosig
1493,nosig
1494,nosig
1495,enriched
1496,nosig
1497,nosig
1498,nosig
1499,nosig
1500,nosig
1501,nosig
1502,nosig
1503,nosig
1504,nosig
1505,nosig
1506,nosig
1507,nosig
1508,nosig
1509,nosig
1510,nosig
1511,nosig
1512,nosig
1513,nosig
1514,nosig
1515,nosig
1516,nosig
1517,nosig
1518,nosig
1519,nosig
1520,nosig
1521,nosig
1522,nosig
1523,nosig
1524,nosig
1525,nosig
1526,nosig
1527,nosig
1528,enriched
1529,nosig
1530,nosig
1531,nosig
1532,nosig
1533,nosig
1534,nosig
1535,nosig
1536,nosig
1537,nosig
1538,nosig
1539,nosig
1540,nosig
1541,nosig
1542,nosig
1543,nosig
1544,nosig
1545,nosig
1546,nosig
1547,nosig
1548,nosig
1549,nosig
1550,nosig
1551,nosig
1552,nosig
1553,enriched
1554,nosig
1555,nosig
1556,nosig
1557,nosig
1558,nosig
1559,nosig
1560,nosig
1561,nosig
1562,nosig
1563,nosig
1564,nosig
1565,nosig
1566,nosig
1567,nosig
1568,nosig
1569,nosig
1570,nosig
1571,nosig
1572,nosig
1573,nosig
1574,nosig
1575,nosig
1576,nosig
1577,nosig
1578,nosig
1579,nosig
1580,nosig
1581,nosig
1582,nosig
1583,nosig
1584,nosig
1585,nosig
1586,nosig
1587,nosig
1588,nosig
1589,nosig
1590,nosig
1591,nosig
1592,nosig
1593,nosig
1594,nosig
1595,nosig
1596,nosig
1597,nosig
1598,nosig
1599,nosig
1600,depleted
1601,depleted
1602,nosig
1603,nosig
1604,depleted
1605,nosig
1606,nosig
1607,nosig
1608,depleted
1609,nosig
1610,nosig
1611,nosig
1612,depleted
1613,nosig
1614,depleted
1615,nosig
1616,nosig
1617,nosig
1618,nosig
1619,nosig
1620,nosig
1621,nosig
1622,depleted
1623,nosig
1624,nosig
1625,nosig
1626,nosig
1627,nosig
1628,nosig
1629,nosig
1630,nosig
1631,nosig
1632,nosig
1633,nosig
1634,nosig
1635,depleted
1636,nosig
1637,nosig
1638,nosig
1639,nosig
1640,nosig
1641,nosig
1642,nosig
1643,nosig
1644,nosig
1645,nosig
1646,nosig
1647,nosig
1648,nosig
1649,nosig
1650,nosig
1651,nosig
1652,nosig
1653,nosig
1654,nosig
1655,nosig
1656,nosig
1657,nosig
1658,nosig
1659,nosig
1660,nosig
1661,nosig
1662,nosig
1663,nosig
1664,nosig
1665,nosig
1666,nosig
1667,nosig
1668,nosig
1669,nosig
1670,nosig
1671,enriched
1672,nosig
1673,nosig
1674,nosig
1675,nosig
1676,nosig
1677,nosig
1678,nosig
1679,nosig
1680,nosig
1681,nosig
1682,nosig
1683,nosig
1684,nosig
1685,nosig
1686,nosig
1687,nosig
1688,depleted
1689,nosig
1690,nosig
1691,nosig
1692,nosig
1693,nosig
1694,nosig
1695,nosig
1696,nosig
1697,nosig
1698,nosig
1699,nosig
1700,nosig
1701,nosig
1702,nosig
1703,nosig
1704,nosig
1705,nosig
1706,nosig
1707,nosig
1708,nosig
1709,nosig
1710,nosig
1711,nosig
1712,nosig
1713,nosig
1714,nosig
1715,nosig
1716,nosig
1717,nosig
1718,nosig
1719,nosig
1720,nosig
1721,nosig
1722,nosig
1723,nosig
1724,enriched
1725,nosig
1726,nosig
1727,nosig
1728,nosig
1729,enriched
1730,nosig
1731,nosig
1732,nosig
1733,nosig
1734,nosig
1735,nosig
1736,nosig
1737,nosig
1738,nosig
1739,nosig
1740,nosig
1741,nosig
1742,nosig
1743,nosig
1744,nosig
1745,nosig
1746,nosig
1747,nosig
1748,nosig
1749,nosig
1750,nosig
1751,nosig
1752,nosig
1753,nosig
1754,nosig
1755,nosig
1756,nosig
1757,nosig
1758,nosig
1759,nosig
1760,nosig
1761,nosig
1762,nosig
1763,nosig
1764,nosig
1765,nosig
1766,nosig
1767,nosig
1768,nosig
1769,nosig
1770,nosig
1771,nosig
1772,nosig
1773,nosig
1774,nosig
1775,nosig
1776,nosig
1777,depleted
1778,nosig
1779,depleted
1780,nosig
1781,nosig
1782,nosig
1783,nosig
1784,nosig
1785,nosig
1786,depleted
1787,nosig
1788,depleted
1789,depleted
1790,nosig
1791,nosig
1792,nosig
1793,nosig
1794,nosig
1795,depleted
1796,depleted
1797,nosig
1798,nosig
1799,nosig
1800,nosig
1801,nosig
1802,nosig
1803,nosig
1804,nosig
1805,nosig
1806,nosig
1807,depleted
1808,nosig
1809,nosig
1810,depleted
1811,depleted
1812,depleted
1813,depleted
1814,nosig
1815,depleted
1816,nosig
1817,nosig
1818,nosig
1819,depleted
1820,nosig
1821,nosig
1822,nosig
1823,depleted
1824,depleted
1825,nosig
1826,nosig
1827,depleted
1828,depleted
1829,nosig
1830,nosig
1831,depleted
1832,nosig
1833,nosig
1834,depleted
1835,nosig
1836,depleted
1837,nosig
1838,nosig
1839,nosig
1840,nosig
1841,nosig
1842,nosig
1843,nosig
1844,nosig
1845,nosig
1846,nosig
1847,nosig
1848,nosig
1849,nosig
1850,nosig
1851,nosig
1852,nosig
1853,nosig
1854,nosig
1855,nosig
1856,nosig
1857,nosig
1858,nosig
1859,nosig
1860,nosig
1861,nosig
1862,nosig
1863,nosig
1864,nosig
1865,nosig
1866,nosig
1867,nosig
1868,nosig
1869,nosig
1870,nosig
1871,nosig
1872,nosig
1873,nosig
1874,nosig
1875,nosig
1876,nosig
1877,nosig
1878,nosig
1879,nosig
1880,nosig
1881,depleted
1882,nosig
1883,depleted
1884,nosig
1885,nosig
1886,depleted
1887,depleted
1888,depleted
1889,nosig
1890,nosig
1891,nosig
1892,nosig
1893,nosig
1894,nosig
1895,nosig
1896,nosig
1897,nosig
1898,nosig
1899,nosig
1900,nosig
1901,enriched
1902,nosig
1903,nosig
1904,depleted
1905,nosig
1906,nosig
1907,nosig
1908,nosig
1909,nosig
1910,nosig
1911,nosig
1912,nosig
1913,nosig
1914,depleted
1915,nosig
1916,nosig
1917,nosig
1918,depleted
1919,nosig
1920,nosig
1921,nosig
1922,nosig
1923,nosig
1924,nosig
1925,nosig
1926,nosig
1927,nosig
1928,enriched
1929,nosig
1930,nosig
1931,nosig
1932,nosig
1933,nosig
1934,nosig
1935,nosig
1936,nosig
1937,nosig
1938,nosig
1939,nosig
1940,nosig
1941,nosig
1942,nosig
1943,nosig
1944,nosig
1945,nosig
1946,nosig
1947,nosig
1948,nosig
1949,nosig
1950,nosig
1951,nosig
1952,nosig
1953,nosig
1954,nosig
1955,nosig
1956,nosig
1957,nosig
1958,nosig
1959,nosig
1960,nosig
1961,nosig
1962,nosig
1963,nosig
1964,nosig
1965,nosig
1966,depleted
1967,nosig
1968,nosig
1969,nosig
1970,nosig
1971,nosig
1972,nosig
1973,nosig
1974,nosig
1975,nosig
1976,nosig
1977,nosig
1978,nosig
1979,nosig
1980,nosig
1981,nosig
1982,nosig
1983,nosig
1984,nosig
1985,nosig
1986,depleted
1987,nosig
1988,nosig
1989,nosig
1990,nosig
1991,nosig
1992,nosig
1993,nosig
1994,nosig
1995,nosig
1996,nosig
1997,nosig
1998,nosig
1999,nosig
2000,nosig
2001,nosig
2002,nosig
2003,nosig
2004,nosig
2005,nosig
2006,nosig
2007,nosig
2008,nosig
2009,nosig
2010,nosig
2011,nosig
2012,nosig
2013,nosig
2014,nosig
2015,nosig
2016,nosig
2017,nosig
2018,nosig
2019,nosig
2020,nosig
2021,nosig
2022,nosig
2023,nosig
2024,nosig
2025,nosig
2026,nosig
2027,nosig
2028,nosig
2029,nosig
2030,nosig
2031,nosig
2032,nosig
2033,nosig
2034,nosig
2035,nosig
2036,nosig
2037,nosig
2038,nosig
2039,nosig
2040,nosig
2041,nosig
2042,nosig
2043,nosig
2044,nosig
2045,nosig
2046,nosig
2047,nosig
2048,nosig
2049,nosig
2050,nosig
2051,nosig
2052,nosig
2053,nosig
2054,nosig
2055,nosig
2056,nosig
2057,nosig
2058,nosig
2059,nosig
2060,nosig
2061,nosig
2062,nosig
2063,nosig
2064,nosig
2065,nosig
2066,nosig
2067,nosig
2068,nosig
2069,nosig
2070,nosig
2071,nosig
2072,enriched
2073,nosig
2074,nosig
2075,nosig
2076,nosig
2077,nosig
2078,nosig
2079,nosig
2080,nosig
2081,nosig
2082,nosig
2083,nosig
2084,nosig
2085,nosig
2086,nosig
2087,nosig
2088,nosig
2089,nosig
2090,nosig
2091,nosig
2092,nosig
2093,nosig
2094,nosig
2095,nosig
2096,nosig
2097,nosig
2098,nosig
2099,nosig
2100,nosig
2101,nosig
2102,nosig
2103,nosig
2104,nosig
2105,nosig
2106,nosig
2107,nosig
2108,nosig
2109,nosig
2110,nosig
2111,nosig
2112,nosig
2113,nosig
2114,nosig
2115,nosig
2116,nosig
2117,nosig
2118,nosig
2119,nosig
2120,nosig
2121,nosig
2122,nosig
2123,nosig
2124,nosig
2125,nosig
2126,nosig
2127,nosig
2128,nosig
2129,nosig
2130,nosig
2131,nosig
2132,nosig
2133,nosig
2134,nosig
2135,nosig
2136,nosig
2137,depleted
2138,nosig
2139,nosig
2140,nosig
2141,nosig
