"",Pvalues,FDR
ASV_1056,0.15396,0.57988
ASV_831,0.1545,0.58043
ASV_23,0.15526,0.58185
ASV_56,0.15609,0.58347
ASV_1779,0.15716,0.58523
ASV_246,0.15749,0.58523
ASV_2460,0.158,0.58523
ASV_882,0.15812,0.58523
ASV_1819,0.15999,0.58976
ASV_862,0.16013,0.58976
ASV_366,0.16104,0.59043
ASV_758,0.16126,0.59043
ASV_277,0.16149,0.59043
ASV_1076,0.16246,0.59128
ASV_602,0.16251,0.59128
ASV_1162,0.16501,0.5989
ASV_1709,0.16588,0.59964
ASV_389,0.16601,0.59964
ASV_1522,0.16728,0.60012
ASV_1889,0.16736,0.60012
ASV_1118,0.16756,0.60012
ASV_1408,0.16774,0.60012
ASV_1322,0.16831,0.60037
ASV_2416,0.16915,0.60037
ASV_748,0.16999,0.60037
ASV_1706,0.17041,0.60037
ASV_43,0.17052,0.60037
ASV_1225,0.1717,0.60037
ASV_24,0.1724,0.60037
ASV_1593,0.17247,0.60037
ASV_2132,0.17257,0.60037
ASV_80,0.17272,0.60037
ASV_1740,0.17287,0.60037
ASV_209,0.173,0.60037
ASV_1116,0.17313,0.60037
ASV_1324,0.1738,0.60037
ASV_1386,0.17405,0.60037
ASV_940,0.17435,0.60037
ASV_1264,0.17496,0.60037
ASV_483,0.17555,0.60037
ASV_1846,0.17581,0.60037
ASV_1364,0.17583,0.60037
ASV_622,0.17678,0.60224
ASV_1423,0.17857,0.60648
ASV_1134,0.17889,0.60648
ASV_2465,0.17923,0.60648
ASV_896,0.18137,0.61224
ASV_1463,0.18215,0.61224
ASV_1102,0.18255,0.61224
ASV_769,0.18257,0.61224
ASV_258,0.18311,0.61267
ASV_1075,0.18416,0.61338
ASV_597,0.18451,0.61338
ASV_1500,0.18544,0.61338
ASV_1912,0.18697,0.61338
ASV_1251,0.18698,0.61338
ASV_1700,0.18705,0.61338
ASV_1017,0.18751,0.61338
ASV_419,0.18787,0.61338
ASV_820,0.18851,0.61338
ASV_719,0.18884,0.61338
ASV_2480,0.18887,0.61338
ASV_866,0.19037,0.61338
ASV_2611,0.19038,0.61338
ASV_133,0.19081,0.61338
ASV_467,0.19173,0.61338
ASV_699,0.19182,0.61338
ASV_718,0.19183,0.61338
ASV_1058,0.19218,0.61338
ASV_782,0.19226,0.61338
ASV_2097,0.1925,0.61338
ASV_792,0.19252,0.61338
ASV_545,0.19285,0.61338
ASV_438,0.19324,0.61338
ASV_454,0.19336,0.61338
ASV_962,0.19393,0.61338
ASV_1358,0.19427,0.61338
ASV_805,0.19491,0.61338
ASV_313,0.19502,0.61338
ASV_858,0.19519,0.61338
ASV_1686,0.19588,0.61429
ASV_195,0.19686,0.61467
ASV_1484,0.19862,0.61467
ASV_872,0.19956,0.61467
ASV_380,0.19967,0.61467
ASV_890,0.20008,0.61467
ASV_1888,0.20015,0.61467
ASV_218,0.20085,0.61467
ASV_50,0.20106,0.61467
ASV_242,0.20188,0.61467
ASV_248,0.20228,0.61467
ASV_1539,0.20309,0.61467
ASV_91,0.20326,0.61467
ASV_574,0.20334,0.61467
