"",Pvalues,FDR,KO,OE,WT,LDAscore
ASV_792,0.029759,0.17707,1002.2,2600.9,1837.1,2.9
ASV_1825,0.029768,0.17707,248.34,1045.4,902.8,2.6
ASV_666,0.030026,0.17768,719.48,2790.2,2842.4,3.03
ASV_984,0.030354,0.17768,545.54,1874.2,1588,2.82
ASV_1220,0.030463,0.17768,726.7,1368.4,814.45,2.51
ASV_2567,0.030463,0.17768,343.58,1275.3,1417.1,2.73
ASV_119,0.030463,0.17768,9693.5,17468,18024,3.62
ASV_1251,0.030846,0.17922,583.34,2115.4,827.97,2.88
ASV_1275,0.031367,0.18095,4751.2,2903,2581.5,3.04
ASV_2089,0.031514,0.18095,149.07,883.99,846.05,2.57
ASV_271,0.031922,0.18095,5142.7,9556.9,4312.1,3.42
ASV_1630,0.032084,0.18095,884.97,939.62,146.79,2.6
ASV_1068,0.03211,0.18095,19587,7708.1,5672.3,3.84
ASV_184,0.03211,0.18095,12157,6445.6,7273,3.46
ASV_758,0.03211,0.18095,2659.5,1399.8,1292.6,2.84
ASV_370,0.03211,0.18095,2790,6003.3,4988.9,3.21
ASV_1726,0.032313,0.18141,147.5,368.72,942.8,2.6
ASV_1017,0.033056,0.18489,1842.8,111.01,892.96,2.94
ASV_2461,0.033845,0.18775,1116.3,1863.7,1331.4,2.57
ASV_156,0.033845,0.18775,16960,12210,8537.4,3.62
ASV_818,0.034243,0.18775,733.03,1992.3,1828.9,2.8
ASV_1075,0.034243,0.18775,848.1,2042.8,1110.1,2.78
ASV_458,0.034243,0.18775,4631.1,5263.3,1875.1,3.23
ASV_2621,0.034444,0.18775,692.71,1544.7,1060.8,2.63
ASV_404,0.034444,0.18775,2892.7,5321.8,3396.1,3.08
ASV_1132,0.035466,0.19127,876.5,2272,1263.1,2.84
ASV_361,0.035466,0.19127,4696,5277.9,3486.4,2.95
ASV_1376,0.035511,0.19127,193.73,1178,1195.5,2.7
ASV_2177,0.035601,0.19127,206.63,1554.9,712.13,2.83
ASV_961,0.036153,0.19298,2146.2,379.77,831.48,2.95
ASV_567,0.036305,0.19298,1115.7,2903.8,2779.7,2.95
ASV_670,0.036305,0.19298,728.71,3684,2308.4,3.17
ASV_2603,0.036586,0.19379,152.95,1494.1,437.2,2.83
ASV_1626,0.037532,0.1953,905.6,1496.8,430.87,2.73
ASV_716,0.037816,0.1953,247.25,2099.4,2432.6,3.04
ASV_2438,0.037916,0.1953,688.81,2409.2,1399.5,2.94
ASV_1146,0.038044,0.1953,531.43,1440.7,1202.9,2.66
ASV_410,0.038044,0.1953,4846.6,2456,2583.2,3.08
ASV_580,0.038044,0.1953,1075.1,3342.7,2524.3,3.05
ASV_1842,0.038044,0.1953,626.16,1507.2,1963.2,2.83
ASV_659,0.038044,0.1953,1060.6,1486.3,2967.5,2.98
ASV_614,0.038044,0.1953,2325.7,3481.2,1155.5,3.07
ASV_715,0.038718,0.19607,2564.7,2082.8,1437.8,2.75
