source,target,correlation,direct,cor
ASV_728,ASV_44,-1,undirected,-
ASV_44,ASV_53,-1,undirected,-
ASV_289,ASV_53,1,undirected,+
ASV_484,ASV_53,1,undirected,+
ASV_343,ASV_53,1,undirected,+
ASV_728,ASV_53,1,undirected,+
ASV_44,ASV_289,-1,undirected,-
ASV_53,ASV_289,1,undirected,+
ASV_484,ASV_289,1,undirected,+
ASV_343,ASV_289,1,undirected,+
ASV_728,ASV_289,1,undirected,+
ASV_44,ASV_484,-1,undirected,-
ASV_53,ASV_484,1,undirected,+
ASV_289,ASV_484,1,undirected,+
ASV_343,ASV_484,1,undirected,+
ASV_728,ASV_484,1,undirected,+
ASV_44,ASV_343,-1,undirected,-
ASV_53,ASV_343,1,undirected,+
ASV_289,ASV_343,1,undirected,+
ASV_484,ASV_343,1,undirected,+
ASV_728,ASV_343,1,undirected,+
ASV_44,ASV_728,-1,undirected,-
ASV_53,ASV_728,1,undirected,+
ASV_289,ASV_728,1,undirected,+
ASV_484,ASV_728,1,undirected,+
ASV_343,ASV_728,1,undirected,+
ASV_179,ASV_11,-1,undirected,-
ASV_198,ASV_11,1,undirected,+
ASV_553,ASV_11,1,undirected,+
ASV_539,ASV_11,1,undirected,+
ASV_11,ASV_179,-1,undirected,-
ASV_198,ASV_179,-1,undirected,-
ASV_553,ASV_179,-1,undirected,-
ASV_539,ASV_179,-1,undirected,-
ASV_11,ASV_198,1,undirected,+
ASV_179,ASV_198,-1,undirected,-
ASV_553,ASV_198,1,undirected,+
ASV_539,ASV_198,1,undirected,+
ASV_11,ASV_553,1,undirected,+
ASV_179,ASV_553,-1,undirected,-
ASV_198,ASV_553,1,undirected,+
ASV_539,ASV_553,1,undirected,+
ASV_11,ASV_539,1,undirected,+
ASV_179,ASV_539,-1,undirected,-
ASV_198,ASV_539,1,undirected,+
ASV_553,ASV_539,1,undirected,+
ASV_114,ASV_28,-1,undirected,-
ASV_241,ASV_28,-1,undirected,-
ASV_479,ASV_28,-1,undirected,-
ASV_523,ASV_28,-1,undirected,-
ASV_28,ASV_114,-1,undirected,-
ASV_241,ASV_114,1,undirected,+
ASV_479,ASV_114,1,undirected,+
ASV_523,ASV_114,1,undirected,+
ASV_28,ASV_241,-1,undirected,-
ASV_114,ASV_241,1,undirected,+
ASV_479,ASV_241,1,undirected,+
ASV_523,ASV_241,1,undirected,+
ASV_28,ASV_479,-1,undirected,-
ASV_114,ASV_479,1,undirected,+
ASV_241,ASV_479,1,undirected,+
ASV_523,ASV_479,1,undirected,+
ASV_28,ASV_523,-1,undirected,-
ASV_114,ASV_523,1,undirected,+
ASV_241,ASV_523,1,undirected,+
ASV_479,ASV_523,1,undirected,+
ASV_259,ASV_21,-1,undirected,-
ASV_240,ASV_21,-1,undirected,-
ASV_218,ASV_21,-1,undirected,-
ASV_592,ASV_21,1,undirected,+
ASV_21,ASV_259,-1,undirected,-
ASV_240,ASV_259,1,undirected,+
ASV_218,ASV_259,1,undirected,+
ASV_592,ASV_259,-1,undirected,-
ASV_21,ASV_240,-1,undirected,-
ASV_259,ASV_240,1,undirected,+
ASV_218,ASV_240,1,undirected,+
ASV_592,ASV_240,-1,undirected,-
ASV_21,ASV_218,-1,undirected,-
ASV_259,ASV_218,1,undirected,+
ASV_240,ASV_218,1,undirected,+
ASV_592,ASV_218,-1,undirected,-
ASV_21,ASV_592,1,undirected,+
ASV_259,ASV_592,-1,undirected,-
