#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_6193	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10777	0	0	0	0	0	0	0	0	0	0	0	0	7	6	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7759	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	65	0	0	75	1	9	10	1	0	0	2	2	3	8	0	1	0	0	0	0
OTU_11986	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	2	0	2	0	3	0	0	0	0	0	0	0	0
OTU_8024	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	43	0	0	46	6	23	2	0	0	13	3	13	0	2	0	0	0	0	0	0
OTU_9440	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	6	0	0	0	6	0	1	2	0	0	0	0	0	0	0
OTU_11446	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	2	6	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_12358	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	13	0	0	7	9	25	2	4	0	53	11	11	1	4	2	0	0	0	0	0
OTU_6445	0	0	0	0	0	0	0	0	0	0	0	0	1	3	47	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10760	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	2	0	2	3	0	0	1	4	2	0	1	3	0	0	0	0	0
OTU_11475	0	0	0	0	0	0	0	0	0	0	0	0	3	5	14	6	0	0	4	6	27	1	15	9	0	4	0	3	1	1	0	0	0	0	0
OTU_6108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	30	23	0	32	1	4	8	0	0	5	0	0	0	0	0	0	7	2	6	3
OTU_11964	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	1	0	12	1	7	0	0	0	0	0	0	0	0
