,Sample,Abundance,aa,Group
953,KO4,0.000874752882310747,others,KO
954,KO4,0.000874752882310747,others,KO
955,KO4,0.000874752882310747,others,KO
956,KO4,0.000874752882310747,others,KO
957,KO4,0.000874752882310747,others,KO
958,KO4,0.000874752882310747,others,KO
959,KO4,0.000874752882310747,others,KO
960,KO4,0.000874752882310747,others,KO
961,KO5,0.000855798031664527,others,KO
962,KO5,0.000855798031664527,others,KO
963,KO5,0.000855798031664527,others,KO
964,KO5,0.000855798031664527,others,KO
965,KO5,0.000855798031664527,others,KO
966,KO5,0.000855798031664527,others,KO
967,KO5,0.000855798031664527,others,KO
968,KO5,0.000855798031664527,others,KO
969,KO5,0.000855798031664527,others,KO
970,KO5,0.000855798031664527,others,KO
971,KO5,0.000855798031664527,others,KO
972,KO5,0.000855798031664527,others,KO
973,KO5,0.000855798031664527,others,KO
974,KO5,0.000855798031664527,others,KO
975,KO5,0.000855798031664527,others,KO
976,KO5,0.000855798031664527,others,KO
977,KO5,0.000855798031664527,others,KO
978,KO5,0.000855798031664527,others,KO
979,KO3,0.000855776060520483,others,KO
980,KO3,0.000855776060520483,others,KO
981,KO3,0.000855776060520483,others,KO
982,KO3,0.000855776060520483,others,KO
983,KO3,0.000855776060520483,others,KO
984,KO3,0.000855776060520483,others,KO
985,KO1,0.000501524634890066,others,KO
986,KO1,0.000501524634890066,others,KO
987,KO1,0.000501524634890066,others,KO
988,KO1,0.000501524634890066,others,KO
989,KO1,0.000501524634890066,others,KO
990,KO1,0.000501524634890066,others,KO
991,KO1,0.000501524634890066,others,KO
992,KO1,0.000501524634890066,others,KO
993,KO1,0.000501524634890066,others,KO
994,KO1,0.000501524634890066,others,KO
995,KO1,0.000501524634890066,others,KO
996,KO1,0.000501524634890066,others,KO
997,KO1,0.000501524634890066,others,KO
998,KO1,0.000501524634890066,others,KO
999,KO1,0.000501524634890066,others,KO
1000,KO1,0.000501524634890066,others,KO
1001,KO1,0.000501524634890066,others,KO
1002,KO1,0.000501524634890066,others,KO
1003,KO2,0.000461233337945667,others,KO
1004,KO2,0.000461233337945667,others,KO
1005,KO2,0.000461233337945667,others,KO
1006,KO2,0.000461233337945667,others,KO
1007,KO2,0.000461233337945667,others,KO
1008,KO2,0.000461233337945667,others,KO
1009,KO2,0.000461233337945667,others,KO
1010,KO2,0.000461233337945667,others,KO
1011,KO6,0.000451108825493062,others,KO
1012,KO6,0.000451108825493062,others,KO
1013,KO6,0.000451108825493062,others,KO
1014,KO6,0.000451108825493062,others,KO
1015,KO6,0.000451108825493062,others,KO
1016,KO6,0.000451108825493062,others,KO
1017,KO6,0.000451108825493062,others,KO
1018,KO6,0.000451108825493062,others,KO
1019,KO6,0.000451108825493062,others,KO
1020,KO6,0.000451108825493062,others,KO
1021,KO6,0.000451108825493062,others,KO
1022,KO6,0.000451108825493062,others,KO
1023,KO6,0.000451108825493062,others,KO
1024,KO6,0.000451108825493062,others,KO
1025,KO6,0.000451108825493062,others,KO
1026,KO6,0.000451108825493062,others,KO
1027,KO6,0.000451108825493062,others,KO
1028,KO6,0.000451108825493062,others,KO
1029,KO6,0.000451108825493062,others,KO
1030,KO6,0.000451108825493062,others,KO
1031,KO4,0.000437376441155374,others,KO
1032,KO4,0.000437376441155374,others,KO
1033,KO4,0.000437376441155374,others,KO
1034,KO4,0.000437376441155374,others,KO
1035,KO4,0.000437376441155374,others,KO
1036,KO4,0.000437376441155374,others,KO
1037,KO4,0.000437376441155374,others,KO
1038,KO4,0.000437376441155374,others,KO
1039,KO4,0.000437376441155374,others,KO
1040,KO4,0.000437376441155374,others,KO
1041,KO4,0.000437376441155374,others,KO
1042,KO4,0.000437376441155374,others,KO
1043,KO4,0.000437376441155374,others,KO
1044,KO4,0.000437376441155374,others,KO
1045,KO4,0.000437376441155374,others,KO
1046,KO4,0.000437376441155374,others,KO
1047,KO5,0.000427899015832264,others,KO
1048,KO5,0.000427899015832264,others,KO
1049,KO5,0.000427899015832264,others,KO
1050,KO5,0.000427899015832264,others,KO
1051,KO5,0.000427899015832264,others,KO
1052,KO5,0.000427899015832264,others,KO
1053,KO5,0.000427899015832264,others,KO
1054,KO5,0.000427899015832264,others,KO
1055,KO5,0.000427899015832264,others,KO
1056,KO5,0.000427899015832264,others,KO
1057,KO5,0.000427899015832264,others,KO
1058,KO5,0.000427899015832264,others,KO
1059,KO5,0.000427899015832264,others,KO
1060,KO5,0.000427899015832264,others,KO
1061,KO3,0.000427888030260242,others,KO
1062,KO3,0.000427888030260242,others,KO
1063,KO3,0.000427888030260242,others,KO
1064,KO3,0.000427888030260242,others,KO
1065,KO3,0.000427888030260242,others,KO
1066,KO3,0.000427888030260242,others,KO
1067,KO3,0.000427888030260242,others,KO
1068,KO3,0.000427888030260242,others,KO
1069,KO3,0.000427888030260242,others,KO
1070,KO3,0.000427888030260242,others,KO
1071,KO3,0.000427888030260242,others,KO
1072,KO3,0.000427888030260242,others,KO
1073,KO3,0.000427888030260242,others,KO
1074,KO3,0.000427888030260242,others,KO
1075,KO3,0.000427888030260242,others,KO
1076,KO3,0.000427888030260242,others,KO
1077,KO6,0,others,KO
1078,KO2,0,others,KO
1079,KO6,0,others,KO
1080,KO4,0,others,KO
1081,KO1,0,others,KO
1082,KO4,0,others,KO
1083,KO2,0,others,KO
1084,KO3,0,others,KO
1085,KO5,0,others,KO
1086,KO3,0,others,KO
1087,KO4,0,others,KO
1088,KO1,0,others,KO
1089,KO5,0,others,KO
1090,KO5,0,others,KO
1091,KO4,0,others,KO
1092,KO3,0,others,KO
1093,KO4,0,others,KO
1094,KO5,0,others,KO
1095,KO6,0,others,KO
1096,KO4,0,others,KO
1097,KO5,0,others,KO
