"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Acidovorax_soli",9.53901456958962e-05,0.000152879952546063,8.7789821925277e-05,0.000494666418517176,0,6.28705432643643e-06,0,3.80609228505094e-05,0.000118694949035356,9.51058528141822e-06,0,4.58805794061742e-05,0,2.2201599403221e-05,3.7774050738105e-06,0.000114645373199351,0.00021138606291209,0.000126321570781271,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax_soli"
"Acidovorax_temperans",0,6.11519810184251e-06,4.62051694343563e-06,0,0,0,0,0,0,0,4.29582789195134e-06,6.55436848659632e-06,0,0,0,0,8.99515161328044e-06,5.49224220788137e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax_temperans"
"Acinetobacter_beijerinckii",0,0,9.24103388687126e-06,2.93861238723075e-05,0,0,5.47873156406829e-06,0,0,0,4.29582789195134e-06,0,0,4.4403198806442e-06,3.7774050738105e-06,0,0,2.74612110394068e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_beijerinckii"
"Acinetobacter_bereziniae",0.000115472281631874,0.00022014713166633,0.000157097576076811,0.000200805179794101,1.41722686495245e-05,1.25741086528729e-05,1.09574631281366e-05,3.80609228505094e-05,8.4075588900044e-05,6.18188043292184e-05,6.87332462712214e-05,0.000144196106705119,3.55484458663823e-05,2.2201599403221e-05,1.13322152214315e-05,0.000143306716499189,4.94733338730424e-05,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_bereziniae"
"Acinetobacter_indicus",0,2.446079240737e-05,4.62051694343563e-05,1.46930619361537e-05,0,0,3.28723893844097e-05,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_indicus"
"Acinetobacter_johnsonii",0,0,9.24103388687126e-06,0,0,6.28705432643643e-06,0,0,0,0,0,0,1.77742229331911e-05,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_johnsonii"
"Acinetobacter_lwoffii",0,0,9.24103388687126e-06,0,1.8896358199366e-05,6.28705432643643e-06,1.09574631281366e-05,0,0,0,0,0,0,0,0,0,0,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_lwoffii"
"Acinetobacter_nosocomialis",0.000145595485535842,0,1.84820677737425e-05,0.000254679740226665,0,0,0,1.90304614252547e-05,0,1.42658779221273e-05,4.29582789195134e-06,0,0,0,0,9.74485672194484e-05,9.89466677460849e-05,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_nosocomialis"
"Acinetobacter_soli",0,0,0,0,0,0,0,6.34348714175156e-06,0,4.75529264070911e-06,4.29582789195134e-06,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_soli"
"Actinoallomurus_spadix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49757580664022e-06,7.68913909103392e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinoallomurus","Actinoallomurus_spadix"
"Actinoallomurus_vinaceus",0.000130533883583858,9.78431696294801e-05,0,9.7953746241025e-06,7.08613432476226e-05,0.000106879923549419,4.38298525125463e-05,8.88088199845219e-05,0.000276954881082498,7.60846822513457e-05,7.73249020551241e-05,0.00012453300124533,5.33226687995734e-05,7.99257578515956e-05,0.00038151791245486,1.14645373199351e-05,4.49757580664022e-05,0.000153782781820678,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinoallomurus","Actinoallomurus_vinaceus"
"Actinocatenispora_rupis",9.03696117119017e-05,0,0,0,4.72408954984151e-06,1.25741086528729e-05,3.8351120948478e-05,1.26869742835031e-05,2.96737372588391e-05,0,0,0,2.22177786664889e-05,4.4403198806442e-05,6.42158862547784e-05,0,5.39709096796826e-05,7.68913909103392e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinocatenispora","Actinocatenispora_rupis"
"Actinocorallia_cavernae",0,3.66911886110551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinocorallia","Actinocorallia_cavernae"
"Actinomadura_rudentiformis",0,0,0,0,0.000118102238746038,0,0,0,4.94562287647318e-06,0,0,6.55436848659632e-06,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura","Actinomadura_rudentiformis"
"Actinomadura_sputi",2.51026699199727e-05,0,0,0,2.8344537299049e-05,5.65834889379279e-05,6.57447787688194e-05,3.17174357087578e-05,6.42930973941513e-05,6.65740969699275e-05,1.71833115678053e-05,0,6.66533359994668e-05,6.21644783290188e-05,0,0,2.69854548398413e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura","Actinomadura_sputi"
"Actinomycetospora_chiangmaiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinomycetospora","Actinomycetospora_chiangmaiensis"
"Actinophytocola_gilvus",0,0,0,9.30560589289737e-05,0,6.28705432643643e-05,0,0,0,0,0,0,0,0,0,0,0,2.19689688315255e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_gilvus"
"Actinophytocola_timorensis",0,0,0,0,0,8.17317062436737e-05,0,6.34348714175156e-06,0,0,0,0,4.44355573329778e-06,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_timorensis"
"Actinoplanes_auranticolor",0,6.11519810184251e-06,1.84820677737425e-05,2.44884365602562e-05,0,6.28705432643643e-06,0,0,5.93474745176781e-05,0,0,0,0,0,0,0,8.99515161328044e-06,5.49224220788137e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes","Actinoplanes_auranticolor"
"Actinoplanes_deccanensis",0,0,0,4.89768731205125e-06,0,0,0,0,0,0,6.01415904873187e-05,0,8.88711146659557e-06,1.77612795225768e-05,0,1.14645373199351e-05,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes","Actinoplanes_deccanensis"
"Actinoplanes_globisporus",0.000722956893695213,0.000654326196897148,0.000452810660456692,0.000181214430545896,0.000410995790836211,9.43058148965465e-05,0.000509522035458351,0.000158587178543789,0.000103858080405937,0.000156924657143401,0.000111691525190735,0.000524349478927705,0.000293274678397654,0.000199814394628989,0.000933019053231192,0.000355400656917988,0.000359806064531218,8.78758753261019e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes","Actinoplanes_globisporus"
"Actinopolymorpha_pittospori",0,0,0,0,0,0,0,0,0,0,0,0,0,2.66419192838652e-05,7.17706964023994e-05,0,5.39709096796826e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Actinopolymorpha","Actinopolymorpha_pittospori"
"Actinospica_robiniae",4.01642718719563e-05,1.83455943055275e-05,2.31025847171782e-05,5.8772247744615e-05,2.8344537299049e-05,4.4009380285055e-05,6.02660472047512e-05,6.97783585592672e-05,4.45106058882586e-05,9.51058528141822e-06,9.88040415148808e-05,6.55436848659632e-06,0.000151080894932125,1.77612795225768e-05,9.82125319190729e-05,8.02517612395458e-05,8.99515161328044e-05,0.00012082932857339,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinospicaceae","Actinospica","Actinospica_robiniae"
"Adhaeribacter_aerolatus",0,0,0,0,0,0,0,0,0,0,0.000133170664650491,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","Adhaeribacter_aerolatus"
"Adhaeribacter_aerophilus",0,0,0,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","Adhaeribacter_aerophilus"
"Adhaeribacter_aquaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86613432998378e-05,0,0,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","Adhaeribacter_aquaticus"
"Adhaeribacter_terreus",5.02053398399454e-06,0,0,4.89768731205125e-06,6.14131641479396e-05,3.77223259586186e-05,4.93085840766146e-05,3.17174357087578e-05,0.000153314309170668,4.75529264070911e-05,4.29582789195134e-05,0.000432588320115357,0.000137750227732231,0.000288620792241873,7.93255065500204e-05,0,0,0,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","Adhaeribacter_terreus"
"Aeromicrobium_marinum",5.02053398399454e-06,1.83455943055275e-05,7.39282710949701e-05,1.9590749248205e-05,1.41722686495245e-05,0,0,3.17174357087578e-05,9.39668346529904e-05,4.75529264070911e-06,0,1.9663105459789e-05,3.11048901330845e-05,2.2201599403221e-05,4.53288608857259e-05,0.000160503522479092,1.34927274199207e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_marinum"
"Aeromicrobium_massiliense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_massiliense"
"Aeromicrobium_panaciterrae",0,0,0,0,0,0,0,1.26869742835031e-05,0,0,0,0,0,2.66419192838652e-05,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_panaciterrae"
"Aeromonas_australiensis",5.52258738239399e-05,0,1.38615508303069e-05,4.89768731205125e-06,0,6.28705432643643e-06,4.93085840766146e-05,6.34348714175156e-06,0,4.75529264070911e-05,4.29582789195134e-06,0.000170413580651504,8.88711146659557e-06,1.77612795225768e-05,0,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas_australiensis"
"Afipia_felis",0.000125513349599863,0.00012230396203685,0.000133994991359633,0.00011754449548923,0.000122826328295879,5.65834889379279e-05,1.64361946922049e-05,5.70913842757641e-05,1.48368686294195e-05,9.51058528141822e-06,0,0.00012453300124533,6.66533359994668e-05,8.8806397612884e-05,3.77740507381049e-05,0.00023502301505867,8.54539403261642e-05,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia_felis"
"Aggregicoccus_edonensis",0.000326334708959645,0.000152879952546063,9.24103388687126e-05,0.000132237557425384,0.000429892149035577,0.000622418378317207,0.0002246279941268,0.000450387587064361,0.000761625922976869,0.000608677458010766,0.000502611863358306,8.52067903257521e-05,0.000262169788264569,0.000217575674151566,0.000309747216052461,0.00025795208969854,0.000251864245171852,0.000455856103254154,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Aggregicoccus","Aggregicoccus_edonensis"
"Agromyces_humatus",5.02053398399454e-06,0,5.08256863777919e-05,0,8.50336118971471e-05,2.51482173057457e-05,8.76597050250926e-05,2.53739485670063e-05,0.000113749326158883,1.90211705628364e-05,0,0,0,8.8806397612884e-06,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces","Agromyces_humatus"
"Agromyces_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71968059799027e-05,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces","Agromyces_marinus"
"Agromyces_soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99515161328044e-06,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces","Agromyces_soli"
"Akkermansia_muciniphila",1.00410679679891e-05,2.446079240737e-05,0,0,0,0,1.09574631281366e-05,0,0,0,0.000141762320434394,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","Akkermansia_muciniphila"
"Alicyclobacillus_acidoterrestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus_acidoterrestris"
"Alicyclobacillus_pomorum",0,0,0,0,1.8896358199366e-05,0,0,0,0,0,0,0,1.33306671998934e-05,8.8806397612884e-06,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus_pomorum"
"Alishewanella_aestuarii",0,0,0,0,0,0,0,0,0,0,6.44374183792701e-05,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella_aestuarii"
"Alistipes_timonensis",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,4.29582789195134e-06,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_timonensis"
"Alkaliphilus_halophilus",1.00410679679891e-05,2.446079240737e-05,0,0,0,0,0,6.34348714175156e-06,0,0,0,0,1.33306671998934e-05,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_2","Alkaliphilus","Alkaliphilus_halophilus"
"Alkanibacter_difficilis",2.00821359359782e-05,0,3.23436186040494e-05,3.42838111843587e-05,9.44817909968301e-06,6.91575975908008e-05,1.09574631281366e-05,1.90304614252547e-05,6.92387202706245e-05,7.13293896106366e-05,0,0,4.44355573329778e-06,4.4403198806442e-06,0,0,4.49757580664022e-05,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Alkanibacter","Alkanibacter_difficilis"
"Alkanindiges_illinoisensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","Alkanindiges_illinoisensis"
"Allobacillus_halotolerans",0,0,0,0,0,1.25741086528729e-05,0,0,0,9.51058528141822e-06,0,0,3.55484458663823e-05,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Allobacillus","Allobacillus_halotolerans"
"Allobaculum_stercoricanis",5.02053398399454e-06,0,4.62051694343563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum_stercoricanis"
"Allokutzneria_albata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49757580664022e-06,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Allokutzneria","Allokutzneria_albata"
"Alloprevotella_rava",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella_rava"
"Alsobacter_metallidurans",0,1.2230396203685e-05,0.00010627188969902,8.32606843048712e-05,9.44817909968301e-06,5.65834889379279e-05,2.19149262562731e-05,3.17174357087578e-05,9.89124575294635e-06,0,0,5.89893163793669e-05,0,4.88435186870862e-05,0,0,8.99515161328044e-05,3.29534532472882e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Alsobacter","Alsobacter_metallidurans"
"Altererythrobacter_dongtanensis",0,6.11519810184251e-06,9.24103388687126e-06,5.38745604325637e-05,0,0,5.47873156406829e-06,0,0,4.75529264070911e-06,0,6.55436848659632e-06,0,0,0,0,4.49757580664022e-06,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_dongtanensis"
"Altererythrobacter_ishigakiensis",0,0,0,4.89768731205125e-06,4.72408954984151e-06,3.77223259586186e-05,5.47873156406829e-06,1.90304614252547e-05,5.44018516412049e-05,3.80423411256729e-05,0,0.000281837844923642,0.000142193783465529,8.8806397612884e-05,0,3.43936119598053e-05,2.24878790332011e-05,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_ishigakiensis"
"Altererythrobacter_troitsensis",1.00410679679891e-05,6.72671791202676e-05,9.24103388687126e-05,0.000239986678290511,0,1.25741086528729e-05,4.38298525125463e-05,1.26869742835031e-05,1.48368686294195e-05,0,3.00707952436594e-05,0,3.55484458663823e-05,2.66419192838652e-05,0,0,2.69854548398413e-05,6.0414664286695e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_troitsensis"
"Alterococcus_agarolyticus",0,3.66911886110551e-05,0,1.9590749248205e-05,0,1.25741086528729e-05,0,2.53739485670063e-05,3.95649830117854e-05,0,0,0,5.33226687995734e-05,0,0,0,0,0,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Alterococcus","Alterococcus_agarolyticus"
"Aminobacter_anthyllidis",0,3.05759905092125e-05,2.77231016606138e-05,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter","Aminobacter_anthyllidis"
"Ammoniibacillus_agariperforans",5.02053398399454e-06,0,0,0,1.8896358199366e-05,3.14352716321822e-05,5.47873156406829e-06,1.26869742835031e-05,4.94562287647318e-06,0,2.14791394597567e-05,0,3.55484458663823e-05,4.4403198806442e-06,0,0,0,1.64767266236441e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Ammoniibacillus","Ammoniibacillus_agariperforans"
"Ammoniphilus_oxalaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Ammoniphilus","Ammoniphilus_oxalaticus"
"Amorphus_orientalis",0,0,0,0,0,0,0,0,0,4.75529264070911e-06,0,2.62174739463853e-05,0,2.2201599403221e-05,0,0.000166235791139059,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Amorphus","Amorphus_orientalis"
"Amycolatopsis_bartoniae",5.02053398399454e-06,0,0,0,4.72408954984151e-06,0,0,0,4.94562287647318e-06,9.51058528141822e-06,0,0,2.22177786664889e-05,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_bartoniae"
"Amycolatopsis_pigmentata",0,0,0,1.46930619361537e-05,2.8344537299049e-05,6.28705432643643e-06,5.47873156406829e-06,2.53739485670063e-05,9.89124575294635e-06,0,0,0,3.11048901330845e-05,1.33209596419326e-05,0,0,0,5.49224220788137e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_pigmentata"
"Amycolatopsis_pretoriensis",5.02053398399454e-06,0,4.62051694343563e-06,0.000318349675283331,0,4.4009380285055e-05,0,1.90304614252547e-05,4.94562287647318e-06,5.23082190478002e-05,1.2887483675854e-05,0,4.44355573329778e-06,3.55225590451536e-05,0,0,0,0.000175751750652204,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_pretoriensis"
"Anaeromyxobacter_dehalogenans",0.000150616019519836,2.446079240737e-05,9.70308558121483e-05,3.42838111843587e-05,0.000538546208681932,0.00072301124754019,0.000180798141614253,0.000748531482726685,0.00021760740656482,0.000313849314286801,0.000189016427245859,0.000190076686111293,0.000426581350396587,0.00044403198806442,5.66610761071574e-05,0.000435652418157534,8.99515161328044e-05,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter","Anaeromyxobacter_dehalogenans"
"Anaeroplasma_bactoclasticum",0,7.33823772221101e-05,0,0,9.44817909968301e-05,0,1.64361946922049e-05,3.17174357087578e-05,0,9.51058528141822e-06,0,0,0,1.33209596419326e-05,0,0,1.34927274199207e-05,3.84456954551696e-05,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","Anaeroplasma_bactoclasticum"
"Anderseniella_baltica",0.000180739223423803,0.00031799030129581,0.000198682228567732,0.000426098796148459,0.000307065820739698,0.000408658531218368,0.000186276873178322,0.000272769947095317,0.000375867338611961,0.000380423411256729,0.000120283180974637,0.000131087369731926,0.000266613343997867,0.000328583671167671,0.000411737153045344,0,0.000139424850005847,0.000137306055197034,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Anderseniella","Anderseniella_baltica"
"Aneurinibacillus_thermoaerophilus",0,0,0,0,4.72408954984151e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Aneurinibacillus","Aneurinibacillus_thermoaerophilus"
"Angustibacter_aerolatus",3.01232039039672e-05,4.89215848147401e-05,0.000235646364115217,9.30560589289737e-05,2.36204477492075e-05,4.4009380285055e-05,1.09574631281366e-05,0,0,1.42658779221273e-05,0.000124579008866589,0,4.88791130662756e-05,3.10822391645094e-05,0,2.29290746398702e-05,4.49757580664022e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Angustibacter","Angustibacter_aerolatus"
"Aquabacterium_citratiphilum",3.51437378879618e-05,0,4.62051694343563e-06,7.34653096807687e-05,9.44817909968301e-06,3.77223259586186e-05,5.47873156406829e-06,3.17174357087578e-05,3.95649830117854e-05,1.42658779221273e-05,0,0,2.22177786664889e-05,0,0,0,4.0478182259762e-05,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium","Aquabacterium_citratiphilum"
