"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_11880",5,0,1,0,10,3,3,4,4,9,0,0,0,7,0,0,0,0
"ASV_2449",15,0,0,3,16,25,2,55,67,10,4,0,0,2,12,0,0,0
"ASV_26682",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_7358",0,0,0,0,23,1,0,6,13,36,0,0,19,7,29,0,0,0
"ASV_10155",54,0,0,0,10,3,9,1,5,1,9,0,3,0,10,0,0,0
"ASV_26579",0,0,0,0,0,6,0,0,14,2,0,0,0,0,0,0,0,0
"ASV_12682",14,0,10,0,11,0,3,4,3,7,0,0,7,5,0,0,0,0
"ASV_4731",10,0,0,0,10,4,1,4,5,12,28,0,0,0,0,0,0,16
"ASV_14068",21,0,0,0,11,10,2,19,12,5,0,0,0,4,0,0,0,0
"ASV_555",24,74,14,65,10,6,2,11,24,15,61,38,18,49,514,81,146,729
"ASV_13754",6,15,0,0,2,0,1,0,15,0,0,0,0,0,26,0,8,0
"ASV_5518",6,0,0,3,24,29,18,46,32,33,0,22,31,10,20,0,8,0
"ASV_26016",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
"ASV_4888",13,41,2,12,10,0,11,4,5,2,0,0,0,0,0,83,52,0
"ASV_34137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_16903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4274",0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,10
"ASV_13032",7,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0
"ASV_36971",0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
"ASV_18666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24914",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7577",0,8,0,4,0,0,9,0,1,1,11,0,0,0,0,0,0,16
"ASV_16969",0,0,0,0,7,8,0,11,22,25,0,0,0,0,0,0,0,0
"ASV_13433",0,0,0,3,26,2,5,2,0,9,0,0,10,20,0,0,0,0
"ASV_18527",0,0,0,0,27,0,1,4,0,4,0,0,0,1,0,0,0,0
"ASV_34157",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5393",0,7,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13177",0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,23,0,3
"ASV_13342",0,3,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7238",0,6,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_9850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3611",3,0,14,16,13,4,1,10,13,5,5,0,0,0,0,76,45,9
"ASV_16316",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2412",0,78,93,38,0,0,0,0,0,0,20,0,0,0,24,0,0,2
"ASV_16793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6651",0,8,15,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0
"ASV_1107",0,35,35,4,1,7,0,3,13,9,15,0,12,0,0,0,12,1
"ASV_12602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24483",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"ASV_23907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ASV_2748",0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ASV_35421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13376",0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ASV_32310",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0
"ASV_32396",0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0
"ASV_22214",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3699",0,42,100,18,0,2,0,0,0,1,1,0,0,0,0,25,23,0
"ASV_30175",0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26375",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26425",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_18472",0,0,0,0,0,6,0,0,2,0,0,0,0,2,0,0,0,0
"ASV_16007",11,0,0,0,1,0,1,0,6,2,0,0,0,0,0,0,0,0
"ASV_16164",8,0,0,0,2,0,0,2,0,8,0,0,0,0,0,0,0,4
"ASV_29606",0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0
"ASV_26192",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_16428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21983",0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_8524",68,0,0,0,3,8,14,3,6,3,27,0,0,0,6,0,0,0
"ASV_22861",7,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"ASV_1705",3,0,29,55,135,0,43,9,15,22,3,0,5,6,273,55,91,35
"ASV_27003",0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0
"ASV_11053",0,0,0,0,4,3,8,2,1,0,0,0,0,0,0,0,0,0
"ASV_1029",0,242,311,111,9,21,18,19,14,6,56,1,20,12,3,5,12,54
"ASV_8145",0,0,0,0,0,3,0,1,0,5,14,0,0,1,0,0,7,0
"ASV_14164",0,0,0,4,4,0,1,6,0,8,0,0,0,3,0,0,0,0
"ASV_13961",0,18,20,0,0,1,0,0,0,0,0,0,0,0,0,28,11,0
"ASV_2110",0,35,16,0,2,8,1,8,9,5,0,0,15,3,7,0,16,0
"ASV_5988",0,6,0,0,0,0,4,1,6,0,0,0,7,0,0,0,0,0
"ASV_563",8,30,25,16,59,22,30,42,80,17,146,25,34,41,1,91,99,90
"ASV_2315",14,87,85,46,9,9,11,16,8,9,0,13,19,17,135,0,30,39
"ASV_29464",0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0
"ASV_24262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"ASV_7724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"ASV_32709",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
