"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order"
"Solirubrobacterales",0.00338383990521232,0.00170002507231222,0.00144160128635192,0.00316880369089716,0.00274942011800776,0.00227591366616999,0.00186824746334729,0.00263889065096865,0.00294759123437801,0.00227302988225895,0.0020834765275964,0.00287736776561578,0.003208247239441,0.00265531128862523,0.0022664430442863,0.00431639830095557,0.00323825458078096,0.00230124948510229,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales"
"Sphaerobacterales",0.00026608830115171,0.000281299112684755,0.000110892406642455,0.000288963551411024,0.000160619044694611,0.000182324575466657,0.000295851504459687,0.000222022049961305,0.000222553029441293,0.000128392901299146,0.00022338305038147,0.000262174739463853,0.000271056899731165,0.000226456313912854,0.000203979873985767,0.000166235791139059,0.000188898183878889,0.000126321570781271,"Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales"
"Sphingobacteriales",0.0539606992599733,0.0775101359408538,0.0524474878249379,0.0601778840031737,0.0573362748664264,0.054741382020282,0.0476430496811378,0.0674058943682521,0.0710537638662901,0.0596503908850551,0.0470865695236786,0.0385593498066461,0.0430980470572552,0.042631511174065,0.0418234289772298,0.0502433348046156,0.0909679682651051,0.124366332555266,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales"
"Sphingomonadales",0.0389543231818136,0.058008769194078,0.0615452856865626,0.0579935154619988,0.0407405482778332,0.0325355061393085,0.0356555850189564,0.0374709785463265,0.0366668480061721,0.0387318585585757,0.0331294247027287,0.0351117519826965,0.0271634561976494,0.0279518136486553,0.0331505069277609,0.0610486612286545,0.0481645393133101,0.0318714815323356,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"Spirochaetales",0.000471930194495487,0.000214031933564488,1.38615508303069e-05,0.000288963551411024,0.000472408954984151,0.000339500933627567,0.00035063882010037,0.000437700612780858,0.000356084847106069,0.000632453921214311,0.000541274314385868,0.000255620370977256,0.000408807127463396,0.000452912627825709,0.000298415000831029,0.000131842179179254,0.000152917577425768,0.000175751750652204,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales"
"Sulfuricellales",1.00410679679891e-05,2.446079240737e-05,3.23436186040494e-05,0.000146930619361537,0.000505477581833041,0.000767020627825245,0.000273936578203414,0.000919805635553977,0.0011424388844653,0.000703783310824948,0.000171833115678053,0.000347381529789605,0.000337710235730632,0.000577241584483746,0.000128431772509557,0.000171968059799027,0.000364303640337858,0.00012082932857339,"Bacteria","Proteobacteria","Betaproteobacteria","Sulfuricellales"
"Syntrophobacterales",0.000195800825375787,6.72671791202676e-05,2.31025847171782e-05,5.38745604325637e-05,6.61372536977811e-05,0.000132028140855165,4.93085840766146e-05,0.000139556717118534,0.000173096800676561,0.000142658779221273,0.000210495566705616,0.000327718424329816,0.000359928014397121,0.000195374074748345,0.000117099557288125,0.000171968059799027,9.44490919394446e-05,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales"
"Tepidisphaerales",0,0,6.93077541515345e-05,0,4.25168059485736e-05,0,0,0,0,3.80423411256729e-05,0,0,0,0,0,0,4.0478182259762e-05,0,"Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales"
"Thermoanaerobacterales",0,0,0,0,0,0,0,0,0,0,0,0,4.44355573329778e-05,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales"
"Thermogemmatisporales",0.000326334708959645,0.000342451093703181,5.54462033212276e-05,0.000112646808177179,0.00018896358199366,0.000622418378317207,0.000109574631281366,0.000317174357087578,0.000553909762164996,0.000380423411256729,0.000730290741631727,0,3.55484458663823e-05,1.77612795225768e-05,0.000219089494281009,0.000229290746398702,0.000710616977449155,0.000659069064945764,"Bacteria","Chloroflexi","Ktedonobacteria","Thermogemmatisporales"
"Thermoleophilales",0,0,0,0,1.41722686495245e-05,0,0,0,1.48368686294195e-05,0,0,0,0,0,0,6.30549552596431e-05,0,2.74612110394068e-05,"Bacteria","Actinobacteria","Thermoleophilia","Thermoleophilales"
"Thiotrichales",0,0,0,0,0,0,0,0,0,0,0,0,0,8.8806397612884e-06,0,0,0,6.59069064945764e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales"
"Unassigned",0.504513460051611,0.454181878221945,0.443218467282119,0.418992251858672,0.493520911182392,0.503316421157195,0.526966316758344,0.501148171172657,0.522727609928832,0.500171190535066,0.54398498178569,0.497463459395687,0.54087404741274,0.531404162355856,0.540131151504163,0.450837197837788,0.44096481996204,0.441900315803927,"Bacteria","Unassigned","Unassigned","Unassigned"
"Verrucomicrobiales",7.53080097599181e-05,0.000917279715276376,0.000619149270420375,0.00127829638844538,0.000396823522186687,0.000207472792772402,0.000723192566457014,0.00028545692137882,0.000341247978476649,0.000142658779221273,0.000777544848443192,0.000255620370977256,0.000293274678397654,0.000417390068780555,0,0.00023502301505867,0.000557699400023387,0.000252643141562543,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales"
"Vibrionales",0,6.11519810184251e-06,9.24103388687126e-06,4.89768731205125e-06,0,0,0,0,0,4.75529264070911e-06,0,6.55436848659632e-06,0,1.33209596419326e-05,7.55481014762099e-05,5.73226865996756e-06,0,1.64767266236441e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales"
"Xanthomonadales",0.0274171360865942,0.0293590660869459,0.0276953785589532,0.0251153405361988,0.0291476325225221,0.0246389659053044,0.0255692402095067,0.0256720924626686,0.0275174456846968,0.0234245715481331,0.0179393772767888,0.0243232614537589,0.0224310693416872,0.0226145491521209,0.0179728933411903,0.0227800356547111,0.022002140846084,0.0148235617190718,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
