"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_144","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_144"
"bac_ASV_145","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Unassigned","bac","bac_ASV_145"
"bac_ASV_146","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_146"
"bac_ASV_147","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_composti","bac","bac_ASV_147"
"bac_ASV_148","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_148"
"bac_ASV_149","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Unassigned","bac","bac_ASV_149"
"bac_ASV_15","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_neotropicale","bac","bac_ASV_15"
"bac_ASV_150","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_150"
"bac_ASV_151","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_151"
"bac_ASV_152","bac","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Unassigned","Unassigned","bac","bac_ASV_152"
"bac_ASV_153","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Unassigned","Unassigned","bac","bac_ASV_153"
"bac_ASV_154","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Unassigned","bac","bac_ASV_154"
"bac_ASV_155","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_155"
"bac_ASV_156","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Unassigned","bac","bac_ASV_156"
"bac_ASV_157","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_eneae","bac","bac_ASV_157"
"bac_ASV_158","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Unassigned","Unassigned","bac","bac_ASV_158"
"bac_ASV_159","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_canus","bac","bac_ASV_159"
"bac_ASV_16","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_ederensis","bac","bac_ASV_16"
"bac_ASV_160","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter_henricii","bac","bac_ASV_160"
"bac_ASV_161","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Ohtaekwangia","Ohtaekwangia_koreensis","bac","bac_ASV_161"
"bac_ASV_162","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Reyranella","Reyranella_soli","bac","bac_ASV_162"
"bac_ASV_163","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_163"
"bac_ASV_164","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Unassigned","Unassigned","bac","bac_ASV_164"
"bac_ASV_165","bac","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unassigned","bac","bac_ASV_165"
"bac_ASV_166","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_166"
"bac_ASV_167","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_167"
"bac_ASV_168","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_168"
"bac_ASV_169","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_169"
"bac_ASV_17","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac","bac_ASV_17"
"bac_ASV_170","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Unassigned","bac","bac_ASV_170"
"bac_ASV_172","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Unassigned","bac","bac_ASV_172"
"bac_ASV_173","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus","Paenibacillus_panacisoli","bac","bac_ASV_173"
"bac_ASV_174","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned","bac","bac_ASV_174"
"bac_ASV_175","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_175"
"bac_ASV_176","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Unassigned","bac","bac_ASV_176"
"bac_ASV_177","bac","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unassigned","bac","bac_ASV_177"
"bac_ASV_178","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces","Unassigned","bac","bac_ASV_178"
"bac_ASV_179","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Unassigned","bac","bac_ASV_179"
"bac_ASV_18","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Lentzea_flaviverrucosa","bac","bac_ASV_18"
"bac_ASV_180","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_180"
"bac_ASV_181","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Steroidobacter_denitrificans","bac","bac_ASV_181"
"bac_ASV_182","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac","bac_ASV_182"
"bac_ASV_183","bac","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_183"
"bac_ASV_184","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassigned","bac","bac_ASV_184"
"bac_ASV_185","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_185"
"bac_ASV_186","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Unassigned","Unassigned","bac","bac_ASV_186"
"bac_ASV_187","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_187"
"bac_ASV_188","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_neotropicale","bac","bac_ASV_188"
"bac_ASV_189","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","bac","bac_ASV_189"
"bac_ASV_19","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Lentzea_flaviverrucosa","bac","bac_ASV_19"
"bac_ASV_190","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_eneae","bac","bac_ASV_190"
"bac_ASV_192","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium","Unassigned","bac","bac_ASV_192"
"bac_ASV_193","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia","Unassigned","bac","bac_ASV_193"
"bac_ASV_195","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac","bac_ASV_195"
"bac_ASV_197","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_197"
"bac_ASV_198","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae","Promicromonospora","Promicromonospora_xylanilytica","bac","bac_ASV_198"
"bac_ASV_2","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Pelomonas_puraquae","bac","bac_ASV_2"
