ID	cdtn3003	cdtn3004	cdtn3006	cdtn3007	cdtn3008	cdtn3009	cdtn3010	cdtn3011	cdtn3012	cdtn3013	cdtn3014	cdtn3015	cdtn3016	cdtn3017	cdtn3018	cdtn3019	cdtn3020	cdtn3021	cdtn3022	cdtn3023	cdtn3024	cdtn3025	cdtn3026	cdtn3027	cdtn3028	cdtn3029	cdtn3030	cdtn3031	cdtn3032	cdtn3033	cdtn3034	cdtn3035	cdtn3036	cdtn3037	cdtn3038	cdtn3039	cdtn3040	cdtn3041	cdtn3042	cdtn3044	cdtn3045	cdtn3046	cdtn3047	cdtn3048	cdtn3049	cdtn3050	cdtn3051	cdtn3053	cdtn3054	cdtn3055	cdtn3056
Bulleidia	0	34	15	0	49	10	0	0	0	174	90	0	0	0	0	335	0	69	0	0	54	0	0	0	0	0	33	0	11	0	0	897	235	0	11	56	0	0	12	0	41	0	0	0	0	0	0	0	21	7	20
Catenibacterium	0	0	31	0	19	10	0	0	0	15	25	0	0	0	0	35	1753	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella	49	0	79	10	9	30	62	92	0	15	12	0	0	135	26	0	0	0	10	28	65	0	276	34	156	125	0	0	57	0	73	33	0	0	35	44	0	37	12	86	0	15	83	16	25	12	0	0	0	0	0
Staphylococcus	16	0	0	10	0	0	0	0	0	15	0	0	0	0	0	0	12	13	0	0	0	0	0	17	0	0	100	13	45	0	0	0	0	0	11	22	16	393	12	138	0	205	0	8	12	0	0	669	0	0	10
Varibaculum	179	45	222	0	9	10	152	0	35	0	12	0	14	15	13	0	0	41	0	0	0	15	12	0	0	0	209	0	45	0	9	67	44	44	11	56	16	29	188	43	10	0	0	0	0	0	0	0	31	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	41	34	34	13	0	33	33	22	11	0	0	7	0	675	401	23	35	8	0	0	0	9	0	0	0
Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	66	0	639	0	0	0	0	0	0	0	0	0	12	25	0	0	0	0	0	0	0	0	0	0	0
Coprobacillus	0	0	397	10	59	0	0	34	117	94	0	0	0	0	0	158	0	0	0	0	0	15	60	0	26	148	0	0	0	0	0	11	11	11	0	0	0	7	12	0	0	7	0	8	0	0	0	0	0	0	10
Mogibacterium	0	0	31	0	9	0	0	0	0	15	12	53	58	0	13	70	12	179	0	0	54	15	0	0	0	0	0	0	0	0	18	0	67	33	0	11	0	0	75	17	82	0	23	0	12	114	0	199	0	0	0
Rothia	0	0	0	0	0	10	8	0	0	47	0	13	0	0	0	0	0	0	0	19	0	15	0	0	468	0	8	0	468	0	0	0	0	0	11	0	0	0	0	8	0	15	23	0	0	0	0	0	10	0	0
Lachnobacterium	0	0	0	41	0	0	8	104	11	0	0	67	595	15	39	0	139	0	0	0	0	0	12	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	9	0	0	10
Slackia	0	91	0	20	0	0	0	0	0	15	0	0	29	0	13	17	0	0	10	9	0	93	0	0	39	0	0	0	22	0	0	11	123	67	0	0	121	96	0	0	0	31	0	151	0	38	11	0	21	0	0
Alloscardovia	0	0	31	0	19	0	0	0	0	0	0	0	0	30	0	70	0	0	0	0	347	0	132	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	176	8	61	0	0	0	0	0	81	9	0	0	0
Methanobrevibacter	0	0	0	20	0	0	0	0	0	411	0	0	0	15	0	0	38	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	251	8	0	15	0	0	0	0	0	0	0	0	0
Pyramidobacter	0	0	0	0	0	80	0	0	269	0	116	94	0	30	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	78	11	0	0	0	0	12	0	41	0	0	0	0	38	0	0	0	0	0
Ureaplasma	0	0	31	247	9	0	143	34	11	0	0	0	14	0	92	0	0	41	10	9	21	0	0	0	13	11	0	6	11	0	0	0	0	0	0	11	0	37	0	0	0	0	11	0	0	0	11	0	0	7	0
Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	16	0	0	10	0	10	8	34	0	15	0	13	29	0	0	0	12	0	0	9	0	0	12	8	0	0	25	6	11	0	0	0	213	0	0	0	0	7	12	121	30	23	11	16	0	0	23	9	0	15	0
Treponema	0	0	0	0	0	0	0	0	0	15	428	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	11	0	0	7	0
Facklamia	0	0	0	0	109	10	0	11	0	0	0	0	0	0	0	0	0	0	21	9	10	15	0	0	0	0	92	13	216	0	9	0	11	0	0	0	0	0	0	25	20	0	0	0	0	0	0	0	0	0	0
Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	16	6	0	6	0	0	369	0	0	11	0	7	0	17	51	7	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	15	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	7	0	8	123	31	0	84	116	0	0	0	10	7	0
Synergistes	49	0	0	0	9	0	0	0	0	47	0	26	14	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	59	0	25	0	0	0	0	0	0
Gemella	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	11	0	0	0	0	357	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Adlercreutzia	16	0	0	0	19	0	0	0	0	15	0	26	0	60	13	0	25	13	0	19	0	0	0	34	0	0	0	0	11	0	0	0	11	0	23	0	8	7	37	0	0	0	0	0	12	0	0	9	0	0	10
Alistipes	65	0	0	0	0	0	17	0	0	0	12	40	0	60	0	17	0	0	0	0	0	0	0	0	0	11	0	0	45	0	0	0	0	11	0	0	0	0	12	0	0	0	35	0	38	0	0	0	0	0	0
Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	171	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Anoxybacillus	0	11	0	30	0	0	0	69	11	0	0	0	0	0	0	0	12	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	56	0	0	0	16	14	0	0	0	94	0	0	0	0	23	0	0	7	0
Holdemania	16	0	0	0	0	10	0	0	0	15	0	13	0	0	26	0	12	0	0	0	0	15	24	8	65	22	8	0	22	0	0	0	0	0	11	11	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0
Dermabacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	134	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0
Actinobaculum	0	68	0	164	9	0	0	0	0	0	0	0	0	0	13	0	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	15	0	0	130	0	8	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	9	0	0	0	0	31	0	0	0	0	13	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0
