Prevotella	Bacteroides	Peptoniphilus	Lactobacillus	Porphyromonas	Anaerococcus	Dialister	Streptococcus	Finegoldia	Faecalibacterium	Campylobacter	Gardnerella	Bifidobacterium	Fusobacterium	Dorea	Parabacteroides	Ruminococcus	Collinsella	Sutterella	Atopobium	Clostridium	Lachnospira	Coprococcus	Corynebacterium	Mobiluncus	Blautia	Roseburia	Oscillospira	Actinomyces	Sneathia	Peptostreptococcus	Megamonas	Phascolarctobacterium	Bilophila	Akkermansia	Megasphaera	Veillonella	Parvimonas	Desulfovibrio	Delftia	Anaerostipes	Butyricimonas	Gallicola	Moryella	Odoribacter	Peptococcus	Mitsuokella	Paraprevotella	Escherichia	Arcanobacterium	Haemophilus	Bulleidia	Catenibacterium	Eggerthella	Staphylococcus	Varibaculum	Pseudomonas	Neisseria	Coprobacillus	Mogibacterium	Rothia	Lachnobacterium	Slackia	Alloscardovia	Methanobrevibacter	Pyramidobacter	Ureaplasma	Shuttleworthia	Acinetobacter	Treponema	Facklamia	Lactococcus	Aerococcus	Synergistes	Gemella	Adlercreutzia	Alistipes	Leptotrichia	Anoxybacillus	Holdemania	Dermabacter	Actinobaculum	Aggregatibacter	Anaerotruncus
Lachnospira	0.108684048251882	0.0029193458444505	0.0538157141738336	0.288070356538389	0.874296066676861	0.14313413369527	0.0221459201064919	0.160959847663726	0.136034109975766	3.02422450592998e-08	0.286418688595043	0.545103873462173	0.12478094700236	0.299558365067844	0.963903038954734	0.970337951324458	0.000455261025086813	0.623436189971403	0.183019740733816	0.3260711059288	0.814506296929037	0	1.56245199615838e-06	1	1	1	0.470716686976655	1	1	1	1	0.25172778090994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0309030355803738	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0494676785681255	1	1	1	1	1	1	1	0.0305326441731995	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Coprococcus	0.143632651977809	0.0159308111599545	0.0118054845963028	0.170464390599739	0.687993654863423	0.148887309062178	0.223973599273945	0.116079231061868	0.168068896317677	7.4692589035944e-07	0.42917742629324	0.37580545041275	0.00687977035548141	0.484740929284517	0.134145434056611	0.447590101489733	5.9133517261471e-06	0.422512155561556	0.238404594490541	0.36834132582295	0.731147331413347	4.50404149944762e-10	0	1	1	1	1	0.479897095187156	1	1	1	0.0144054212673675	1	1	0.0485721382411093	1	1	1	0.0100519973880012	1	1	1	1	1	0.038402184119578	1	1	0.000460111582646189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Corynebacterium	0.917272912581523	0.0432438617096403	0.00282689611030391	0.328031659218537	0.719794944248776	1.3063219887012e-05	0.949792276760995	0.0697251049743954	1.53878865385909e-07	0.047845265167062	0.321919143106991	0.144586118275402	0.284349239224388	0.732233752603003	0.187758315446801	0.551285619412839	0.0861144776711077	0.898112351227746	0.710668861937634	0.996274045099385	0.742003641502017	0.26876610902296	0.173680856621784	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.26593028713309e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.87691438077455e-05	1	1	1
Mobiluncus	0.0370173529242379	0.0899196422067845	0.39219154913778	0.400486262483842	3.54063431281578e-05	0.500236076378478	0.238441866406094	0.75090868752679	0.342623997572306	0.0857469858070275	0.401161935765495	0.994937269063033	0.0963338745338505	0.63260858927477	0.561508556741573	0.461310520640807	0.0939377518962463	0.180850546953233	0.106528077015855	0.651511735372502	0.160800495724852	0.181750449770555	0.121755143208312	0.611934823402549	0	1	1	1	1	0.0601322937484697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00393889832923343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000403844135625879	1	1	1	1	1	1	1	1	1
Blautia	0.0284293289793862	0.00533287395203227	0.176576153534004	0.0730789723857069	0.247479530201624	0.651110094781712	0.888480746798052	0.134379522350626	0.941366519384756	0.117088642719348	0.465828361049517	0.120739074161211	6.82165115629127e-06	0.53553898914295	0.437140326292732	0.192285714665738	0.0588120846657068	0.00462095347108633	0.111261662008204	0.29301921001592	0.738091150469201	0.236685529991361	0.142807959950286	0.300385292468977	0.0619020181806685	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0315661449098976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roseburia	0.0725960085804342	0.000648967057299594	0.305961737309992	0.153676914061809	0.740460985554529	0.535123393441748	0.0566512593986525	0.219719209390573	0.211410287259158	4.203742359664e-05	0.588032309445299	0.259695143456728	0.503982279720465	0.725898344522338	0.893377065223687	0.948276910140802	0.000991107258694511	0.287498015440281	0.0100508650394852	0.317744615485435	0.545491043702613	0.000140554400411064	0.00874521518552816	0.703969339540262	0.105782568487273	0.0196840315298796	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.199445125805448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0186716047527747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oscillospira	0.014222323651348	1.2590841363215e-06	0.00102561061649888	0.0765140623837261	0.566606694375919	0.00369700020959069	0.0492401867232437	0.13759114737964	0.0247550581500578	0.000613013996720885	0.989370416210602	0.195778373698821	0.0240608179664644	0.204491705223842	0.000435146135910966	1.29861823485088e-06	3.03142176428864e-07	0.0938608173701101	0.127262992513635	0.526670627951864	0.149701749508799	0.0528761188167965	0.000143381265368137	0.0692222884798473	0.290491368352854	0.126690021941409	0.145394933783342	0	1	1	1	1	1	1.47448457963131e-06	0.877336563199935	1	1	1	1	1	1	0.261808651305251	1	1	0.806471141295824	1	1	0.170861366370931	0.0533427819704271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00156896395490094	1	1	1	1
Actinomyces	0.663100879158158	0.117928018005314	0.646212793208359	0.721041489084057	0.263010267505436	0.195688568898742	0.883025116990447	0.0194950624694269	0.893425709613557	0.186560988400168	0.68787069550298	0.00732399597961553	0.177816089063291	0.426135471988533	0.303359365109151	0.635477652251094	0.239162896422306	0.21547707201708	0.0976460029619677	0.752088049268618	0.643647548780787	0.47054481381131	0.43374852718659	0.0253141150129416	0.113182840531061	0.144334742342137	0.150414171081793	0.24180153128481	0	1	1	1	1	1	1	1	1	0.730174789555355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.179484279129102	1	1	1	1	1	1	1	1	1	1	1	1
Sneathia	0.48141286300969	0.252128589080725	0.917429461505706	0.601461158403771	0.0196717693373851	0.615801979257053	0.397458955683791	0.488704750173776	0.778168402870071	0.367639516189239	0.424797963716301	0.324450015395457	0.314975813374858	0.3072349957678	0.504925770996862	0.664453998628103	0.388837947882862	0.506755033057237	0.245346389884589	0.421394555888835	0.405931935703421	0.435119053521661	0.497501086893441	0.661603538484718	1.77853575121176e-05	0.331932589439025	0.503421413450698	0.329076534703403	0.829892551407837	0	1	1	1	1	1	1	1	0.0494148681723867	1	1	1	1	1	1	1	0.00716120113967818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.68673941765396e-10	1	1	1	1	1	1	1	1	1
Peptostreptococcus	0.0300042558843985	0.25383696978412	0.995670880833416	0.321614023772503	0.474822227112746	0.127202658519885	0.934687710498412	0.667694841451308	0.9431384870756	0.485139675584339	0.643994780585402	0.924859737583447	0.393995511553201	0.723003664039901	0.349488722922198	0.504273960173663	0.238487158784401	0.664338346432508	0.671390413801601	0.731799777539095	0.999923633174064	0.957456384720414	0.77225953059425	0.316328270661078	0.0160540807568092	0.250922754575036	0.912717030359492	0.329947057096604	0.299759296936753	0.713064875915046	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
