"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales",0.0156027104136947,0.0121536217792902,0.0137253431335783,0.0121876437222137,0.0152287962693092,0.0159813684548667,0.0129281396910678,0.0119241657373252,0.00726596823251098,0.0100949094046592,0.0137479018463752,0.0121556624398776,0.0100544938214752,0.0120882441825325,0.0103194103194103,0.0118548960720778,0.0100121359223301,0.0130371801062289
"k__Bacteria|p__Actinobacteria|c__Unassigned|o__Unassigned",0.00740014265335235,0.0124777183600713,0.00675016875421886,0.00904491798252338,0.00517341882832993,0.00795053003533569,0.0130960376091336,0.0144977266878271,0.00904021628928692,0.011993097497843,0.0116697306370394,0.0143419326628771,0.0124338015196869,0.00906618313689937,0.0107289107289107,0.00916778629574014,0.00986043689320388,0.00981812328987607
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales",0.010253209700428,0.00623885918003565,0.00285007125178129,0.00298942204507129,0.00378898280384727,0.00168647606810151,0.0143552719946273,0.00857853650167281,0.0131801284217641,0.0218291630716135,0.0103908560466789,0.00804547442063839,0.0107452605725689,0.0102750075551526,0.014004914004914,0.0142258752864933,0.00644720873786408,0.00941574118783197
"k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales",0.00891583452211127,0.00980392156862745,0.00487512187804695,0.00674536256323777,0.00495482366656951,0.0100385480244137,0.0148589657488247,0.0123530925624089,0.00751943224062183,0.00793787748058671,0.00959155942770362,0.0144293834717971,0.00775193798449612,0.00468419462073134,0.0076986076986077,0.00545325219315577,0.00955703883495146,0.00684049573474972
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales",0.0077567760342368,0.00915572840706531,0.00600015000375009,0.00505902192242833,0.00247741183328476,0.00586251204625763,0.0130960376091336,0.0082353950416059,0.00929368029739777,0.00802415875754961,0.00815282551354808,0.0110188019239178,0.00752168240079822,0.00551526140828045,0.00868140868140868,0.00932585157670118,0.0044751213592233,0.00700144857556736
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales",0.00338801711840228,0.00234970021066278,0.00217505437635941,0.00283611835045225,0.011439813465462,0.00313202698361709,0.00772330423102754,0.020502702238998,0.00363298411625549,0.0220880069025022,0.0111901526656542,0.0187144731088763,0.00130478164095479,0.00181323662737987,0.00425880425880426,0.00237097921441555,0.0089502427184466,0.00531144374698213
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales",0.00882667617689016,0.00623885918003565,0.00450011250281257,0.00597884409014257,0.00371611774992713,0.0056215868936717,0.0109973136333109,0.00617654628120443,0.00844880027036161,0.00793787748058671,0.00783310686595796,0.010231744643638,0.0063704044823087,0.00604412209126624,0.00843570843570844,0.00648067651940251,0.00576456310679612,0.00772573635924674
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Unassigned",0.00722182596291013,0.00607681088964511,0.00712517812945324,0.00728192549440441,0.00706791023025357,0.00570189527786701,0.0073875083948959,0.00540447799605387,0.00574518418384589,0.00629853321829163,0.00735352889457278,0.00559685177087888,0.0063704044823087,0.0080840132970686,0.00712530712530712,0.00632261123844148,0.00872269417475728,0.00563334942861742
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales",0.00374465049928673,0.00421325555015395,0.00217505437635941,0.00367928867085697,0.00546487904401049,0.00232894314166399,0.0031900604432505,0.0101226730719739,0.00160527205136871,0.00543572044866264,0.00823275517544561,0.00638390905115872,0.0236395732596515,0.00143547899667573,0.00491400491400491,0.00474195842883111,0.0107706310679612,0.00804764204088202
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales",0.00508202567760342,0.00559066601847351,0.00570014250356259,0.00360263682354745,0.0032789274264063,0.00433665274654674,0.00957018132975151,0.00746332675645535,0.00566069618114228,0.00664365832614323,0.00679402126129007,0.00839527765631832,0.00537263028628444,0.00589301903898459,0.00794430794430794,0.00553228483363629,0.00477851941747573,0.00563334942861742
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Unassigned",0.00606276747503566,0.0051045211473019,0.00337508437710943,0.00383259236547601,0.0025502768872049,0.00457757789913267,0.00822699798522498,0.00446083898086986,0.00515376816492058,0.00647109577221743,0.00695388058508513,0.00743331875819851,0.00376084120039911,0.00347537020247809,0.00606060606060606,0.00458389314787007,0.00310983009708738,0.00684049573474972
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Unassigned",0.00606276747503566,0.00445632798573975,0.0034500862521563,0.00390924421278553,0.0029146021568056,0.00489881143591391,0.00822699798522498,0.00506133653598696,0.0047313281514025,0.00448662640207075,0.00463592039005675,0.00568430257979886,0.00406784864532965,0.00506195225143548,0.00556920556920557,0.00561131747411681,0.00356492718446602,0.00362143891839691
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales",0.00392296718972896,0.00502349700210663,0.00397509937748444,0.00329602943430937,0.00160303118624308,0.00457757789913267,0.00721961047683009,0.00463240971090332,0.00321054410273741,0.00431406384814495,0.00551514667092958,0.0040227372103192,0.00199554839204851,0.00491084919915382,0.00507780507780508,0.00521615427171422,0.00424757281553398,0.00651859005311444
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales",0.00570613409415121,0.00615783503484038,0.00645016125403135,0.00237620726659512,0.00196735645584378,0.00232894314166399,0.00411349899261249,0.00394612679076949,0.00304156809733018,0.00405522001725626,0.00303732715210615,0.00358548316571928,0.00437485609026019,0.00181323662737987,0.00663390663390663,0.00395163202402592,0.00303398058252427,0.00241429261226461
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales",0.00231811697574893,0.00372711067898234,0.00172504312607815,0.00206959987735704,0.00437190323520839,0.00586251204625763,0.00176292813969107,0.00325984387063567,0.00270361608651571,0.00293356341673857,0.00247781951882344,0.0014866637516397,0.00268631514314222,0.00370202478090057,0.00565110565110565,0.00331937090018177,0.00265473300970874,0.00257524545308225
"k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales",0.00160485021398003,0.000729217306757414,0.000750018750468762,0.000689866625785681,0.00029146021568056,0.00096370061034372,0.00545668233713902,0.00308827314060221,0.00540723217303143,0.00448662640207075,0.00303732715210615,0.00253607345867949,0.00337708189423594,0.00498640072529465,0.0036036036036036,0.00355646882162333,0.00257888349514563,0.0016095284081764
