"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT"
"Geobacteraceae",-0.705942193394769,"nosig",0.0309426933111457,-0.483456265741209,"nosig",0.142930735481726,0.22248592765356,"nosig",0.481299206683489,0.000473637956547288,0.000977668581124469,0.000726970052985712
"Geodermatophilaceae",-0.525479620992107,"nosig",0.126645593621516,-0.118717170940566,"nosig",0.732715298231033,0.406762450051541,"nosig",0.232931957907873,0.00078343212754782,0.00141557275020769,0.000903141035814471
"Glycomycetaceae",1.05498663817412,"nosig",0.0220588049902706,0.303830361796401,"nosig",0.496606407660229,-0.751156276377719,"nosig",0.103737362104582,0.000647866207483803,0.000360067401364662,0.000546017637662881
"Gracilibacteraceae",0.500850046037628,"nosig",0.438576060075229,1.66521345522715,"nosig",0.022593139634412,1.16436340918952,"nosig",0.119461816346452,8.85886129869867e-05,7.66192624355358e-05,2.68210667437056e-05
"Haliangiaceae",-1.73935359679367,"depleted",1.56548398120064e-06,-1.12714136070071,"depleted",0.00243382645730865,0.612212236092954,"nosig",0.06271188693208,0.000212270906981166,0.000875546055336566,0.00049472768393688
"Herpetosiphonaceae",-0.318250702221153,"nosig",0.559707308048688,-1.19008425348382,"nosig",0.031026723883938,-0.871833551262668,"nosig",0.111437601658821,0.0036702742010781,0.00605969765553012,0.0092648155877006
"Hyphomicrobiaceae",0.931607090246568,"enriched",0.000143481977437971,1.02455743523159,"enriched",3.00712554343233e-05,0.0929503449850212,"nosig",0.702726029171859,0.0267526297213463,0.0189550261105326,0.0154345245469579
"Hyphomonadaceae",-0.24874899095325,"nosig",0.25406622172354,-0.319648985587169,"nosig",0.142256834889838,-0.0708999946339191,"nosig",0.741257051028949,0.00200104462927953,0.00301839716955907,0.00277466872584521
"Iamiaceae",-0.280631759537697,"nosig",0.395397642577457,-0.143129067254891,"nosig",0.665806981907699,0.137502692282807,"nosig",0.673784770620646,0.0008377334108572,0.00130628600461537,0.00104264020059841
"Ignavibacteriaceae",-0.513168270869409,"nosig",0.48323509468151,0.572122486136874,"nosig",0.448221396944404,1.08529075700628,"nosig",0.145392552986675,0.000137276492569645,0.000222615327700005,9.89802260936175e-05
