Prevotella	Peptoniphilus	Anaerococcus	Porphyromonas	Bacteroides	Finegoldia	Lactobacillus	Dialister	Faecalibacterium	Streptococcus	Campylobacter	Sneathia	Gardnerella	Corynebacterium	Bifidobacterium	Coprococcus	Mobiluncus	Collinsella	Blautia	Clostridium	Ruminococcus	Atopobium	Roseburia	Lachnospira	Sutterella	Dorea	Peptostreptococcus	Phascolarctobacterium	Fusobacterium	Actinomyces	Oscillospira	Parabacteroides	Moryella	Gallicola	Megamonas	Delftia	Citrobacter	Pseudomonas	Bilophila	Parvimonas	Megasphaera	Paraprevotella	Desulfovibrio	Akkermansia	Peptococcus	Bulleidia	Odoribacter	Staphylococcus	Butyricimonas	Arcanobacterium	Haemophilus	Varibaculum	Granulicatella	Neisseria	Veillonella	Anaerostipes	Rothia	Shuttleworthia	Mogibacterium	Acidaminococcus	Aerococcus	Eggerthella	Slackia	Coprobacillus	Facklamia	Aggregatibacter	Alloscardovia	Lachnobacterium	Acinetobacter	Gemella	Capnocytophaga	Catenibacterium	Leptotrichia	Arthrobacter	Adlercreutzia	Aeromonas	Ureaplasma	Mitsuokella	Turicibacter	Lautropia	Lactococcus	Nitrospira	Vibrio	Escherichia	Bacillus	Anaerotruncus	Synechococcus	Streptomyces
Campylobacter	0.272479058204514	0.148322958573073	0.140588790347325	0.509027619434363	0.737726890247423	0.20099887182752	0.480913259277117	0.0308824843746678	0.219709804167603	0.488305331074004	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sneathia	0.194511463507232	0.129527425007507	0.394286180961651	0.384771688705706	0.411482884711515	0.313602118307211	0.605259199937054	0.63412687735939	0.412199712344982	0.659419819617144	0.492649357322838	0	1	1	1	1	1	1	1	1	1	2.28949096455251e-07	1	1	1	1	1	1	0.104562428895083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.45657657096339e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gardnerella	0.144918490900492	0.185243734954952	0.275382840227546	0.249150453935469	0.352135364606858	0.893309383582096	0.566097948904653	0.907891811068714	0.830845144179977	0.013750313363577	0.982904730669254	0.149462703907178	0	1	1	1	1	1	1	1	1	0.997285396162731	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0205857120814463	1	1	1	1
Corynebacterium	0.275309462346496	0.964430586970022	0.278908812138126	0.0187284473292281	0.153290029158218	0.753303768823571	0.982014970147117	0.450752634755856	0.24486685611975	0.724241083891991	0.633038273754559	0.559296166304139	0.425534290665152	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bifidobacterium	0.181573118846901	0.0354998947460742	0.0982966819027185	0.191017878247056	0.0139709401799541	0.577601225132612	0.443021490204816	0.0139461448184491	6.29856588649155e-15	0.610271993433749	0.140510192375143	0.371318158628135	0.507422921994734	0.345888512886951	0	1	1	1	2.81412922786169e-10	1	0.0539732144228519	1	1	1	1	2.60615137777424e-05	1	1	1	1	0.0606303604264521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000111558498617532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.49556232395079e-06	1	1	1	1	1	1	1	1	1	1	1	1	1
Coprococcus	0.272506434957798	0.00576348576134608	0.0534778900469895	0.150267894253191	3.88126764282496e-07	0.192147944592383	0.467362145707204	0.0088657469725858	1.30224938375665e-06	0.452776044107581	0.315888416411166	0.458204743182241	0.456611045028889	0.254631429311868	0.000947205747383447	0	1	1	0.229779623659337	1	0.000399429935161546	1	0.286750248433977	3.26395501511134e-15	1	0.525578016076628	1	1	1	1	0.0151398890827731	0.261624403640653	1	1	1	1	1	1	1	1	1	1	1	0.027670045871948	1	1	1	1	0.072336398993413	1	1	1	1	1	1	0.0864299901768614	0.00408717851570934	0.187543804369871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.704091536400682	1	1	1	1	1	1	1	1	1	1	1	1	1
Mobiluncus	0.461439805112584	0.29323810228513	0.12951903216669	0.715536577496173	0.0994801999637348	0.225980379466963	0.807612178891732	0.765810340169063	0.635810375883469	0.447030434830995	0.783866904636386	0.794943720042145	0.902959597014652	0.849409977794852	0.87672781815315	0.755302247825008	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Collinsella	0.410383035111163	0.0323993613609331	0.0692161912563881	0.565530700109022	0.00901799999023572	0.160740408592477	0.388119241970517	0.0651383261383156	4.33719530595872e-07	0.232888112702802	0.221415211155961	0.430904048734793	0.444356743403326	0.363291195929056	0.000436510815126719	0.00187334591911362	0.600924022838693	0	1	1	5.7157211342151e-07	1	1	0.145537672143026	1	0.0423669179969371	1	1	1	1	0.00888985447624114	1	1	1	1	1	1	1	1	1	1	1	0.0085871255859826	1	1	1	1	1	1	1	1	1	1	1	1	0.381385653915015	1	1	1	1	1	1	1	1	1	1	1	0.113869642236084	1	1	1	1	1	1	0.0151456238937428	1	1	1	1	1	1	1	1	1	1	1	1	1
Blautia	0.0764286072897633	0.0262033250596746	0.162355341608159	0.139933628958566	0.00517001727051899	0.743463650371986	0.481363101339925	0.0175214021140852	3.19788510457062e-13	0.546066455266659	0.244474015857674	0.385284124942947	0.361764951570107	0.308761213525625	7.39392860709849e-14	6.31609740679871e-05	0.860815153226526	0.000290283357474478	0	1	0.000206330211280001	1	1	1	1	0.00399599948528553	1	1	1	1	0.0108408413696835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.34494290747025e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.04442738019218e-12	1	1	1	1	1	1	1	1	1	1	1	1	1
Clostridium	0.216050167853362	0.995689818529535	0.642157058619649	7.42636125492347e-07	0.959007708060675	0.14724816416433	0.63582563202013	0.452933356890775	0.88891129116536	0.305910478009262	0.548607450621293	0.439566642154338	0.142692789082191	0.0676572633790546	0.632424332730339	0.692761928934144	0.675307680250538	0.297673593125047	0.860727285432324	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ruminococcus	0.15075678998638	0.00393674638961543	0.0399790695160659	0.222869455875275	0.00039822860808956	0.0987323882240478	0.50785533686073	0.0126063558274994	1.21581145596261e-10	0.4631823341656	0.205538473536471	0.494521311594254	0.425138287663087	0.362498588978508	1.47226444143077e-05	1.06828011543607e-07	0.750561056340147	1.5116956186763e-10	5.5080141825948e-08	0.307583734791426	0	1	1	4.01089184852454e-05	0.000857673601174873	0.150360395758986	1	0.00103095610050648	1	1	4.21579807143002e-08	0.0433847317166991	1	1	1	1	1	1	1	1	1	1	1.69263228073784e-05	0.156858039814138	1	1	0.000611983700513889	1	1	1	1	1	1	1	1	0.41142889598772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.04665562366148e-09	1	1	1	1	1	1	1	1	1	1	1	1	1
Atopobium	0.0892330260978892	0.113293384379783	0.242193195242287	0.141285767318849	0.479775041144532	0.377529511804852	0.604117882101126	0.966325166959474	0.268099162007223	0.0363789959416585	0.478550187836838	6.04406273641106e-11	0.000276179838317012	0.395235298949827	0.29123831285365	0.298912701560759	0.947898821736097	0.235631776931212	0.262056841842395	0.139337731457437	0.236280268412647	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.07596266843693e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roseburia	0.32039464726539	0.00397056426284241	0.0251421149734754	0.241872250323023	0.00145693170871245	0.0822047467683348	0.427604311243544	0.021409767372999	3.79317636322175e-05	0.443626776338973	0.337512637160513	0.29694339831408	0.432538168666561	0.286537762774018	0.000574690531804864	7.89293279476952e-05	0.0675017176894882	0.0151727946174755	0.0045464932227356	0.472936987887543	0.0143066052379585	0.603075486391296	0	1	1	0.000522589796824669	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lachnospira	0.442126936776744	0.00880601229518656	0.0460811255013372	0.250183228134475	6.30810887620169e-08	0.121545703929349	0.474765426782528	0.0158169177980148	0.000355609976290916	0.360996707135167	0.386957297167233	0.480617420130663	0.430928405269259	0.310821402050163	0.0590764976343755	8.54662219196476e-19	0.961083566054539	3.99170795784493e-05	0.0183193166731393	0.428262501077316	1.06757834669272e-08	0.261968391102718	0.000499503165419444	0	0.325446676752054	1	1	0.262187609354829	1	1	0.00313750451334987	0.0460430947189185	1	1	1	1	1	1	1	1	1	1	0.305910513181728	0.000863660049394648	1	1	0.0167094651584757	1	0.0816536597994964	1	1	1	1	1	1	1	0.225975353200338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sutterella	0.581590467935564	0.0118412869231643	0.0139257693422312	0.221055766862983	3.11401098440027e-07	0.208920675294317	0.322124226438517	0.427743140077132	0.00722428794633261	0.57435052475601	0.666337841868458	0.407435079623393	0.714190544574528	0.404060783625179	0.0749172018112457	0.00443982048459129	0.70080206337469	0.000941330071330088	0.0189065626475289	0.403484361812299	2.30124389904715e-07	0.597433392560831	0.0908425018435606	8.96300404164291e-05	0	1	1	0.037055697325355	1	1	0.00132821713672978	0.00052754319588137	1	1	1	1	1	1	1	1	1	1	9.98222528849618e-08	0.0519617540444113	1	1	5.29064878270295e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.501378102485722	1	1	1	1	1	1	1	1	1	1	1	1	0.0320923975931936	1	1	1	1	1	1	1	1	1	1	1	1	1
Dorea	0.481080260722629	0.00106032530015928	0.00205010300482612	0.101468404283732	1.24527843582064e-05	0.0506673218593137	0.291299317779503	0.037086175789485	4.11665342285031e-09	0.773459451642721	0.222884438750012	0.249665506470791	0.393654144841599	0.126445773818452	6.93125366429319e-09	0.000145067075925097	0.593603926845329	1.1534690442945e-05	1.07766976410074e-06	0.686581736214547	4.12511373824378e-05	0.342062024979673	1.39954418003393e-07	0.00253696577569131	0.003632561342004	0	1	0.946492961220546	1	1	0.00582585990471008	1	1	1	1	1	1	1	0.546650285928727	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0020056935203503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0456946191189565	1	1	1	1	1	1	1	1	1	1	1	1	1
Peptostreptococcus	0.2316744414287	0.0936583056534081	0.511840701967451	0.138528829536376	0.892990361759487	0.344894627723094	0.612522778392843	0.631142329026393	0.273213405201756	0.00687331823475289	0.588960655500938	0.00204755489171471	0.280277866029855	0.568254360096934	0.194537311136951	0.335588584939313	0.610910882007097	0.244774448126165	0.332136618031078	0.147859102228095	0.370209948503692	0.000502617640039755	0.546097044770096	0.289341056440545	0.705457331549434	0.405889388790303	0	1	1	1	1	1	1	1	1	1	0.000274773369648557	1	1	0.0207963134554975	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00923901420840207	1	1
Phascolarctobacterium	0.817134905748621	0.00123168202482978	0.00901207283234796	0.127076731794069	5.79752402185457e-07	0.0370821822909329	0.389926772213599	0.00769083414772016	2.89084955071852e-05	0.294317028509091	0.263929623448896	0.833450582872354	0.42169982095957	0.204641700740676	0.00121123259198687	0.000354072852942499	0.881247790041532	0.00185098476086593	0.000762400863686245	0.748800505370581	2.76841058138152e-07	0.739780170948962	0.0496324933383479	7.21484890904869e-05	1.00859274157199e-05	0.000262041240647992	0.685805680176463	0	1	1	1.12925932788108e-06	1.12038573876986e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.60651412727425e-06	1	0.0172026742439337	1	1	1	1	1	1	1	1	1	1	0.0132774843449604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0679017833341256	1	1	1	1	1	1	1	1	1	1	1	1	1
Fusobacterium	0.242004439149597	0.274290538186243	0.307090829934849	0.664886306427818	0.779818513469289	0.231573582296912	0.632246149066097	0.465426256617535	0.457356059414675	0.869618315313107	0.59741174283944	2.8615880923668e-05	0.745554707516504	0.929478645369665	0.4114942483762	0.417347576373574	0.97996133613098	0.502335028988337	0.38637546093149	0.621880114205275	0.417882645433634	0.319696193643803	0.354404326860181	0.410216300883917	0.588642448425111	0.365493715385476	0.182246944456824	0.977568933878598	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.12962998108888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actinomyces	0.0485782614378684	0.275389983518775	0.916283251658419	0.415445383782262	0.213198630302709	0.174930224385416	0.482122274124978	0.0862205123392813	0.185480108325399	0.555414098971605	0.359891223400511	0.00788633455483103	0.173434162544079	0.517058700846672	0.138415837886733	0.145985993340687	0.197236981247779	0.097815214576963	0.112648310109278	0.328784369200402	0.15682318723147	0.0701768647703495	0.342728064417997	0.181494656849843	0.199634000832205	0.0576374400640483	0.00133591334935142	0.267657835359578	0.00173941226157948	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.588382845581483	1	1	1	1	1	1	1	0.242746799954839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oscillospira	0.299624865374847	0.000499817839987389	0.00127708131059565	0.266801508992654	8.05171852813132e-11	0.0109053737938509	0.37145776140909	0.00396962509443081	1.20198225202803e-07	0.786520227796935	0.426283124938219	0.447460278136483	0.511895264248685	0.184985180718263	1.65430724219515e-05	4.10183936135819e-06	0.0430088449653044	2.40396281131453e-06	2.93312807621308e-06	0.717188788352528	1.11205435806648e-11	0.370873483270007	0.00556559515647535	8.4591655792663e-07	3.56855759465282e-07	1.57370607906809e-06	0.615786469664747	2.98983142144845e-10	0.742291130739874	0.229309723583403	0	3.39272312835383e-06	1	1	1	1	1	1	0.00439561534757978	1	1	1	0.021540924861836	0.071423889361935	1	1	9.71193917187302e-07	1	0.000856609967911337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.15984406735193e-06	1	1	1	1	1	1	1	1	1	1	1	1	1
Parabacteroides	0.46681382032423	0.00353839837395076	0.00172146472869008	0.21109285671123	3.8043955907229e-12	0.048784022877791	0.368545956592433	0.190444253317607	0.00126888683693218	0.549397933531583	0.875544331640615	0.40977471643051	0.415190278479221	0.176417196822721	0.025489820547345	7.19737011391068e-05	0.809812212652303	0.00113716989165962	0.00548768486636955	0.681327356536298	1.18150140840684e-05	0.626935690100923	0.256126630249167	1.25526430531403e-05	1.41318830935272e-07	0.000530991711022866	0.861643501816076	2.97658272786891e-09	0.902212634973505	0.386798692907931	8.99687915235702e-10	0	1	1	1	1	1	1	0.000305948632213142	1	1	1	0.226462057190477	0.00175536362638497	1	1	9.7040977557163e-06	1	0.490493173580566	1	1	1	1	1	1	1	1	1	1	1	1	5.70320398839872e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Moryella	0.201055383164073	0.698348263939768	0.53492267951405	0.889225696720362	0.904951961025711	0.554910768965698	0.702497544814104	0.645967521663724	0.735439835341401	0.767844920174317	0.778290632445897	0.887942364093807	0.632722730866115	0.515726036605531	0.560844867303054	0.68636932499165	0.755479237605824	0.489404415489364	0.751886029707359	0.525821131698316	0.705425462131113	0.482752802377935	0.501302613567957	0.546392987856795	0.61083103705128	0.587447592109412	0.135958943166016	0.849915863526016	0.686124230350544	0.815535608956724	0.815826571779439	0.444827132135959	0	1	1	1	1	1	1	0.0216069583624083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gallicola	0.0566305646935729	0.0802911873946969	0.00696336637214756	0.112524971723323	0.200283506865394	0.213804451738503	0.717090034197772	0.253597416004471	0.400410683753357	0.193800210619059	0.91250507305273	0.467368920100546	0.290280113143862	0.792714934230284	0.547270906400144	0.411959138350599	0.549683097179326	0.959419801282124	0.383095055401869	0.0587946801919148	0.417407667561232	0.261798423265359	0.456772046493454	0.542127860954331	0.242569451957828	0.327786081421968	0.19934052766207	0.220688890004054	0.453778996625056	0.25320368003978	0.166690690445081	0.210182762556418	0.985717289099152	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.781408412271793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000573504148233535	1	1	1	1	1	1	1	1	1	1	1	1
Megamonas	0.573122660285553	0.58936079745757	0.255159081800191	0.732879258075932	0.351601714780579	0.548708228405746	0.76453466271168	0.72985677688441	0.951705950323648	0.651706195010872	0.997935591057579	0.788742828972512	0.91948409135643	0.79313650263724	0.962865951585288	0.541286217716209	0.211610290924914	0.205548688822985	0.904855870421526	0.812462226475507	0.87240432332564	0.817271557936137	0.494875732491198	0.704947316133234	0.695896413276435	0.0171467668376367	0.409725889693656	0.932377641008466	0.831441629629912	0.783932248925336	0.278302401375516	0.182698474581438	0.811077682850632	0.625016782635223	0	1	1	1	0.0005798481336928	1	0.000473108190401891	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.211245010082855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0925816561459294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Delftia	0.000391139218187696	0.0169129894205178	1.51907197565112e-06	0.738529156290247	0.149069761950674	1.02744225335962e-11	0.928738424546293	0.0660701957552582	0.542965845815127	0.293035172318531	0.330930077792589	0.395181571815073	0.303009624097527	0.595652465411894	0.982510858896912	0.496334164454732	0.460201582470066	0.703606384542837	0.914724727402594	0.493867189025439	0.833567835519776	0.267021617436264	0.241327366923834	0.478099823271108	0.382108343101544	0.28929485229027	0.472408018522021	0.357513033292165	0.394040009302669	0.384207145045115	0.390211294739938	0.2297222531082	0.511952453901475	0.582329542224183	0.565163231517091	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Citrobacter	0.720987141313078	0.325590000752675	0.60927728515252	0.766119034517743	0.149590777306426	0.597128149554917	0.800980225430041	0.489923153038026	0.767109590624698	0.00149942681902255	0.818418666866645	0.776792544815711	0.834877094227416	0.698230321187612	0.603014626024759	0.891912893316171	0.899634034483807	0.605802459267591	0.990512224697903	0.72448421639789	0.993705606537165	0.989531530369164	0.550862917950001	0.822836440681244	0.413670786497687	0.913124748919656	7.34295482759372e-08	0.625343955757839	0.87970717177249	0.546386284114538	0.62477038561744	0.446001963263683	0.140648836404604	0.699793380890164	0.792788103293496	0.615003319258728	0	1	1	0.000272890124451938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.21710313600066e-12	1	1
Pseudomonas	0.38948842381737	0.975463649095701	0.672238970129969	0.92215333529332	0.313257538788028	0.921593576375293	0.0949993074965585	0.766489672952392	0.46389266472683	0.854062436099049	0.605297188950369	0.721569918630932	0.777910362900049	0.020472244263434	0.440916747145747	0.508846507248267	0.759153662222805	0.531749136688489	0.509894809790161	0.828876418601896	0.766983945536655	0.742187333405552	0.361906909662295	0.517011588370719	0.439680235017435	0.361279999666437	0.454112018794752	0.493093721147173	0.672786532957026	0.772717453433711	0.875718093082054	0.396027999632373	0.717531062211846	0.929565354501278	0.703955215610082	0.233022196177025	0.809232545882134	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.359337733464397	1	1	5.99950878849939e-11	1	1	1	1	7.69039590483016e-10	1	1	0.88381631738631	1	1	1	0.000107558425560089	1	0.00598800498396098	1	3.8916939808913e-05	1	1.36425129663888e-15	2.93818500952953e-05
