OTUs	C_sw_41	C_mw_42	C_sw_44	M_mw_45	C_sw_47	M_mw_48	M_bw_49	M_sw_50	M_mw_51	M_sw_53	M_mw_54	M_bw_55	M_sw_56	M_mw_57	M_bw_58	M_sw_59	M_mw_60	M_sw_62	M_mw_63	M_bw_64	M_sw_65	M_mw_66	M_bw_67	M_sw_68	M_mw_69	M_bw_70	T_sw_71	M_mw_72	KS_bw_73	M_sw_74	M_mw_75	M_bw_76	M_sw_77	M_mw_78	T_sw_80	T_mw_81	T_sw_83	T_mw_84	M_bw_85	T_sw_86	T_mw_87	KS_bw_88	T_sw_89	T_mw_90	KS_bw_91	C_sw_92	C_mw_93	M_bw_94	M_sw_95	M_mw_96	KS_bw_97	T_sw_98	T_mw_99	M_bw_100	T_sw_101	T_mw_102	KS_bw_103	T_sw_104	T_mw_105	KS_bw_106	M_sw_107	M_mw_108	M_bw_109	T_sw_110	T_mw_111	KS_bw_112	T_sw_113	T_mw_114	KS_bw_115	T_sw_116	KS_mw_117	KS_bw_118	C_sw_119	C_mw_120	M_sw_122	M_mw_123	M_bw_124	M_sw_125	M_mw_126	KS_bw_127	T_sw_128	KS_mw_129	KS_bw_130	M_sw_131	M_mw_132	M_sw_134	M_mw_135	T_bw_136	M_sw_137	M_mw_138	T_bw_139	T_sw_140	KS_mw_141	KS_bw_142	T_sw_143	KS_mw_144	KS_bw_145	T_sw_146	KS_mw_147	KS_bw_148
OTU_20220	36	16	48	40	19	25	25	93	8	8	13	1	37	30	0	22	148	1	32	1	14	7	3	17	17	4	9	6	175	680	11	54	194	21	214	40	100	196	35	6	60	2	93	38	38	191	134	23	115	56	49	4	5	18	53	12	0	16	17	12	35	12	0	0	1	4	0	6	24	35	10	8	11	31	0	13	22	55	26	22	11	41	14	55	35	26	7	3	15	3	74	22	20	17	9	31	14	3	6	6
OTU_8179	15	10	63	464	11	11	5	15	0	1	0	3	0	1	0	0	2	0	2	19	1	1	0	7	29	0	1	3	18	113	2	663	38	1	29	11	9	14	9	0	16	0	19	13	5	56	106	21	22	57	8	5	10	3	5	5	3	2	1	3	31	9	14	0	28	213	83	141	202	2	9	4	29	25	91	55	70	61	73	71	44	67	44	135	145	410	152	878	394	296	784	43	78	74	64	108	0	2	1	0
OTU_29089	27	10	42	19	15	23	4	51	3	32	21	167	45	155	0	48	64	0	26	246	18	18	35	36	29	52	18	19	67	168	8	4	102	15	141	22	59	72	12	7	37	39	52	15	266	112	68	27	63	65	132	68	36	131	188	25	0	26	19	72	69	45	25	6	57	44	0	18	62	30	43	76	68	0	0	74	160	234	58	77	39	56	65	136	116	151	98	98	47	25	143	29	56	126	39	88	136	0	29	99
OTU_24898	12	9	152	152	7	4	0	13	2	377	11	28	12	4	11	12	26	0	35	0	38	17	8	41	21	2	2	3	38	961	1	0	52	34	341	29	86	104	11	77	113	7	128	144	18	65	47	12	36	34	62	38	63	60	111	42	317	44	28	37	61	48	41	1	38	32	74	33	23	36	91	24	25	32	0	110	59	195	70	28	27	25	40	78	40	76	34	83	91	26	71	66	75	42	18	35	90	74	478	78
OTU_25288	0	4	0	0	1436	71	4	238	23	40	811	0	2391	4	41	10	9	0	9	1	4	13	0	7	5	0	17	6	9	31	5	2	5	0	1053	37	26	5	34	62	1	13	6	6	18	4	9	3	22	2	2	1	0	1	0	1	6	0	0	9	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	0	1	1	0	1	5	0	0	0	1	1	0	1	17	0	0	0	0	0	0	0	0	0
OTU_21000	30	24	104	60	19	68	54	1	4	12	15	52	4	12	1	16	140	5	11	0	10	7	12	34	41	30	5	22	25	5	1002	1	6	9	0	7	2	54	1	1	4	0	6	3	3	48	42	0	2	23	203	19	19	19	39	7	0	14	10	30	16	107	7	4	8	13	0	12	36	73	78	20	21	188	0	8	9	14	5	2	6	8	21	19	122	4	7	21	12	5	43	35	52	11	4	153	16	0	0	0
OTU_34681	21	4	61	18	6	43	63	9	0	11	9	14	4	19	0	17	43	1	5	999	20	3	4	30	25	1	9	17	23	21	81	7	29	0	7	2	10	18	6	0	1	1	17	4	2	34	32	7	20	62	176	51	36	78	97	54	0	32	32	101	54	131	1389	2	16	33	1	22	42	37	45	54	236	194	0	35	62	31	54	48	16	50	55	24	86	11	4	17	37	11	64	6	30	43	41	70	10	0	15	15
OTU_30464	13	9	32	40	9	24	2072	17	0	22	17	28	13	9	0	38	67	0	12	6	5	2	4	16	32	7	9	9	52	59	94	17	69	7	32	8	56	38	9	3	22	0	15	9	7	42	53	9	32	20	195	50	9	22	172	7	0	54	10	30	49	82	6	4	19	14	0	10	25	57	74	22	31	57	0	8	17	106	11	9	35	5	26	37	66	8	10	7	32	4	34	23	47	17	6	40	187	19	6	11
OTU_17439	0	0	0	4	41	14	1	5	311	3	30	636	7	33	12	2	6	10	14	118	20	17	78	5	26	72	128	8	69	19	4	4	8	5	10	4	6	4	16	8	14	86	41	23	12	17	76	1	372	22	36	5	7	28	15	8	106	16	14	11	83	88	4	212	258	49	8	9	35	13	30	9	18	16	27	34	85	9	25	398	39	55	33	174	163	48	742	162	28	23	107	9	42	30	29	28	37	2	8	12
OTU_29426	53	19	81	55	39	34	22	25	0	2	35	26	8	0	0	1	186	1	0	2	8	0	3	6	1	2	6	0	84	126	11	2	0	1	25	0	1	118	4	1	0	0	13	0	0	6	1	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
OTU_27869	3	0	43	43	0	4	0	37	0	29	0	24	2	12	0	4	14	0	2	0	38	11	6	64	6	0	17	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	11	145	31	86	87	10	0	15	8	6	4	0	0	0	6	4	0	0	5	4	2	16	61	3	0	806	675	811	220	66	144	113	33	149	125	116	44	90	71	37	111	116	72	156	434	87	70	164	34	184
OTU_34629	1	0	0	0	0	0	1	0	0	1	0	48	3	3	0	2	0	0	0	0	0	1	3	1	0	0	0	1	0	1	0	0	2	0	4	2	0	0	0	0	0	0	1	0	0	2	5	0	0	0	443	158	60	131	1862	160	0	87	68	81	133	248	42	0	56	51	0	85	101	126	131	70	139	206	0	5	0	843	97	65	1	0	0	1	1	0	0	2	3	1	6	0	1	0	1	3	6	0	22	1
OTU_7538	32	7	6	3	8	1	0	9	1	19	10	0	11	2	7	51	20	9	269	0	44	10	1	15	3	0	7	8	114	104	0	0	231	0	120	12	74	31	40	506	631	609	113	177	14	164	61	9	77	64	7	22	48	9	30	37	0	52	38	4	11	9	1	2	28	9	26	21	19	74	16	10	52	1	25	21	8	28	58	5	35	50	6	12	10	11	34	18	37	25	41	26	28	14	25	5	0	6	21	0
OTU_23058	26	19	67	76	16	62	475	6	0	8	21	23	10	33	0	19	137	2	10	0	11	6	10	21	36	36	9	19	64	1	681	2	17	8	8	5	9	47	1	1	2	0	6	4	0	27	39	1	1	51	158	10	5	11	30	8	0	7	4	15	11	94	3	8	8	8	0	1	31	43	77	13	4	144	1	1	10	13	7	12	9	9	13	6	117	3	5	9	11	1	58	16	46	7	6	158	7	0	0	0
OTU_22823	6	2	36	5	14	11	9	1	0	5	3	5	1	3	4	8	27	2	3	0	1	0	0	3	0	1	7	0	24	31	7	76	8	1	12	6	33	16	8	0	3	0	3	1	0	11	2	0	3	3	3	1	0	0	1	0	0	1	6	3	0	1	0	0	0	0	1	0	1	0	1	3	0	3	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	2	1	0	1	1	0	0	0
OTU_26614	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	4	30	0	0	0	0	67	116	290	4	86	0	37	33	351	5	22	366	10	21	9	2	7	31	7	34	93	12	36	209	104	77	540	1	30	276	18	18	485	1	20	177	21	63	0	122	214	20	33	15	5	86	127	39	23	168	20	294	4	16	60	4	44	108	9	16	130	22	98	63
OTU_2871	8	5	17	13	15	8	1	18	1	4	7	16	8	5	2	11	16	0	12	0	8	5	26	13	6	6	19	2	5	15	1	0	9	0	15	1	4	5	1	0	7	0	13	4	0	16	7	2	22	12	61	25	34	71	70	12	58	23	11	13	266	22	2	0	15	14	36	40	34	95	20	78	40	20	80	93	174	182	73	100	71	34	37	835	79	358	81	119	155	114	188	159	53	222	59	60	85	28	20	33
OTU_26590	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	28	98	107	40	0	7	34	68	26	267	54	170	239	5	51	1	28	39	360	1	16	364	11	20	9	4	7	35	2	15	78	12	24	141	68	45	452	5	7	257	13	9	339	0	22	164	19	37	0	81	182	31	23	12	6	62	61	31	14	131	26	244	2	14	42	1	22	50	8	12	110	11	93	28
OTU_28029	0	0	0	0	0	0	24	1	0	1	27	543	4	15	0	96	15	0	5	2728	36	1	2	19	3	1	7	2	13	63	0	213	5	4	134	15	54	12	2	17	6	55	10	5	2	5	9	4	23	9	13	11	4	5	17	2	0	15	8	15	9	43	3	0	13	4	0	2	4	4	7	5	9	94	0	11	8	14	2	6	1	8	9	21	56	11	1	8	3	2	18	8	2	12	2	27	5	2	9	7
