"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus"
"Spartobacteria_genera_incertae_sedis",-1.79879333306481,"depleted",0.000558723699452591,-0.879655565576375,"nosig",0.0958355943849701,0.919137767488433,"nosig",0.0644902799670135,0.000181097769625329,0.000727062857187212,0.000330791032763336,"Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis"
"Sphingobium",0.278386073425672,"nosig",0.604143468595569,0.0524587301727853,"nosig",0.921683339237691,-0.225927343252887,"nosig",0.674209357493963,0.000486877989041366,0.000444160957251319,0.000472111730290824,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Sphingomonas",1.04007662042315,"enriched",0.000368107731122972,0.879958908402973,"enriched",0.00249565613449534,-0.160117712020173,"nosig",0.580859372305586,0.0161633346522171,0.00897395731130691,0.00871588956416968,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Sphingopyxis",0.760079772271246,"nosig",0.0862210771690978,0.359217219319689,"nosig",0.414750687109253,-0.400862552951556,"nosig",0.36432258751427,0.00511344769050261,0.0034916743324175,0.00399698843130983,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Sphingorhabdus",-0.229114628952318,"nosig",0.778491562736298,-1.48979000882349,"nosig",0.0521579104945789,-1.26067537987117,"nosig",0.0931554279514069,3.87947947617161e-05,5.54398749538682e-05,0.000115282162946931,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Sphingosinicella",-0.489272752192493,"nosig",0.429403488905116,0.305901659912924,"nosig",0.630991835037138,0.795174412105418,"nosig",0.205793580256954,0.000201825385912287,0.000314914322603376,0.000150969541213296,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingosinicella"
"Spirochaeta",-1.16137540578864,"nosig",0.0360544561951711,-1.31428482054109,"nosig",0.0171285702666152,-0.152909414752452,"nosig",0.765051375327713,0.000104546011692308,0.000266505536481384,0.000258660693924498,"Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta"
"Sporacetigenium",1.01236608477278,"nosig",0.124854242349718,-0.539936503157413,"nosig",0.342863347487455,-1.5523025879302,"nosig",0.0139915024506081,8.77114991842266e-05,4.52395928548484e-05,0.000125465077210172,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Sporacetigenium"
"Steroidobacter",-0.44327585773583,"nosig",0.0551740704375269,-0.706724447005574,"depleted",0.00228849697370154,-0.263448589269744,"nosig",0.253058316278778,0.0195390678380658,0.0297555539671984,0.0312850584853999,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter"
"Streptomyces",-0.661591028623308,"nosig",0.0594285676648386,-0.778438519431788,"nosig",0.0267946745302141,-0.11684749080848,"nosig",0.737991118510394,0.0239855201385131,0.0416329371725686,0.0401092346275572,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"Subdivision3_genera_incertae_sedis",-0.9630154506335,"depleted",0.00581891604709838,-0.829304202124181,"nosig",0.0176190281071552,0.13371124850932,"nosig",0.694582111309705,0.000857700035100443,0.001842958312796,0.0014906111298251,"Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis"
"Telmatospirillum",-1.26927080750281,"nosig",0.0463114430786771,-0.929341652874729,"nosig",0.152743264853637,0.339929154628082,"nosig",0.566275173906169,6.06014541391462e-05,0.000160250896308978,0.000110948140685263,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Telmatospirillum"
"Terribacillus",-2.87044915091911,"depleted",0.000589576824110638,-0.303302111949991,"nosig",0.725042147940412,2.56714703896912,"enriched",0.00168003183619197,5.17798102053971e-05,0.00043476223606296,6.2850247678164e-05,"Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Terribacillus"
"Terrimonas",-1.6573219240801,"depleted",0.000529503118851242,-0.674649193114222,"nosig",0.186954905330078,0.982672730965874,"nosig",0.0287398691828131,9.73624356002853e-05,0.000346426604478292,0.000151710700081611,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas"
"Thermogutta",-3.0899497463745,"depleted",5.02462599609228e-06,-2.5605076633283,"depleted",0.000293298123032294,0.529442083046198,"nosig",0.302169184455713,1.87510013627446e-05,0.000206517163398731,0.000120360750396792,"Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Thermogutta"
"Tumebacillus",-2.21643509212729,"nosig",0.0123112117910882,-0.44910893503987,"nosig",0.606403271351083,1.76732615708742,"nosig",0.0414369453364493,0.000130079332400542,0.000694185747149671,0.000179660726881144,"Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"Turicibacter",-0.991065088260652,"nosig",0.0840008698532962,-0.191660929180972,"nosig",0.756602236929584,0.79940415907968,"nosig",0.15547657194682,6.23019242185892e-05,0.000147142786841902,7.15588990258497e-05,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"Turneriella",-0.448422164095923,"nosig",0.248919573965029,-0.712331458138506,"nosig",0.0660866137507267,-0.263909294042583,"nosig",0.490439087892252,0.000747647210429472,0.00115269740785877,0.00124697345076065,"Spirochaetes","Spirochaetia","Spirochaetales","Leptospiraceae","Turneriella"
"Uliginosibacterium",-0.132991185495182,"nosig",0.881286707905886,1.49650333626212,"nosig",0.135434736209717,1.62949452175731,"nosig",0.10218721235643,4.45255283028851e-05,5.38413255436813e-05,1.35605332580809e-05,"Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Uliginosibacterium"
"Umezawaea",0,"nosig",1,-6.27416009950761,"depleted",0.000767992956781778,-6.27416009950761,"depleted",0.000752549127428214,0,0,0.00028253994294516,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Umezawaea"
"Unassigned",0.166064894470176,"nosig",0.335031850939583,-0.0361890090515838,"nosig",0.833551743175571,-0.20225390352176,"nosig",0.240409615709894,0.395152714235413,0.396555990427153,0.39979774788714,"Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Unassigned"
"Variovorax",0.125770786043424,"nosig",0.70094558388993,-0.299282337006712,"nosig",0.360190728517468,-0.425053123050136,"nosig",0.194406369862949,0.00617708756410542,0.00636609661126708,0.00755659551065819,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"Vasilyevaea",-0.984270396982307,"nosig",0.034881303063469,-0.334979012938309,"nosig",0.49494417717969,0.649291384043998,"nosig",0.151276259894071,0.000118605195296968,0.000268016129381083,0.000147978995840118,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Vasilyevaea"
"Verrucosispora",0.196565567549521,"nosig",0.729882310645439,-0.0539020296214299,"nosig",0.924339173253008,-0.250467597170951,"nosig",0.660103653907659,0.000644108921511325,0.000612599214807464,0.000633603567602137,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Verrucosispora"
"Virgisporangium",0.457000199586773,"nosig",0.31302524452662,1.07040426264835,"nosig",0.0201237247947887,0.613404063061573,"nosig",0.182423007309989,0.00159419423937678,0.00132983444215123,0.000757725170840547,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Virgisporangium"
"Xenophilus",0.831951828616261,"nosig",0.283856533668001,1.09491211389167,"nosig",0.163374146996086,0.262960285275405,"nosig",0.739998181231303,0.000292343614113797,0.000173933115659382,0.000124645314631188,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus"
"Yonghaparkia",0.219580424094205,"nosig",0.774576880670614,0.0772247420024385,"nosig",0.919246208092795,-0.142355682091766,"nosig",0.853501297758965,7.93421737994356e-05,8.08602626505357e-05,7.62819180987014e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Yonghaparkia"
