"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus","species"
"ASV_106",-1.60614032804591,"depleted",0.00388121993133691,-0.784508362567123,"nosig",0.153589209110055,0.821631965478787,"nosig",0.130417669458226,0.000778322788694274,0.0027074519825892,0.00137555469405013,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1287",-0.904927960941573,"nosig",0.23247140993835,-1.44900645806144,"nosig",0.0509090596367259,-0.54407849711987,"nosig",0.429669879080673,4.45193869987509e-05,0.000103050042746275,0.000134499198325418,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_albiflavescens"
"ASV_2611",-2.18408868325119,"nosig",0.0504439419006385,-1.56453983870094,"nosig",0.164056710306009,0.619548844550241,"nosig",0.539278231997735,1.5045739046702e-05,8.31997892134721e-05,4.94990597396254e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_2618",-1.92606327926301,"nosig",0.0111610086599428,-0.607942277110559,"nosig",0.46410478318019,1.31812100215245,"nosig",0.0631322549224841,2.80451280142477e-05,0.000136026723117734,4.45147419057459e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_fimbriatus"
"ASV_266",-0.241245536003287,"nosig",0.622858277881736,-0.101911124303764,"nosig",0.836070154129056,0.139334411699523,"nosig",0.775535896503377,0.000532439543299685,0.000750186924493717,0.000577673230995327,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1351",0.977626189077909,"nosig",0.183052883564587,0.0746507185417693,"nosig",0.914528622877233,-0.90297547053614,"nosig",0.218418791204188,9.74126681315604e-05,6.04765145224985e-05,9.84366027794925e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1113",-2.4590450849147,"depleted",0.00178242552000287,0.0211788795790541,"nosig",0.978587399918715,2.48022396449376,"nosig",0.00161538499902825,5.12060823631171e-05,0.000343118352309114,4.88071608486221e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_340",-0.685775383540243,"nosig",0.162102458808576,-0.424276998390686,"nosig",0.390393212656423,0.261498385149557,"nosig",0.587264662886505,0.000318033132518729,0.000603272719974429,0.000430243389400081,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_bangladeshensis"
"ASV_1268",-2.82804357973517,"depleted",0.00284559643021171,-2.02664524168096,"nosig",0.0354015656954009,0.80139833805421,"nosig",0.328481468390942,1.92551594567146e-05,0.000188487929828604,8.49035464049052e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_bullii"
"ASV_1296",-1.5007025557542,"nosig",0.0680951925771929,-1.40517773439062,"nosig",0.0904823456448477,0.095524821363578,"nosig",0.897410004855393,3.36594165660697e-05,0.000115187345342266,8.89984222758241e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_16",0.0629582622465191,"nosig",0.881698189194224,-0.529520925476116,"nosig",0.211459065666177,-0.592479187722635,"nosig",0.162302118582436,0.00729009419076857,0.0083985176501236,0.0108881036081264,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_ederensis"
"ASV_443",-2.92691539936523,"nosig",0.0100543228832144,-4.03744178449969,"depleted",0.000612737819179697,-1.11052638513446,"nosig",0.278766762661776,3.21172245808835e-05,0.000312706815763331,0.000529867535291974,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_479",-0.209317264495204,"nosig",0.66846011483864,-0.503507875697081,"nosig",0.297597530976214,-0.294190611201877,"nosig",0.535436221088826,0.000221171661879666,0.000310884439328022,0.000336187145900144,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_159",-0.644473231857209,"nosig",0.167478466592944,-1.05542698211039,"nosig",0.023829432763305,-0.410953750253182,"nosig",0.369431778535713,0.000635871025086377,0.00112231060118448,0.00131387423606648,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_canus"
