"","ID","i","index","Group"
"sample1115","sample11",33100,5077,"Group2"
"sample1212","sample12",33100,6129,"Group2"
"sample1311","sample13",33100,6848,"Group3"
"sample1411","sample14",33100,6948,"Group3"
"sample1511","sample15",33100,6667,"Group3"
"sample1611","sample16",33100,6760,"Group3"
"sample1711","sample17",33100,6855,"Group3"
"sample1811","sample18",33100,6879,"Group3"
"sample211","sample2",33100,4532,"Group1"
"sample311","sample3",33100,4966,"Group1"
"sample411","sample4",33100,6262,"Group1"
"sample511","sample5",33100,6824,"Group1"
"sample611","sample6",33100,4825,"Group1"
"sample711","sample7",33100,3848,"Group2"
"sample811","sample8",33100,5661,"Group2"
"sample911","sample9",33100,4130,"Group2"
"sample160","sample1",36100,5878,"Group1"
"sample1012","sample10",36100,5406,"Group2"
"sample1116","sample11",36100,5208,"Group2"
"sample1213","sample12",36100,6396,"Group2"
"sample1312","sample13",36100,7011,"Group3"
"sample1412","sample14",36100,7227,"Group3"
"sample1512","sample15",36100,6938,"Group3"
"sample1612","sample16",36100,6982,"Group3"
"sample1712","sample17",36100,7241,"Group3"
"sample1812","sample18",36100,7137,"Group3"
"sample212","sample2",36100,4634,"Group1"
"sample312","sample3",36100,5100,"Group1"
"sample412","sample4",36100,6447,"Group1"
"sample512","sample5",36100,7080,"Group1"
"sample612","sample6",36100,4954,"Group1"
"sample712","sample7",36100,3964,"Group2"
"sample812","sample8",36100,5867,"Group2"
"sample912","sample9",36100,4192,"Group2"
"sample170","sample1",39100,6046,"Group1"
"sample1013","sample10",39100,5567,"Group2"
"sample1117","sample11",39100,5331,"Group2"
"sample1214","sample12",39100,6632,"Group2"
"sample1313","sample13",39100,7236,"Group3"
"sample1413","sample14",39100,7526,"Group3"
"sample1513","sample15",39100,7130,"Group3"
"sample1613","sample16",39100,7269,"Group3"
"sample1713","sample17",39100,7439,"Group3"
"sample1813","sample18",39100,7420,"Group3"
"sample213","sample2",39100,4712,"Group1"
"sample313","sample3",39100,5199,"Group1"
"sample413","sample4",39100,6707,"Group1"
"sample513","sample5",39100,7313,"Group1"
"sample613","sample6",39100,5064,"Group1"
"sample713","sample7",39100,4030,"Group2"
"sample813","sample8",39100,6057,"Group2"
"sample913","sample9",39100,4287,"Group2"
"sample180","sample1",42100,6150,"Group1"
"sample1014","sample10",42100,5655,"Group2"
"sample1118","sample11",42100,5432,"Group2"
"sample1215","sample12",42100,6752,"Group2"
"sample1314","sample13",42100,7448,"Group3"
"sample1414","sample14",42100,7806,"Group3"
"sample1514","sample15",42100,7307,"Group3"
"sample1614","sample16",42100,7467,"Group3"
"sample1714","sample17",42100,7666,"Group3"
"sample1814","sample18",42100,7567,"Group3"
"sample214","sample2",42100,4796,"Group1"
"sample314","sample3",42100,5273,"Group1"
"sample414","sample4",42100,6827,"Group1"
"sample514","sample5",42100,7451,"Group1"
"sample614","sample6",42100,5168,"Group1"
"sample714","sample7",42100,4079,"Group2"
"sample814","sample8",42100,6168,"Group2"
"sample914","sample9",42100,4395,"Group2"
"sample190","sample1",45100,6288,"Group1"
"sample1015","sample10",45100,5849,"Group2"
"sample1119","sample11",45100,5561,"Group2"
"sample1216","sample12",45100,6961,"Group2"
"sample1315","sample13",45100,7691,"Group3"
"sample1415","sample14",45100,7965,"Group3"
"sample1515","sample15",45100,7548,"Group3"
"sample1615","sample16",45100,7650,"Group3"
"sample1715","sample17",45100,7825,"Group3"
"sample1815","sample18",45100,7715,"Group3"
"sample215","sample2",45100,4837,"Group1"
"sample315","sample3",45100,5359,"Group1"
"sample415","sample4",45100,6964,"Group1"
"sample515","sample5",45100,7738,"Group1"
"sample615","sample6",45100,5251,"Group1"
"sample715","sample7",45100,4149,"Group2"
"sample815","sample8",45100,6314,"Group2"
"sample915","sample9",45100,4498,"Group2"
"sample191","sample1",48100,6420,"Group1"
"sample1016","sample10",48100,5946,"Group2"
"sample1120","sample11",48100,5673,"Group2"
"sample1217","sample12",48100,7053,"Group2"
"sample1316","sample13",48100,7871,"Group3"
"sample1416","sample14",48100,8115,"Group3"
"sample1516","sample15",48100,7746,"Group3"
"sample1616","sample16",48100,7878,"Group3"
"sample1716","sample17",48100,8120,"Group3"
"sample1816","sample18",48100,8058,"Group3"
"sample216","sample2",48100,4916,"Group1"
"sample316","sample3",48100,5395,"Group1"
"sample416","sample4",48100,7178,"Group1"
"sample516","sample5",48100,7915,"Group1"
"sample616","sample6",48100,5268,"Group1"
"sample716","sample7",48100,4171,"Group2"
"sample816","sample8",48100,6465,"Group2"
"sample916","sample9",48100,4576,"Group2"
"sample192","sample1",51100,6601,"Group1"
"sample1017","sample10",51100,6031,"Group2"
