"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Gamsia",10.1998817130507,-7.78734626641341,"Gamsia","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Gamsia","fun",0,0,0,0
"Geminibasidium",12.3768898449954,-7.89883600158344,"Geminibasidium","fun","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","fun",0,0,0,0
"Gemmata",11.5990723530888,-10.6662890043715,"Gemmata","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","bac",0,0,0,0
"Gemmatimonas",-3.9912767875476,7.03111434734851,"Gemmatimonas","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","bac",1,0.0852017937219731,0,1
"Geobacter",8.428966276625,5.77945504499773,"Geobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","bac",1,0.0914927768860353,0,1
"Gibberella",2.75179420302398,-3.48210312725293,"Gibberella","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","fun",1,0.0824891461649783,0,1
"Gliocladiopsis",-7.98082271848846,-8.82665231719889,"Gliocladiopsis","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis","fun",0,0,0,0
"Gonostomum",-7.78644963405452,-12.2979075677479,"Gonostomum","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Trachelostylidae","Gonostomum","fun",0,0,0,0
"Gp1",12.1796950040456,-4.92962755993933,"Gp1","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","bac",1,0.0188305252725471,0,1
"Gp10",-10.1389840588371,-5.0047041580249,"Gp10","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","bac",0,0,0,0
"Gp13",-4.43401386464808,-2.68520537851849,"Gp13","bac","Bacteria","Acidobacteria","Acidobacteria_Gp13","Unassigned","Unassigned","Gp13","bac",3,0.0945273631840796,159.393832737311,3
"Gp15",-11.0942062129253,-7.49774310645172,"Gp15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","bac",0,0,0,0
"Gp16",-13.3512347439912,-1.32823734532254,"Gp16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","bac",0,0,0,0
"Gp2",6.10128532428139,-8.77511677597505,"Gp2","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","bac",3,0.088646967340591,73.8785714285714,3
"Gp3",-12.3322251455934,-3.45599601666728,"Gp3","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","bac",0,0,0,0
"Gp4",-5.93793159884263,8.61617652923447,"Gp4","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","bac",1,0.0852017937219731,0,1
"Gp6",15.4360051994706,8.49528450871644,"Gp6","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","bac",2,0.0917874396135266,4.33562271062271,2
"Haliangium",1.84847998509998,10.9993095482496,"Haliangium","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","bac",1,0.0841949778434269,0,1
"Herbaspirillum",-2.54208469515873,-4.84955280015969,"Herbaspirillum","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","bac",1,0.0841949778434269,0,1
"Humicola",-0.232522926943066,14.6646609956601,"Humicola","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","fun",5,0.0906200317965024,157.746684474945,5
"Hydrogonium",3.0284585870712,5.27090176219143,"Hydrogonium","fun","Viridiplantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Hydrogonium","fun",8,0.0909090909090909,231.66966873706,8
"Latescibacteria_genera_incertae_sedis",1.49388312192637,-4.94092149057171,"Latescibacteria_genera_incertae_sedis","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","bac",1,0.0849478390461997,0,1
"Mesorhizobium",-13.0275207019657,-5.44346896846972,"Mesorhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","bac",0,0,0,0
"Methyloversatilis",9.85361136576039,-13.43955019059,"Methyloversatilis","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","bac",0,0,0,0
"Microascus",15.622525132888,11.3100594195957,"Microascus","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","fun",15,0.0991304347826087,708.098650624738,15
"Micronematobotrys",0.995799555934925,-14.4587032185257,"Micronematobotrys","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Micronematobotrys","fun",0,0,0,0
"Mortierella",10.9750094862849,9.62331169431167,"Mortierella","fun","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","fun",6,0.0906200317965024,44.8128019323672,6
"Niastella",4.04257532133576,-14.964502011802,"Niastella","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","bac",0,0,0,0
"Nitrosopumilus",2.39406997977769,16.4665992145496,"Nitrosopumilus","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","bac",3,0.0870229007633588,106.552108036891,3
"Nitrososphaera",-1.99219677945055,-15.240081335191,"Nitrososphaera","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","bac",0,0,0,0
"Nitrosospira",7.14345815198437,-13.9687082741668,"Nitrosospira","bac","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","bac",0,0,0,0
"Nitrospira",-5.48703471442858,-12.7746337575868,"Nitrospira","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","bac",0,0,0,0
"Novosphingobium",-5.26654441162727,-15.1125731796924,"Novosphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","bac",0,0,0,0
